State,City,Season,Average,Std dev,,
SA,Adelaide,Autumn,0,15.91,3.52,0.869401692
SA,Adelaide,Autumn,1,15.78,3.5,0.862097293
SA,Adelaide,Autumn,2,15.48,3.74,0.845944475
SA,Adelaide,Autumn,3,15.43,3.75,0.842856436
SA,Adelaide,Autumn,4,15.15,3.74,0.827535013
SA,Adelaide,Autumn,5,15.19,3.7,0.829672886
SA,Adelaide,Autumn,6,15.4,3.7,0.841609343
SA,Adelaide,Autumn,7,16.65,4.64,0.909427426
SA,Adelaide,Autumn,8,18.79,4.52,1.026357203
SA,Adelaide,Autumn,9,19.67,4.7,1.074518731
SA,Adelaide,Autumn,10,20.82,5,1.137407829
SA,Adelaide,Autumn,11,21.5,5.14,1.174464295
SA,Adelaide,Autumn,12,21.75,5.08,1.188360469
SA,Adelaide,Autumn,13,22.03,5.12,1.203860048
SA,Adelaide,Autumn,14,21.92,5.11,1.1975652
SA,Adelaide,Autumn,15,21.78,5.02,1.189726332
SA,Adelaide,Autumn,16,21.14,4.84,1.155045281
SA,Adelaide,Autumn,17,20.09,4.71,1.097857178
SA,Adelaide,Autumn,18,19.24,4.26,1.051120899
SA,Adelaide,Autumn,19,18.08,3.87,0.987519177
SA,Adelaide,Autumn,20,17.56,3.9,0.95931113
SA,Adelaide,Autumn,21,17.18,3.74,0.938763795
SA,Adelaide,Autumn,22,16.7,3.63,0.91245608
SA,Adelaide,Autumn,23,16.05,3.65,0.877121789
SA,Adelaide,Spring,0,13.57,4.29,0.850448216
SA,Adelaide,Spring,1,13.2,4.38,0.827714485
SA,Adelaide,Spring,2,13.02,4.53,0.816072059
SA,Adelaide,Spring,3,12.76,4.54,0.799813997
SA,Adelaide,Spring,4,12.47,4.44,0.782040352
SA,Adelaide,Spring,5,12.41,4.58,0.777838057
SA,Adelaide,Spring,6,13.43,4.82,0.841699174
SA,Adelaide,Spring,7,15.59,4.85,0.97720599
SA,Adelaide,Spring,8,16.92,4.15,1.060838565
SA,Adelaide,Spring,9,17.57,4.49,1.10141483
SA,Adelaide,Spring,10,18.42,4.51,1.154873544
SA,Adelaide,Spring,11,18.76,4.54,1.176022803
SA,Adelaide,Spring,12,19.08,4.55,1.19586315
SA,Adelaide,Spring,13,19.54,4.6,1.22521033
SA,Adelaide,Spring,14,19.4,4.48,1.216116838
SA,Adelaide,Spring,15,19.27,4.27,1.208194477
SA,Adelaide,Spring,16,18.9,4.64,1.184840735
SA,Adelaide,Spring,17,18.03,4.64,1.13048645
SA,Adelaide,Spring,18,16.97,4.1,1.063938619
SA,Adelaide,Spring,19,15.76,3.7,0.988159515
SA,Adelaide,Spring,20,15.06,3.84,0.943863184
SA,Adelaide,Spring,21,14.66,3.94,0.91885608
SA,Adelaide,Spring,22,14.2,4.05,0.890266691
SA,Adelaide,Spring,23,13.85,4.21,0.868221861
SA,Adelaide,Summer,0,20.06,4.29,0.879740321
SA,Adelaide,Summer,1,19.58,4.31,0.858449602
SA,Adelaide,Summer,2,19.35,4.24,0.848315804
SA,Adelaide,Summer,3,19.08,4.18,0.836720401
SA,Adelaide,Summer,4,18.55,4.17,0.813529594
SA,Adelaide,Summer,5,18.87,4.08,0.827268686
SA,Adelaide,Summer,6,20.32,4.18,0.891043404
SA,Adelaide,Summer,7,22.88,4.84,1.003051101
SA,Adelaide,Summer,8,23.48,4.98,1.029652321
SA,Adelaide,Summer,9,24.23,5.1,1.062294842
SA,Adelaide,Summer,10,25.43,5.21,1.115010079
SA,Adelaide,Summer,11,25.64,5.16,1.124218193
SA,Adelaide,Summer,12,26.02,5.16,1.141075376
SA,Adelaide,Summer,13,26.66,5.07,1.16899204
SA,Adelaide,Summer,14,26.74,5.18,1.172451173
SA,Adelaide,Summer,15,26.55,5.11,1.164022582
SA,Adelaide,Summer,16,26.17,5.24,1.14755516
SA,Adelaide,Summer,17,25.82,5.11,1.132257023
SA,Adelaide,Summer,18,24.78,5.03,1.086362612
SA,Adelaide,Summer,19,22.68,4.61,0.994378909
SA,Adelaide,Summer,20,22.2,4.53,0.97323435
SA,Adelaide,Summer,21,21.41,4.38,0.938740462
SA,Adelaide,Summer,22,20.59,4.2,0.902687527
SA,Adelaide,Summer,23,20.27,4.06,0.888948436
SA,Adelaide,Winter,0,10.72,3.09,0.880868361
SA,Adelaide,Winter,1,10.47,3.21,0.860499397
SA,Adelaide,Winter,2,10.15,3.32,0.834234154
SA,Adelaide,Winter,3,9.96,3.41,0.818778756
SA,Adelaide,Winter,4,9.93,3.53,0.816545316
SA,Adelaide,Winter,5,9.83,3.47,0.807879573
SA,Adelaide,Winter,6,9.93,3.36,0.815830616
SA,Adelaide,Winter,7,10.08,3.3,0.828337875
SA,Adelaide,Winter,8,12.01,2.55,0.98718006
SA,Adelaide,Winter,9,12.72,2.39,1.045249475
SA,Adelaide,Winter,10,13.79,2.23,1.133693661
SA,Adelaide,Winter,11,14.75,2.46,1.212400054
SA,Adelaide,Winter,12,14.93,2.41,1.226872739
SA,Adelaide,Winter,13,15.08,2.46,1.239826685
SA,Adelaide,Winter,14,14.99,2.53,1.232143655
SA,Adelaide,Winter,15,14.9,2.5,1.224549962
SA,Adelaide,Winter,16,14.48,2.56,1.190423013
SA,Adelaide,Winter,17,13.14,2.42,1.080001787
SA,Adelaide,Winter,18,12.76,2.47,1.048912315
SA,Adelaide,Winter,19,12.28,2.66,1.009693125
SA,Adelaide,Winter,20,11.58,2.77,0.951445035
SA,Adelaide,Winter,21,11.45,2.87,0.941439228
SA,Adelaide,Winter,22,11.21,2.76,0.921427614
SA,Adelaide,Winter,23,10.85,3.02,0.891767544
Vic,Melbourne,Autumn,0,13.51,3.69,0.855272477
Vic,Melbourne,Autumn,1,13.23,3.7,0.837586202
Vic,Melbourne,Autumn,2,13.06,3.85,0.826781746
Vic,Melbourne,Autumn,3,12.83,3.82,0.811985835
Vic,Melbourne,Autumn,4,12.75,3.96,0.807512653
Vic,Melbourne,Autumn,5,12.57,4.29,0.79581356
Vic,Melbourne,Autumn,6,12.46,4.12,0.788656468
Vic,Melbourne,Autumn,7,12.8,4.13,0.81026538
Vic,Melbourne,Autumn,8,14.05,4.16,0.889819209
Vic,Melbourne,Autumn,9,15.63,4.1,0.989674404
Vic,Melbourne,Autumn,10,17.07,4.38,1.080927325
Vic,Melbourne,Autumn,11,18.34,4.45,1.161306972
Vic,Melbourne,Autumn,12,19.19,4.6,1.215122797
Vic,Melbourne,Autumn,13,19.95,4.99,1.262813804
Vic,Melbourne,Autumn,14,20.47,5.18,1.295984172
Vic,Melbourne,Autumn,15,20.64,5.29,1.307063901
Vic,Melbourne,Autumn,16,20.02,5.12,1.267631077
Vic,Melbourne,Autumn,17,18.91,5.1,1.197298886
Vic,Melbourne,Autumn,18,17.53,4.95,1.109762147
Vic,Melbourne,Autumn,19,16.3,4.45,1.031859955
Vic,Melbourne,Autumn,20,15.35,4.07,0.971850492
Vic,Melbourne,Autumn,21,14.58,3.89,0.922920759
Vic,Melbourne,Autumn,22,14.21,3.86,0.89966021
Vic,Melbourne,Autumn,23,13.62,3.9,0.862429569
Vic,Melbourne,Spring,0,11.25,4.61,0.799198172
Vic,Melbourne,Spring,1,10.76,4.61,0.764521735
Vic,Melbourne,Spring,2,10.35,4.53,0.735468503
Vic,Melbourne,Spring,3,10.1,4.47,0.717583583
Vic,Melbourne,Spring,4,10.14,4.4,0.720551387
Vic,Melbourne,Spring,5,9.84,4.43,0.699464364
Vic,Melbourne,Spring,6,10.25,4.52,0.728205195
Vic,Melbourne,Spring,7,11.47,4.23,0.81513059
Vic,Melbourne,Spring,8,13.17,3.81,0.935873322
Vic,Melbourne,Spring,9,14.7,3.76,1.044979141
Vic,Melbourne,Spring,10,16.12,4,1.145962551
Vic,Melbourne,Spring,11,17.23,4.31,1.224765537
Vic,Melbourne,Spring,12,18.15,4.5,1.289666708
Vic,Melbourne,Spring,13,18.56,4.84,1.31926664
Vic,Melbourne,Spring,14,18.95,4.8,1.347148371
Vic,Melbourne,Spring,15,18.95,4.95,1.34699217
Vic,Melbourne,Spring,16,18.43,4.99,1.30981653
Vic,Melbourne,Spring,17,17.63,4.9,1.252647267
Vic,Melbourne,Spring,18,16.27,4.83,1.156037462
Vic,Melbourne,Spring,19,14.72,4.74,1.045916342
Vic,Melbourne,Spring,20,13.74,4.43,0.976407266
Vic,Melbourne,Spring,21,12.96,4.38,0.920956205
Vic,Melbourne,Spring,22,12.33,4.48,0.876517257
Vic,Melbourne,Spring,23,11.64,4.46,0.826923703
Vic,Melbourne,Summer,0,17.17,3.66,0.842592172
Vic,Melbourne,Summer,1,16.66,3.79,0.817455629
Vic,Melbourne,Summer,2,16.32,3.8,0.800934214
Vic,Melbourne,Summer,3,16.07,4.02,0.788556784
Vic,Melbourne,Summer,4,16.06,4.32,0.788011523
Vic,Melbourne,Summer,5,16.03,4.28,0.786866475
Vic,Melbourne,Summer,6,16.55,4.12,0.811948491
Vic,Melbourne,Summer,7,18.08,4.19,0.88719454
Vic,Melbourne,Summer,8,19.64,4.4,0.964021847
Vic,Melbourne,Summer,9,21.13,4.78,1.036923273
Vic,Melbourne,Summer,10,22.54,5.04,1.106062396
Vic,Melbourne,Summer,11,23.65,5.23,1.160533992
Vic,Melbourne,Summer,12,24.59,5.35,1.206608566
Vic,Melbourne,Summer,13,24.94,5.45,1.223838821
Vic,Melbourne,Summer,14,25.42,5.57,1.24761221
Vic,Melbourne,Summer,15,25.5,5.77,1.251156408
Vic,Melbourne,Summer,16,24.88,5.73,1.220730832
Vic,Melbourne,Summer,17,24.08,5.71,1.181472024
Vic,Melbourne,Summer,18,22.99,5.47,1.12809095
Vic,Melbourne,Summer,19,21.54,5.07,1.057152464
Vic,Melbourne,Summer,20,20.01,4.45,0.982179046
Vic,Melbourne,Summer,21,19.06,4.02,0.935450159
Vic,Melbourne,Summer,22,18.42,3.94,0.903715955
Vic,Melbourne,Summer,23,17.75,3.67,0.870891229
Vic,Melbourne,Winter,0,7.96,2.75,0.842147655
Vic,Melbourne,Winter,1,7.72,2.81,0.816833748
Vic,Melbourne,Winter,2,7.54,2.8,0.798538697
Vic,Melbourne,Winter,3,7.25,2.86,0.767011377
Vic,Melbourne,Winter,4,7.14,2.83,0.756310498
Vic,Melbourne,Winter,5,7.05,2.84,0.745839746
Vic,Melbourne,Winter,6,6.91,2.84,0.731571907
Vic,Melbourne,Winter,7,6.89,2.7,0.729500769
Vic,Melbourne,Winter,8,7.38,2.32,0.780818962
Vic,Melbourne,Winter,9,8.95,1.82,0.947430495
Vic,Melbourne,Winter,10,10.22,1.71,1.08193939
Vic,Melbourne,Winter,11,11.41,1.82,1.207588419
Vic,Melbourne,Winter,12,12.18,1.89,1.289743553
Vic,Melbourne,Winter,13,12.76,2.03,1.350727056
Vic,Melbourne,Winter,14,13.19,1.99,1.396177025
Vic,Melbourne,Winter,15,13.01,2.13,1.377536784
Vic,Melbourne,Winter,16,12.59,2.03,1.333237447
Vic,Melbourne,Winter,17,11.55,1.92,1.22231651
Vic,Melbourne,Winter,18,10.52,1.9,1.113351648
Vic,Melbourne,Winter,19,9.75,2.04,1.032577272
Vic,Melbourne,Winter,20,9.21,2.22,0.974930602
Vic,Melbourne,Winter,21,8.75,2.33,0.92648899
Vic,Melbourne,Winter,22,8.56,2.49,0.906237864
Vic,Melbourne,Winter,23,8.23,2.68,0.871143585
Tas,Hobart,Autumn,0,12.33,3.16,0.892918329
Tas,Hobart,Autumn,1,12.15,3.22,0.879931857
Tas,Hobart,Autumn,2,12.03,3.28,0.871352915
Tas,Hobart,Autumn,3,11.89,3.34,0.86072762
Tas,Hobart,Autumn,4,11.59,3.3,0.8390835
Tas,Hobart,Autumn,5,11.46,3.26,0.829953617
Tas,Hobart,Autumn,6,11.37,3.32,0.82318491
Tas,Hobart,Autumn,7,11.49,3.35,0.831921264
Tas,Hobart,Autumn,8,12.33,3.4,0.8925248
Tas,Hobart,Autumn,9,13.5,3.23,0.977527162
Tas,Hobart,Autumn,10,14.76,3.28,1.068589877
Tas,Hobart,Autumn,11,15.84,3.44,1.147251658
Tas,Hobart,Autumn,12,16.64,3.5,1.205099623
Tas,Hobart,Autumn,13,17.19,3.53,1.244407593
Tas,Hobart,Autumn,14,17.2,3.59,1.245282872
Tas,Hobart,Autumn,15,17.12,3.62,1.239302954
Tas,Hobart,Autumn,16,16.56,3.7,1.199084244
Tas,Hobart,Autumn,17,15.64,3.72,1.132577766
Tas,Hobart,Autumn,18,14.61,3.64,1.0582007
Tas,Hobart,Autumn,19,13.95,3.39,1.009953989
Tas,Hobart,Autumn,20,13.38,3.21,0.969026926
Tas,Hobart,Autumn,21,13.04,3.22,0.944313276
Tas,Hobart,Autumn,22,12.8,3.15,0.926683156
Tas,Hobart,Autumn,23,12.58,3.08,0.91109939
Tas,Hobart,Spring,0,10.56,3.18,0.831762831
Tas,Hobart,Spring,1,10.25,3.17,0.807365378
Tas,Hobart,Spring,2,10.01,3.27,0.787899324
Tas,Hobart,Spring,3,9.8,3.36,0.771807387
Tas,Hobart,Spring,4,9.56,3.38,0.752860428
Tas,Hobart,Spring,5,9.49,3.5,0.747323418
Tas,Hobart,Spring,6,9.84,3.5,0.774748924
Tas,Hobart,Spring,7,10.9,3.52,0.858496211
Tas,Hobart,Spring,8,12.23,3.26,0.96257471
Tas,Hobart,Spring,9,13.45,3.09,1.059299366
Tas,Hobart,Spring,10,14.61,3.24,1.149967917
Tas,Hobart,Spring,11,15.37,3.3,1.210269425
Tas,Hobart,Spring,12,15.82,3.7,1.245394836
Tas,Hobart,Spring,13,16.25,3.68,1.279395543
Tas,Hobart,Spring,14,16.37,3.73,1.289171828
Tas,Hobart,Spring,15,16.22,3.63,1.276713553
Tas,Hobart,Spring,16,15.66,3.66,1.232590499
Tas,Hobart,Spring,17,14.98,3.44,1.179210255
Tas,Hobart,Spring,18,14.02,3.25,1.103595452
Tas,Hobart,Spring,19,12.96,3.03,1.020280744
Tas,Hobart,Spring,20,12.36,2.98,0.972870089
Tas,Hobart,Spring,21,11.81,2.91,0.930131288
Tas,Hobart,Spring,22,11.37,2.93,0.894832844
Tas,Hobart,Spring,23,10.94,3.12,0.861437748
Tas,Hobart,Summer,0,15.34,3.19,0.875439202
Tas,Hobart,Summer,1,15.05,3.22,0.859142818
Tas,Hobart,Summer,2,14.94,3.27,0.852637232
Tas,Hobart,Summer,3,14.65,3.43,0.835901252
Tas,Hobart,Summer,4,14.21,3.32,0.811077998
Tas,Hobart,Summer,5,14.19,3.26,0.809936617
Tas,Hobart,Summer,6,14.83,3.18,0.846587628
Tas,Hobart,Summer,7,15.94,3.23,0.909807451
Tas,Hobart,Summer,8,17.19,3.39,0.981143762
Tas,Hobart,Summer,9,18.25,3.34,1.041383313
Tas,Hobart,Summer,10,19.12,3.42,1.091287025
Tas,Hobart,Summer,11,19.96,3.76,1.139161616
Tas,Hobart,Summer,12,20.53,3.91,1.171690973
Tas,Hobart,Summer,13,21.04,4.07,1.200669368
Tas,Hobart,Summer,14,21,4.15,1.198259786
Tas,Hobart,Summer,15,20.94,4.18,1.194772233
Tas,Hobart,Summer,16,20.73,4.24,1.182851143
Tas,Hobart,Summer,17,20.07,4.02,1.145566031
Tas,Hobart,Summer,18,19.11,3.68,1.090652925
Tas,Hobart,Summer,19,18.1,3.34,1.032696136
Tas,Hobart,Summer,20,17.17,3.25,0.980065791
Tas,Hobart,Summer,21,16.5,2.98,0.941702708
Tas,Hobart,Summer,22,16.05,2.84,0.915767996
Tas,Hobart,Summer,23,15.63,3.02,0.891798996
Tas,Hobart,Winter,0,7.63,2.46,0.855758585
Tas,Hobart,Winter,1,7.42,2.46,0.831625243
Tas,Hobart,Winter,2,7.39,2.54,0.828212447
Tas,Hobart,Winter,3,7.21,2.58,0.80858887
Tas,Hobart,Winter,4,7.05,2.48,0.790062263
Tas,Hobart,Winter,5,6.92,2.5,0.776289194
Tas,Hobart,Winter,6,6.8,2.65,0.762272353
Tas,Hobart,Winter,7,6.78,2.56,0.760809726
Tas,Hobart,Winter,8,7.09,2.59,0.794937686
Tas,Hobart,Winter,9,8.2,2.4,0.919382853
Tas,Hobart,Winter,10,9.44,2.42,1.058332402
Tas,Hobart,Winter,11,10.66,2.32,1.19484424
Tas,Hobart,Winter,12,11.61,2.35,1.302347313
Tas,Hobart,Winter,13,12.2,2.26,1.368043635
Tas,Hobart,Winter,14,12.45,2.2,1.396077316
Tas,Hobart,Winter,15,12.27,2.15,1.376331854
Tas,Hobart,Winter,16,11.68,2.12,1.309904218
Tas,Hobart,Winter,17,10.4,2.04,1.166688674
Tas,Hobart,Winter,18,9.59,2.08,1.075640153
Tas,Hobart,Winter,19,8.75,2.28,0.981178837
Tas,Hobart,Winter,20,8.44,2.27,0.946563335
Tas,Hobart,Winter,21,8.26,2.43,0.925720902
Tas,Hobart,Winter,22,8.05,2.4,0.902562644
Tas,Hobart,Winter,23,7.74,2.4,0.867825257
