State,City,Season,Average,Std dev,,
QLD,Brisbane,46,22.4348,2.9124,23.2448,
QLD,Brisbane,47,23.4045,3.0803,23.2448,
QLD,Brisbane,48,24.742,3.4277,23.4092,
QLD,Brisbane,49,23.6286,2.4028,24.3954,
QLD,Brisbane,50,24.375,2.0502,24.3954,
QLD,Brisbane,51,25.3625,2.3165,24.3954,
QLD,Brisbane,52,23.6661,2.4696,24.3954,
QLD,Brisbane,53,25.9281,1.6823,24.3954,
SA,Adelaide,1,22.4208,6.1317,23.5027,
SA,Adelaide,2,21.3625,4.216,23.5027,
SA,Adelaide,3,26.4643,6.824,23.5027,
SA,Adelaide,4,24.4875,4.554,23.5027,
SA,Adelaide,5,21.9411,5.1571,23.3046,
SA,Adelaide,6,27.5577,3.9758,23.0405,
SA,Adelaide,7,19.5911,3.1085,23.0405,
SA,Adelaide,8,23.9185,3.4731,23.0405,
SA,Adelaide,9,21.0976,4.7315,21.9967,
SA,Adelaide,10,23.2018,5.4236,20.6051,
SA,Adelaide,11,19.7827,4.0394,20.6051,
SA,Adelaide,12,20.3613,4.3769,20.6051,
SA,Adelaide,13,18.5125,3.1441,20.6051,
SA,Adelaide,14,17.806,4.1852,18.5,
SA,Adelaide,15,22.6685,5.8368,18.5,
SA,Adelaide,16,19.9536,4.3157,18.5,
SA,Adelaide,17,18.2298,4.4531,18.5,
SA,Adelaide,18,16.5321,3.5652,15.9653,
SA,Adelaide,19,14.2756,2.6241,14.9515,
SA,Adelaide,20,13.5899,2.5959,14.9515,
SA,Adelaide,21,15.206,2.7992,14.9515,
SA,Adelaide,22,14.072,4.0541,13.9304,
SA,Adelaide,23,12.6113,3.4725,11.3778,
SA,Adelaide,24,13.594,2.2918,11.3778,
SA,Adelaide,25,10.1649,2.7346,11.3778,
SA,Adelaide,26,9.3667,3.3497,11.3778,
SA,Adelaide,27,12.4143,3.3725,12.1493,
SA,Adelaide,28,10.5298,3.1905,12.1493,
SA,Adelaide,29,11.7292,2.7264,12.1493,
SA,Adelaide,30,13.6964,2.7871,12.1493,
SA,Adelaide,31,13.3298,2.5564,12.6057,
SA,Adelaide,32,12.3196,2.2656,12.948,
SA,Adelaide,33,12.0988,2.2504,12.948,
SA,Adelaide,34,12.8595,3.7638,12.948,
SA,Adelaide,35,13.9405,4.3953,13.1697,
SA,Adelaide,36,11.7363,3.6723,14.5,
SA,Adelaide,37,14.2161,4.3416,14.5,
SA,Adelaide,38,12.8744,3.0905,14.5,
SA,Adelaide,39,13.0071,3.9286,14.5,
SA,Adelaide,40,15.9244,4.577,16.6537,
SA,Adelaide,41,18.1988,4.9831,17.0126,
SA,Adelaide,42,17.4119,4.5132,17.0126,
SA,Adelaide,43,15.8036,4.2184,17.0126,
SA,Adelaide,44,19.2601,5.9113,17.3542,
SA,Adelaide,45,16.8071,4.0033,17.8096,
SA,Adelaide,46,18.9875,5.0842,17.8096,
SA,Adelaide,47,17.4506,5.966,17.8096,
SA,Adelaide,48,17.2732,4.1029,18.3952,
SA,Adelaide,49,22.2304,6.2584,21.9088,
SA,Adelaide,50,20.2292,4.7594,21.9088,
SA,Adelaide,51,20.5458,4.4858,21.9088,
SA,Adelaide,52,24.5512,5.384,21.9088,
SA,Adelaide,53,21.2229,3.5408,21.9088,
Vic,Melbourne,1,20.241,6.2437,21.1075,
Vic,Melbourne,2,19.803,5.2384,21.1075,
Vic,Melbourne,3,21.6952,7.8268,21.1075,
Vic,Melbourne,4,22.0321,4.2285,21.1075,
Vic,Melbourne,5,20.3667,6.7035,20.8489,
Vic,Melbourne,6,22.5369,5.0979,20.504,
Vic,Melbourne,7,18.3631,4.4417,20.504,
Vic,Melbourne,8,21.8214,5.1559,20.504,
Vic,Melbourne,9,19.5637,5.1559,19.7135,
Vic,Melbourne,10,19.9542,6.344,18.6594,
Vic,Melbourne,11,18.6,4.537,18.6594,
Vic,Melbourne,12,19.0607,4.982,18.6594,
Vic,Melbourne,13,16.9804,4.704,18.6594,
Vic,Melbourne,14,16.022,3.7824,15.9712,
Vic,Melbourne,15,19.1994,5.3114,15.9712,
Vic,Melbourne,16,14.1643,4.3766,15.9712,
Vic,Melbourne,17,15.3018,4.6676,15.9712,
Vic,Melbourne,18,14.9988,4.1494,13.6767,
Vic,Melbourne,19,12.5476,3.364,12.7589,
Vic,Melbourne,20,11.2631,2.0986,12.7589,
Vic,Melbourne,21,12.431,2.6894,12.7589,
Vic,Melbourne,22,11.1821,4.2046,11.7607,
Vic,Melbourne,23,10.8589,3.206,9.2651,
Vic,Melbourne,24,10.0637,2.7531,9.2651,
Vic,Melbourne,25,8.0732,2.9958,9.2651,
Vic,Melbourne,26,8.5536,2.1823,9.2651,
Vic,Melbourne,27,10.3417,3.3879,9.5434,
Vic,Melbourne,28,8.4738,2.6073,9.5434,
Vic,Melbourne,29,8.8655,2.5706,9.5434,
Vic,Melbourne,30,10.2696,2.7669,9.5434,
Vic,Melbourne,31,10.1298,2.5083,9.5331,
Vic,Melbourne,32,10.4065,3.0832,9.5254,
Vic,Melbourne,33,10.5113,3.0748,9.5254,
Vic,Melbourne,34,8.6607,3.3024,9.5254,
Vic,Melbourne,35,8.131,3.9965,9.7499,
Vic,Melbourne,36,10.1036,4.4584,11.0969,
Vic,Melbourne,37,13.6036,4.2702,11.0969,
Vic,Melbourne,38,10.6417,4.3531,11.0969,
Vic,Melbourne,39,10.397,4.0436,11.0969,
Vic,Melbourne,40,13.5869,5.2455,14.3789,
Vic,Melbourne,41,14.6714,5.4944,14.9259,
Vic,Melbourne,42,18.1631,4.7253,14.9259,
Vic,Melbourne,43,13.0768,4.8759,14.9259,
Vic,Melbourne,44,16.9768,6.6015,15.4548,
Vic,Melbourne,45,14.6042,4.9381,16.1599,
Vic,Melbourne,46,16.1345,5.7216,16.1599,
Vic,Melbourne,47,16.2839,5.7972,16.1599,
Vic,Melbourne,48,16.3482,4.3412,16.6432,
Vic,Melbourne,49,20.6036,6.9928,19.5434,
Vic,Melbourne,50,18.5042,4.1674,19.5434,
Vic,Melbourne,51,17.2256,2.8471,19.5434,
Vic,Melbourne,52,21.828,6.5444,19.5434,
Vic,Melbourne,53,18.6396,2.3858,19.5434,
Tas,Hobart,1,18.6396,4.317,18.4749,
Tas,Hobart,2,18.0685,3.7148,18.4749,
Tas,Hobart,3,17.1411,4.5116,18.4749,
Tas,Hobart,4,19.8065,3.4311,18.4749,
Tas,Hobart,5,17.6845,5.956,17.7337,
Tas,Hobart,6,19.1137,3.7563,16.7455,
Tas,Hobart,7,15.7762,2.9988,16.7455,
Tas,Hobart,8,15.8565,3.1135,16.7455,
Tas,Hobart,9,16.5827,3.8958,16.428,
Tas,Hobart,10,16.5458,3.5149,16.0046,
Tas,Hobart,11,17.0518,3.4834,16.0046,
Tas,Hobart,12,14.9976,3.6548,16.0046,
Tas,Hobart,13,15.075,3.2226,16.0046,
Tas,Hobart,14,15.1571,3.3966,13.634,
Tas,Hobart,15,14.5381,2.3695,13.634,
Tas,Hobart,16,11.0292,3.1272,13.634,
Tas,Hobart,17,13.731,3.4791,13.634,
Tas,Hobart,18,14.9899,2.8419,12.2955,
Tas,Hobart,19,12.2024,3.0273,11.7601,
Tas,Hobart,20,10.7643,2.5033,11.7601,
Tas,Hobart,21,10.6634,3.4385,11.7601,
Tas,Hobart,22,9.8446,3.4893,10.8654,
Tas,Hobart,23,9.675,3.8537,8.6285,
Tas,Hobart,24,8.4929,2.6671,8.6285,
Tas,Hobart,25,8.6619,2.443,8.6285,
Tas,Hobart,26,7.7155,2.7391,8.6285,
Tas,Hobart,27,10.5286,2.6477,9.0671,
