# Weather station Brisbane (airport), Australia, WMO_ID=94578,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=94578&lang=en
#
"Local time in Brisbane (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"06.03.2019 15:00";"27.5";"757.9";"758.7";"-1.5";"74";"Wind blowing from the north-east";"8";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"600-1000";"Altocumulus castellanus or floccus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"30.0";"22.5";"No precipitation";"6";"";"";"";"";
"06.03.2019 13:00";"29.7";"758.7";"759.5";"-1.6";"57";"Wind blowing from the north-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"20.3";"";"";"";"";"";"";
"06.03.2019 12:00";"29.7";"759.4";"760.2";"-1.1";"57";"Wind blowing from the north-northeast";"4";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"21.8";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"30.0";"20.3";"";"";"";"";"";"";
"06.03.2019 10:00";"27.1";"760.3";"761.1";"-0.2";"71";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"21.4";"";"";"";"";"";"";
"06.03.2019 09:00";"26.8";"760.5";"761.3";"0.3";"71";"Wind blowing from the east-northeast";"3";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"21.2";"Trace of precipitation";"24";"";"";"";"";
"06.03.2019 07:00";"22.9";"760.5";"761.3";"0.8";"87";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"20.7";"";"";"";"";"";"";
"06.03.2019 06:00";"22.2";"760.2";"761.0";"0.6";"92";"Wind blowing from the south-southwest";"3";"";"";"60%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"600-1000";"Altocumulus castellanus or floccus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"20.8";"";"";"";"";"";"";
"06.03.2019 04:00";"22.8";"759.7";"760.6";"-0.9";"96";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"22.2";"";"";"";"";"";"";
"06.03.2019 03:00";"23.2";"759.6";"760.4";"-1.1";"94";"Calm, no wind";"0";"";"";"70 – 80%.";"Clouds generally forming or developing. ";"Drizzle.";"Drizzle.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"22.1";"Trace of precipitation";"6";"";"";"";"";
"06.03.2019 01:00";"24.0";"760.6";"761.4";"-1.0";"91";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"22.4";"";"";"";"";"";"";
"06.03.2019 00:00";"24.2";"760.7";"761.5";"-0.9";"89";"Wind blowing from the south-east";"2";"";"";"50%.";"Clouds generally forming or developing. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"22.3";"";"";"";"";"";"";
"05.03.2019 22:00";"24.2";"761.6";"762.4";"0.7";"85";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"21.6";"";"";"";"";"";"";
"05.03.2019 21:00";"24.5";"761.6";"762.4";"1.0";"83";"Wind blowing from the south-east";"3";"";"";"40%.";"Clouds generally dissolving or becoming less developed. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"21.5";"No precipitation";"6";"";"";"";"";
"05.03.2019 19:00";"24.8";"760.9";"761.8";"0.5";"76";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"20.3";"";"";"";"";"";"";
"05.03.2019 18:00";"25.2";"760.6";"761.4";"-0.1";"72";"Wind blowing from the east-southeast";"3";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"30.0";"19.8";"";"";"";"";"";"";
"05.03.2019 16:00";"26.6";"760.4";"761.2";"-1.4";"64";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.1";"";"";"";"";"";"";
"05.03.2019 15:00";"27.3";"760.7";"761.5";"-1.7";"55";"Wind blowing from the east";"5";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"17.6";"No precipitation";"6";"";"";"";"";
"05.03.2019 13:00";"27.7";"761.8";"762.7";"-1.4";"56";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.1";"";"";"";"";"";"";
"05.03.2019 12:00";"26.8";"762.4";"763.2";"-0.9";"60";"Wind blowing from the south-east";"4";"";"";"90  or more, but not 100%";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"21.1";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"";"30.0";"18.5";"";"";"";"";"";"";
"05.03.2019 10:00";"26.6";"763.2";"763.9";"0.3";"62";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.8";"";"";"";"";"";"";
"05.03.2019 09:00";"27.0";"763.3";"764.1";"0.7";"61";"Wind blowing from the east-southeast";"5";"";"";"20–30%.";"State of sky on the whole unchanged. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"18.9";"Trace of precipitation";"24";"";"";"";"";
"05.03.2019 07:00";"23.1";"762.9";"763.6";"0.8";"80";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.5";"";"";"";"";"";"";
"05.03.2019 06:00";"21.1";"762.6";"763.4";"0.3";"91";"Wind blowing from the south-east";"3";"";"";"20–30%.";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"19.5";"";"";"";"";"";"";
"05.03.2019 04:00";"21.6";"762.1";"763.0";"-1.3";"88";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.6";"";"";"";"";"";"";
"05.03.2019 03:00";"22.1";"762.3";"763.1";"-1.5";"85";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"";"";"25.0";"19.4";"Trace of precipitation";"6";"";"";"";"";
"05.03.2019 01:00";"23.2";"763.4";"764.2";"-1.1";"79";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.3";"";"";"";"";"";"";
"05.03.2019 00:00";"23.8";"763.8";"764.6";"-0.7";"77";"Wind blowing from the east-southeast";"3";"";"";"70 – 80%.";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"28.7";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"19.6";"";"";"";"";"";"";
"04.03.2019 22:00";"23.9";"764.5";"765.3";"0.8";"75";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.2";"";"";"";"";"";"";
"04.03.2019 21:00";"24.2";"764.5";"765.3";"1.2";"74";"Wind blowing from the east-southeast";"4";"";"";"10%  or less, but not 0";"Clouds generally dissolving or becoming less developed. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"19.2";"No precipitation";"6";"";"";"";"";
"04.03.2019 19:00";"24.4";"763.7";"764.5";"0.9";"72";"Wind blowing from the east-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.1";"";"";"";"";"";"";
"04.03.2019 18:00";"24.8";"763.3";"764.1";"0.5";"67";"Wind blowing from the east-southeast";"6";"";"";"20–30%.";"State of sky on the whole unchanged. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"18.3";"";"";"";"";"";"";
"04.03.2019 16:00";"27.0";"762.8";"763.6";"-1.1";"61";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.9";"";"";"";"";"";"";
"04.03.2019 15:00";"27.6";"762.8";"763.6";"-1.5";"58";"Wind blowing from the south-east";"6";"";"";"10%  or less, but not 0";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"18.7";"Trace of precipitation";"6";"";"";"";"";
"04.03.2019 13:00";"27.1";"763.9";"764.6";"-1.2";"60";"Wind blowing from the south-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.6";"";"";"";"";"";"";
"04.03.2019 12:00";"27.2";"764.3";"765.1";"-0.8";"63";"Wind blowing from the south-east";"6";"";"";"70 – 80%.";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"20.3";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"19.5";"";"";"";"";"";"";
"04.03.2019 10:00";"26.7";"765.1";"765.9";"0.6";"64";"Wind blowing from the south-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.2";"";"";"";"";"";"";
"04.03.2019 09:00";"26.0";"765.1";"765.9";"1.1";"64";"Wind blowing from the south-east";"5";"";"";"90  or more, but not 100%";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"18.6";"Trace of precipitation";"24";"";"";"";"";
"04.03.2019 07:00";"22.9";"764.5";"765.3";"0.9";"78";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.9";"";"";"";"";"";"";
"04.03.2019 06:00";"21.3";"764.0";"764.8";"0.4";"85";"Wind blowing from the south";"3";"";"";"90  or more, but not 100%";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"20.0";"18.6";"";"";"";"";"";"";
"04.03.2019 04:00";"20.9";"763.6";"764.4";"-0.8";"87";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.7";"";"";"";"";"";"";
"04.03.2019 03:00";"21.4";"763.6";"764.5";"-1.1";"84";"Wind blowing from the south-southeast";"3";"";"";"20–30%.";"Clouds generally forming or developing. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"18.5";"No precipitation";"6";"";"";"";"";
"04.03.2019 01:00";"23.2";"764.4";"765.1";"-0.8";"75";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.4";"";"";"";"";"";"";
"04.03.2019 00:00";"23.4";"764.7";"765.5";"-0.7";"76";"Wind blowing from the south-east";"4";"";"";"10%  or less, but not 0";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"29.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"19.0";"";"";"";"";"";"";
"03.03.2019 22:00";"23.6";"765.2";"766.0";"0.6";"75";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.0";"";"";"";"";"";"";
"03.03.2019 21:00";"24.1";"765.4";"766.2";"1.3";"71";"Wind blowing from the east-southeast";"4";"";"";"40%.";"State of sky on the whole unchanged. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"18.5";"No precipitation";"6";"";"";"";"";
"03.03.2019 19:00";"24.3";"764.6";"765.4";"1.2";"69";"Wind blowing from the east-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.3";"";"";"";"";"";"";
"03.03.2019 18:00";"24.6";"764.1";"764.9";"0.7";"67";"Wind blowing from the south-east";"5";"";"";"40%.";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"18.1";"";"";"";"";"";"";
"03.03.2019 16:00";"26.8";"763.4";"764.2";"-0.8";"58";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.9";"";"";"";"";"";"";
"03.03.2019 15:00";"27.1";"763.4";"764.2";"-1.2";"58";"Wind blowing from the east";"5";"";"";"50%.";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"18.1";"Trace of precipitation";"6";"";"";"";"";
"03.03.2019 13:00";"27.6";"764.2";"764.9";"-1.2";"57";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.3";"";"";"";"";"";"";
"03.03.2019 12:00";"27.5";"764.6";"765.4";"-0.6";"57";"Wind blowing from the east";"6";"";"";"60%.";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"19.4";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"18.2";"";"";"";"";"";"";
"03.03.2019 10:00";"25.3";"765.4";"766.1";"0.8";"64";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.1";"";"";"";"";"";"";
"03.03.2019 09:00";"23.8";"765.2";"766.0";"1.0";"72";"Wind blowing from the east";"7";"";"";"90  or more, but not 100%";"Precipitation within sight, reaching the ground or the surface of the sea, near to, but not at the station. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"300-600";"";"";"20.0";"18.4";"1.0";"24";"";"";"";"";
"03.03.2019 07:00";"21.7";"764.6";"765.4";"0.7";"90";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";
"03.03.2019 06:00";"20.1";"764.2";"765.1";"0.5";"94";"Wind blowing from the south-southwest";"3";"";"";"90  or more, but not 100%";"Precipitation within sight, reaching the ground or the surface of the sea, near to, but not at the station. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"25.0";"19.1";"";"";"";"";"";"";
"03.03.2019 04:00";"19.7";"763.9";"764.6";"-0.4";"96";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.1";"";"";"";"";"";"";
"03.03.2019 03:00";"20.2";"763.7";"764.5";"-0.9";"94";"Wind blowing from the south";"3";"";"";"70 – 80%.";"Shower(s) of rain. ";"Shower(s).";"Shower(s).";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"25.0";"19.2";"0.8";"6";"";"";"";"";
"03.03.2019 01:00";"20.3";"764.3";"765.1";"-1.1";"94";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.3";"";"";"";"";"";"";
"03.03.2019 00:00";"20.6";"764.6";"765.4";"-0.7";"93";"Wind blowing from the south-southwest";"3";"";"";"90  or more, but not 100%";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"Shower(s).";"Shower(s).";"";"27.7";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"25.0";"19.5";"";"";"";"";"";"";
"02.03.2019 22:00";"20.9";"765.4";"766.2";"0.8";"92";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.5";"";"";"";"";"";"";
"02.03.2019 21:00";"21.4";"765.3";"766.1";"1.3";"86";"Wind blowing from the south";"3";"";"";"90  or more, but not 100%";"Precipitation within sight, reaching the ground or the surface of the sea, near to, but not at the station. ";"Shower(s).";"Shower(s).";"";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"20.0";"19.0";"Trace of precipitation";"6";"";"";"";"";
"02.03.2019 19:00";"22.7";"764.6";"765.4";"0.8";"74";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.9";"";"";"";"";"";"";
"02.03.2019 18:00";"23.1";"764.0";"764.8";"0.2";"74";"Wind blowing from the south-southeast";"4";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"";"";"30.0";"18.3";"";"";"";"";"";"";
"02.03.2019 16:00";"25.1";"763.8";"764.5";"-0.7";"59";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.5";"";"";"";"";"";"";
"02.03.2019 15:00";"25.0";"763.8";"764.6";"-0.8";"64";"Wind blowing from the east";"4";"";"";"90  or more, but not 100%";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"17.6";"No precipitation";"6";"";"";"";"";
"02.03.2019 13:00";"25.8";"764.5";"765.2";"-1.2";"58";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.9";"";"";"";"";"";"";
"02.03.2019 12:00";"26.3";"764.6";"765.4";"-1.1";"58";"Wind blowing from the east-southeast";"4";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"19.9";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"17.3";"";"";"";"";"";"";
"02.03.2019 10:00";"24.5";"765.7";"766.4";"0.3";"74";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.5";"";"";"";"";"";"";
"02.03.2019 09:00";"22.6";"765.7";"766.6";"0.7";"84";"Wind blowing from the south";"4";"";"";"90  or more, but not 100%";"Clouds generally dissolving or becoming less developed. ";"Shower(s).";"Drizzle.";"";"";"Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"20.0";"19.8";"2.0";"24";"";"";"";"";
"02.03.2019 07:00";"21.0";"765.4";"766.1";"0.7";"85";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.4";"";"";"";"";"";"";
"02.03.2019 06:00";"20.0";"765.0";"765.8";"0.5";"97";"Wind blowing from the south";"4";"";"";"100%.";"Rain shower(s), slight. ";"Shower(s).";"Shower(s).";"";"";"Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"6.0";"19.5";"";"";"";"";"";"";
"02.03.2019 04:00";"20.5";"764.7";"765.4";"-0.5";"89";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.7";"";"";"";"";"";"";
