# Weather station Whyalla (airport), Australia, WMO_ID=95664,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=95664&lang=en
#
"Local time in Whyalla (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 23:30";"6.0";"766.6";"767.5";"0.2";"86";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"20.1";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"30.06.2019 22:30";"7.4";"766.6";"767.5";"-0.4";"82";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";
"30.06.2019 20:30";"10.5";"766.4";"767.3";"0.0";"73";"Wind blowing from the north";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"5.9";"No precipitation";"6";"";"";"";"";
"30.06.2019 19:30";"9.9";"767.0";"767.9";"0.8";"79";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"30.06.2019 17:30";"11.3";"766.4";"767.3";"0.0";"70";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"6.0";"";"";"";"";"";"";
"30.06.2019 16:30";"13.8";"766.2";"767.1";"-0.7";"59";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"30.06.2019 14:30";"14.8";"766.4";"767.3";"-1.6";"52";"Wind blowing from the north-northwest";"8";"";"";"60%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"5.1";"No precipitation";"6";"";"";"";"";
"30.06.2019 13:30";"14.6";"766.9";"767.8";"-1.8";"54";"Wind blowing from the north-west";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"30.06.2019 11:30";"14.1";"768.0";"768.9";"-0.3";"62";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"4.4";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"30.06.2019 10:30";"12.3";"768.7";"769.6";"1.2";"69";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"30.06.2019 08:30";"7.7";"768.3";"769.2";"1.4";"89";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.0";"0.6";"24";"";"";"";"";
"30.06.2019 07:30";"4.9";"767.5";"768.4";"0.8";"96";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"30.06.2019 05:30";"4.7";"766.9";"767.8";"0.4";"96";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
"30.06.2019 04:30";"5.1";"766.7";"767.6";"0.2";"96";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";
"30.06.2019 02:30";"5.1";"766.5";"767.4";"0.2";"96";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"No precipitation";"6";"";"";"";"";
"30.06.2019 01:30";"5.4";"766.5";"767.4";"-0.4";"94";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";
"29.06.2019 23:30";"5.9";"766.3";"767.2";"-0.3";"93";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"20.1";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"29.06.2019 22:30";"7.4";"766.9";"767.8";"1.7";"89";"Wind blowing from the west-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"29.06.2019 20:30";"7.6";"766.6";"767.5";"3.0";"85";"Wind blowing from the north-northwest";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"5.2";"No precipitation";"6";"";"";"";"";
"29.06.2019 19:30";"9.1";"765.2";"766.1";"2.6";"77";"Wind blowing from the west-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"29.06.2019 17:30";"10.9";"763.6";"764.5";"2.3";"71";"Wind blowing from the west-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"29.06.2019 16:30";"12.7";"762.6";"763.5";"1.9";"59";"Wind blowing from the west";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"29.06.2019 14:30";"13.3";"761.3";"762.2";"0.6";"58";"Wind blowing from the west";"11";"";"";"100%.";" ";"Precipitation";"Precipitation";"";"";"";"";"1000-1500";"";"";"";"5.2";"0.6";"6";"";"";"";"";
"29.06.2019 13:30";"12.9";"760.7";"761.6";"-0.2";"65";"Wind blowing from the west";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"29.06.2019 11:30";"14.5";"760.7";"761.6";"0.1";"61";"Wind blowing from the west-northwest";"9";"";"";"90  or more, but not 100%";" ";"";"";"10.0";"";"";"";"1000-1500";"";"";"";"7.1";"";"";"";"";"";"";
"29.06.2019 10:30";"13.0";"760.9";"761.8";"0.6";"67";"Wind blowing from the west-northwest";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"29.06.2019 08:30";"11.2";"760.6";"761.5";"0.3";"89";"Wind blowing from the north-northwest";"6";"";"";"";" ";"Precipitation";"Precipitation";"";"";"";"";"";"";"";"";"9.5";"3.0";"24";"";"";"";"";
"29.06.2019 07:30";"10.2";"760.3";"761.2";"1.1";"93";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"";"";"";"";"";"";
"29.06.2019 05:30";"10.8";"760.3";"761.2";"1.2";"90";"Wind blowing from the west-northwest";"8";"";"";"100%.";"Precipitation, slight or moderate. ";"";"Precipitation";"";"";"";"";"600-1000";"";"";"8.0";"9.2";"";"";"";"";"";"";
"29.06.2019 04:30";"13.5";"759.2";"760.1";"0.1";"68";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.7";"";"";"";"";"";"";
"29.06.2019 02:30";"14.7";"759.1";"760.0";"0.4";"75";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"10.3";"No precipitation";"6";"";"";"";"";
"29.06.2019 01:30";"17.2";"759.1";"760.0";"0.1";"60";"Wind blowing from the west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.4";"";"";"";"";"";"";
"28.06.2019 23:30";"18.9";"758.7";"759.6";"-0.8";"50";"Wind blowing from the north";"9";"";"";"100%.";" ";"";"";"";"23.8";"";"";"2500 or more, or no clouds.";"";"";"";"8.3";"";"";"";"";"";"";
"28.06.2019 22:30";"19.8";"759.0";"759.9";"-0.8";"48";"Wind blowing from the north";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"28.06.2019 20:30";"18.8";"759.5";"760.4";"-0.4";"50";"Wind blowing from the north";"5";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"8.2";"No precipitation";"6";"";"";"";"";
"28.06.2019 19:30";"18.9";"759.8";"760.7";"0.0";"49";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"28.06.2019 17:30";"20.6";"759.9";"760.8";"0.0";"43";"Wind blowing from the north";"6";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"7.6";"";"";"";"";"";"";
"28.06.2019 16:30";"22.7";"759.8";"760.7";"-1.0";"38";"Wind blowing from the north";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.7";"";"";"";"";"";"";
"28.06.2019 14:30";"23.3";"759.9";"760.8";"-2.3";"38";"Wind blowing from the north";"10";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"8.2";"No precipitation";"6";"";"";"";"";
"28.06.2019 13:30";"22.8";"760.8";"761.7";"-2.7";"41";"Wind blowing from the north";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.9";"";"";"";"";"";"";
"28.06.2019 11:30";"20.7";"762.2";"763.1";"-1.7";"48";"Wind blowing from the north";"10";"";"";"90  or more, but not 100%";" ";"";"";"12.4";"";"";"";"2500 or more, or no clouds.";"";"";"";"9.3";"";"";"";"";"";"";
"28.06.2019 10:30";"19.7";"763.5";"764.4";"-0.2";"50";"Wind blowing from the north";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.0";"";"";"";"";"";"";
"28.06.2019 08:30";"17.1";"763.9";"764.8";"0.3";"56";"Wind blowing from the north";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"No precipitation";"24";"";"";"";"";
"28.06.2019 07:30";"13.7";"763.7";"764.6";"0.1";"68";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.9";"";"";"";"";"";"";
"28.06.2019 05:30";"12.4";"763.6";"764.5";"-0.5";"74";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.9";"";"";"";"";"";"";
"28.06.2019 04:30";"14.2";"763.6";"764.5";"-1.1";"68";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
"28.06.2019 02:30";"14.9";"764.1";"765.0";"-0.8";"66";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"No precipitation";"6";"";"";"";"";
"28.06.2019 01:30";"14.3";"764.7";"765.6";"-0.2";"68";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"27.06.2019 23:30";"13.6";"764.9";"765.8";"0.0";"68";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"23.0";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"27.06.2019 22:30";"15.3";"764.9";"765.8";"0.0";"62";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"27.06.2019 20:30";"17.7";"764.9";"765.8";"0.3";"54";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"No precipitation";"6";"";"";"";"";
"27.06.2019 19:30";"17.4";"764.9";"765.8";"0.6";"54";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"27.06.2019 17:30";"20.1";"764.6";"765.5";"0.4";"44";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"";
"27.06.2019 16:30";"22.1";"764.3";"765.2";"-0.8";"40";"Wind blowing from the north";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.9";"";"";"";"";"";"";
"27.06.2019 14:30";"22.6";"764.2";"765.1";"-2.6";"39";"Wind blowing from the north";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"No precipitation";"6";"";"";"";"";
"27.06.2019 13:30";"21.9";"765.1";"766.0";"-2.8";"41";"Wind blowing from the north";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"27.06.2019 11:30";"20.9";"766.8";"767.7";"-1.6";"42";"Wind blowing from the north";"10";"";"";"";" ";"";"";"4.7";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"";
"27.06.2019 10:30";"18.8";"767.9";"768.8";"-0.7";"47";"Wind blowing from the north";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"27.06.2019 08:30";"12.9";"768.4";"769.3";"0.0";"70";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"No precipitation";"24";"";"";"";"";
"27.06.2019 07:30";"5.6";"768.6";"769.5";"1.1";"91";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"27.06.2019 05:30";"5.5";"768.4";"769.3";"0.6";"90";"Wind blowing from the west-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"27.06.2019 04:30";"5.7";"767.5";"768.4";"-0.6";"87";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"27.06.2019 02:30";"6.1";"767.8";"768.7";"-0.6";"85";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.8";"No precipitation";"6";"";"";"";"";
"27.06.2019 01:30";"8.7";"768.1";"769.0";"-0.9";"73";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
"26.06.2019 23:30";"8.3";"768.4";"769.3";"-1.2";"75";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"19.9";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
"26.06.2019 22:30";"11.7";"769.0";"769.9";"-0.6";"65";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"26.06.2019 20:30";"11.7";"769.6";"770.5";"0.3";"63";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"No precipitation";"6";"";"";"";"";
"26.06.2019 19:30";"11.1";"769.6";"770.5";"0.4";"63";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"26.06.2019 17:30";"14.3";"769.3";"770.2";"0.0";"53";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"26.06.2019 16:30";"18.8";"769.2";"770.1";"-1.0";"38";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"26.06.2019 14:30";"19.4";"769.3";"770.2";"-2.1";"35";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"No precipitation";"6";"";"";"";"";
"26.06.2019 13:30";"19.2";"770.2";"771.1";"-2.0";"37";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"26.06.2019 11:30";"18.4";"771.4";"772.3";"-0.8";"40";"Wind blowing from the north";"3";"";"";"";" ";"";"";"1.2";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"26.06.2019 10:30";"14.1";"772.2";"773.1";"0.5";"54";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"26.06.2019 08:30";"7.7";"772.2";"773.1";"0.8";"76";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"No precipitation";"24";"";"";"";"";
"26.06.2019 07:30";"1.7";"771.7";"772.6";"0.6";"92";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"26.06.2019 05:30";"1.4";"771.4";"772.3";"0.3";"92";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.2";"";"";"";"";"";"";
"26.06.2019 04:30";"1.7";"771.1";"772.0";"-0.3";"91";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";
"26.06.2019 02:30";"2.1";"771.1";"772.0";"-0.7";"91";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.8";"No precipitation";"6";"";"";"";"";
"26.06.2019 01:30";"3.1";"771.4";"772.3";"-0.6";"89";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.5";"";"";"";"";"";"";
"25.06.2019 23:30";"3.6";"771.8";"772.7";"0.0";"85";"Wind blowing from the west";"3";"";"";"";" ";"";"";"";"17.6";"";"";"";"";"";"";"1.3";"";"";"";"";"";"";
"25.06.2019 22:30";"4.3";"772.0";"772.9";"0.3";"85";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.0";"";"";"";"";"";"";
"25.06.2019 20:30";"6.3";"771.8";"772.7";"0.5";"81";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.3";"No precipitation";"6";"";"";"";"";
"25.06.2019 19:30";"8.2";"771.7";"772.6";"1.0";"79";"Wind blowing from the north-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"25.06.2019 17:30";"11.6";"771.3";"772.2";"0.7";"72";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"25.06.2019 16:30";"15.3";"770.7";"771.6";"-0.3";"51";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"25.06.2019 14:30";"15.8";"770.6";"771.5";"-1.0";"49";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"No precipitation";"6";"";"";"";"";
"25.06.2019 13:30";"16.7";"771.0";"771.9";"-1.3";"35";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.2";"";"";"";"";"";"";
"25.06.2019 11:30";"15.8";"771.6";"772.5";"-0.2";"39";"Wind blowing from the north";"6";"";"";"";" ";"";"";"5.2";"";"";"";"";"";"";"";"1.9";"";"";"";"";"";"";
"25.06.2019 10:30";"14.1";"772.3";"773.2";"0.9";"49";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"25.06.2019 08:30";"9.7";"771.8";"772.7";"1.0";"78";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"0.6";"24";"";"";"";"";
"25.06.2019 07:30";"6.7";"771.4";"772.3";"1.2";"93";"Wind blowing from the west-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"25.06.2019 05:30";"7.6";"770.8";"771.7";"0.3";"90";"Wind blowing from the north";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"6.1";"";"";"";"";"";"";
"25.06.2019 04:30";"7.7";"770.2";"771.1";"-0.9";"86";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.5";"";"";"";"";"";"";
"25.06.2019 02:30";"8.3";"770.5";"771.4";"-0.6";"84";"Wind blowing from the north";"4";"";"";"100%.";"Precipitation ";"Precipitation";"Precipitation";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"5.8";"0.6";"6";"";"";"";"";
"25.06.2019 01:30";"8.1";"771.1";"772.0";"0.4";"84";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"24.06.2019 23:30";"8.4";"771.1";"772.0";"0.9";"64";"Wind blowing from the west-northwest";"2";"";"";"100%.";" ";"";"";"";"14.2";"";"";"2500 or more, or no clouds.";"";"";"";"2.0";"";"";"";"";"";"";
"24.06.2019 22:30";"9.7";"770.7";"771.6";"1.1";"55";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.1";"";"";"";"";"";"";
"24.06.2019 20:30";"10.0";"770.2";"771.1";"0.6";"54";"Wind blowing from the north-northeast";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"0.9";"No precipitation";"6";"";"";"";"";
"24.06.2019 19:30";"11.3";"769.6";"770.5";"0.3";"47";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";
"24.06.2019 17:30";"10.9";"769.6";"770.5";"0.6";"47";"Wind blowing from the north";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"0.0";"";"";"";"";"";"";
"24.06.2019 16:30";"12.0";"769.3";"770.2";"-0.6";"37";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.2";"";"";"";"";"";"";
"24.06.2019 14:30";"12.7";"769.0";"769.9";"-2.1";"34";"Wind blowing from the north";"6";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"-2.7";"No precipitation";"6";"";"";"";"";
"24.06.2019 13:30";"12.8";"769.9";"770.8";"-1.6";"38";"Wind blowing from the north";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.1";"";"";"";"";"";"";
"24.06.2019 11:30";"10.4";"771.1";"772.0";"-0.9";"50";"Wind blowing from the north";"5";"";"";"100%.";" ";"";"";"-0.9";"";"";"";"2500 or more, or no clouds.";"";"";"";"0.2";"";"";"";"";"";"";
"24.06.2019 10:30";"7.9";"771.5";"772.4";"0.1";"68";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.2";"";"";"";"";"";"";
"24.06.2019 08:30";"4.3";"772.0";"772.9";"0.9";"80";"Wind blowing from the west-northwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"1.2";"No precipitation";"24";"";"";"";"";
"24.06.2019 07:30";"-0.9";"771.4";"772.3";"0.3";"92";"Wind blowing from the west-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.0";"";"";"";"";"";"";
"24.06.2019 05:30";"-0.3";"771.1";"772.0";"0.0";"91";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.6";"";"";"";"";"";"";
"24.06.2019 04:30";"-0.5";"771.1";"772.0";"0.3";"89";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.1";"";"";"";"";"";"";
"24.06.2019 02:30";"0.3";"771.1";"772.0";"0.0";"89";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.4";"No precipitation";"6";"";"";"";"";
"24.06.2019 01:30";"2.2";"770.8";"771.7";"-0.6";"81";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.7";"";"";"";"";"";"";
"23.06.2019 23:30";"5.7";"771.1";"772.0";"-0.3";"76";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"";"13.4";"";"";"";"";"";"";"1.8";"";"";"";"";"";"";
"23.06.2019 22:30";"4.1";"771.4";"772.3";"0.1";"82";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.3";"";"";"";"";"";"";
"23.06.2019 20:30";"3.2";"771.4";"772.3";"0.3";"82";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.3";"No precipitation";"6";"";"";"";"";
"23.06.2019 19:30";"5.0";"771.3";"772.2";"0.5";"75";"Wind blowing from the east-southeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.9";"";"";"";"";"";"";
"23.06.2019 17:30";"8.5";"771.1";"772.0";"0.6";"64";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.1";"";"";"";"";"";"";
"23.06.2019 16:30";"12.5";"770.8";"771.7";"0.0";"43";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.0";"";"";"";"";"";"";
"23.06.2019 14:30";"12.7";"770.5";"771.4";"-1.1";"40";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.5";"No precipitation";"6";"";"";"";"";
"23.06.2019 13:30";"12.5";"770.8";"771.7";"-1.7";"52";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.7";"";"";"";"";"";"";
"23.06.2019 11:30";"12.5";"771.6";"772.5";"-0.8";"57";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"-0.4";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"23.06.2019 10:30";"11.8";"772.5";"773.4";"0.4";"65";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"23.06.2019 08:30";"5.5";"772.4";"773.3";"0.8";"92";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"No precipitation";"24";"";"";"";"";
"23.06.2019 07:30";"-0.1";"772.1";"773.0";"0.7";"97";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.5";"";"";"";"";"";"";
"23.06.2019 05:30";"0.2";"771.6";"772.5";"0.5";"96";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.4";"";"";"";"";"";"";
"23.06.2019 04:30";"0.7";"771.4";"772.3";"0.3";"95";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.0";"";"";"";"";"";"";
"23.06.2019 02:30";"1.6";"771.1";"772.0";"-0.3";"94";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.7";"No precipitation";"6";"";"";"";"";
"23.06.2019 01:30";"1.9";"771.1";"772.0";"-0.3";"92";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";
"22.06.2019 23:30";"2.7";"771.4";"772.3";"0.1";"90";"Wind blowing from the west-northwest";"3";"";"";"";" ";"";"";"";"14.0";"";"";"";"";"";"";"1.2";"";"";"";"";"";"";
"22.06.2019 22:30";"3.2";"771.4";"772.3";"0.1";"88";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.4";"";"";"";"";"";"";
"22.06.2019 20:30";"4.1";"771.3";"772.2";"0.3";"84";"Wind blowing from the west-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.6";"No precipitation";"6";"";"";"";"";
"22.06.2019 19:30";"6.4";"771.3";"772.2";"0.4";"79";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.0";"";"";"";"";"";"";
"22.06.2019 17:30";"9.5";"771.0";"771.9";"0.2";"67";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
