# Weather station Portland (airport), Australia, WMO_ID=94828,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=94828&lang=en
#
"Local time in Portland (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 23:00";"9.7";"755.6";"763.0";"0.1";"85";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"30.06.2019 21:00";"10.5";"755.5";"762.9";"0.5";"86";"Wind blowing from the north-northwest";"8";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"";"8.3";"No precipitation";"6";"";"";"";"";
"30.06.2019 20:00";"10.5";"755.5";"762.9";"0.5";"86";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"30.06.2019 18:00";"10.7";"755.0";"762.4";"0.4";"85";"Wind blowing from the north-northwest";"7";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"8.3";"";"";"";"";"";"";
"30.06.2019 17:00";"10.9";"755.0";"762.4";"0.6";"84";"Wind blowing from the north-west";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"30.06.2019 15:00";"11.2";"754.6";"762.0";"-0.5";"76";"Wind blowing from the west-northwest";"10";"";"";"70 – 80%.";"Precipitation, slight or moderate. ";"Precipitation";"Precipitation";"";"";"";"";"300-600";"";"";"8.0";"7.1";"2.0";"6";"";"";"";"";
"30.06.2019 14:00";"13.5";"754.4";"761.8";"-0.8";"66";"Wind blowing from the west-northwest";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"30.06.2019 12:00";"11.6";"755.1";"762.5";"0.5";"82";"Wind blowing from the west-northwest";"8";"";"";"100%.";"Precipitation ";"";"Precipitation";"8.1";"";"";"";"600-1000";"";"";"";"8.6";"";"";"";"";"";"";
"30.06.2019 11:00";"9.9";"755.2";"762.7";"1.0";"88";"Wind blowing from the north-west";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"30.06.2019 09:00";"11.1";"754.6";"762.1";"1.5";"67";"Wind blowing from the west";"9";"";"";"60%.";" ";"Precipitation";"Precipitation";"";"";"";"";"1500-2000";"";"";"";"5.2";"18.0";"24";"";"";"";"";
"30.06.2019 08:00";"9.7";"754.2";"761.6";"1.4";"72";"Wind blowing from the west";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"30.06.2019 06:00";"9.8";"753.1";"760.6";"0.6";"72";"Wind blowing from the west";"10";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"";"5.0";"";"";"";"";"";"";
"30.06.2019 05:00";"9.8";"752.8";"760.1";"0.8";"71";"Wind blowing from the west";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"30.06.2019 03:00";"9.2";"752.5";"759.8";"1.4";"70";"Wind blowing from the west";"11";"";"";"100%.";"Precipitation, slight or moderate. ";"Precipitation";"Precipitation";"";"";"";"";"600-1000";"";"";"";"4.0";"2.0";"6";"";"";"";"";
"30.06.2019 02:00";"10.1";"752.0";"759.4";"1.3";"60";"Wind blowing from the west";"11";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.7";"";"";"";"";"";"";
"30.06.2019 00:00";"9.8";"751.1";"758.5";"2.3";"67";"Wind blowing from the west";"12";"";"";"100%.";"Precipitation ";"";"Precipitation";"";"";"";"";"1000-1500";"";"";"";"3.8";"";"";"";"";"";"";
"29.06.2019 23:00";"9.0";"750.7";"758.0";"3.3";"83";"Wind blowing from the west";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"29.06.2019 21:00";"10.5";"748.8";"756.1";"2.6";"79";"Wind blowing from the west";"12";"";"";"100%.";"Precipitation ";"Precipitation";"Precipitation";"";"";"";"";"600-1000";"";"";"";"7.0";"6.0";"6";"";"";"";"";
"29.06.2019 20:00";"10.7";"747.4";"754.8";"1.5";"85";"Wind blowing from the west";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"29.06.2019 18:00";"9.2";"746.2";"753.6";"1.0";"90";"Wind blowing from the north-west";"7";"";"";"100%.";"Precipitation ";"";"Precipitation";"";"";"";"";"300-600";"";"";"";"7.6";"";"";"";"";"";"";
"29.06.2019 17:00";"9.0";"745.9";"753.3";"0.6";"89";"Wind blowing from the north-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"29.06.2019 15:00";"9.6";"745.2";"752.5";"-1.3";"88";"Wind blowing from the north-northwest";"6";"";"";"100%.";"Precipitation ";"Precipitation";"Precipitation";"";"";"";"";"600-1000";"";"";"";"7.7";"9.0";"6";"";"";"";"";
"29.06.2019 14:00";"10.0";"745.3";"752.6";"-0.3";"87";"Wind blowing from the north-west";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.9";"";"";"";"";"";"";
"29.06.2019 12:00";"11.0";"746.5";"753.9";"-1.3";"89";"Wind blowing from the west";"11";"";"";"90  or more, but not 100%";"Precipitation ";"";"Precipitation";"14.1";"";"";"";"300-600";"";"";"";"9.3";"";"";"";"";"";"";
"29.06.2019 11:00";"14.4";"745.6";"752.9";"-3.0";"84";"Wind blowing from the north-northeast";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.7";"";"";"";"";"";"";
"29.06.2019 09:00";"14.4";"747.8";"755.2";"-1.3";"85";"Wind blowing from the north";"6";"";"";"100%.";" ";"Precipitation";"Precipitation";"";"";"";"";"300-600";"";"";"";"11.9";"0.8";"24";"";"";"";"";
"29.06.2019 08:00";"14.4";"748.6";"755.9";"-1.4";"84";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.7";"";"";"";"";"";"";
"29.06.2019 06:00";"14.3";"749.1";"756.4";"-1.8";"84";"Wind blowing from the north-northeast";"5";"";"";"100%.";"Precipitation ";"";"Precipitation";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"11.6";"";"";"";"";"";"";
"29.06.2019 05:00";"15.1";"750.0";"757.3";"-1.5";"75";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.7";"";"";"";"";"";"";
"29.06.2019 03:00";"15.9";"750.9";"758.2";"-1.9";"69";"Wind blowing from the north";"5";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"10.2";"No precipitation";"6";"";"";"";"";
"29.06.2019 02:00";"15.4";"751.5";"758.8";"-1.9";"69";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.7";"";"";"";"";"";"";
"29.06.2019 00:00";"14.8";"752.8";"760.3";"-1.6";"71";"Wind blowing from the north-northeast";"4";"";"";"100%.";" ";"";"";"";"19.8";"";"";"2500 or more, or no clouds.";"";"";"";"9.6";"";"";"";"";"";"";
"28.06.2019 23:00";"14.3";"753.4";"760.8";"-1.2";"72";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"28.06.2019 21:00";"14.4";"754.4";"761.8";"-0.4";"71";"Wind blowing from the north-northeast";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"9.2";"No precipitation";"6";"";"";"";"";
"28.06.2019 20:00";"15.0";"754.6";"762.1";"0.0";"70";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.6";"";"";"";"";"";"";
"28.06.2019 18:00";"15.2";"754.8";"762.2";"-0.2";"70";"Wind blowing from the north-northeast";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"9.8";"";"";"";"";"";"";
"28.06.2019 17:00";"16.7";"754.6";"762.0";"-1.0";"65";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"28.06.2019 15:00";"18.6";"755.0";"762.4";"-2.1";"59";"Wind blowing from the north";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"10.4";"No precipitation";"6";"";"";"";"";
"28.06.2019 14:00";"17.6";"755.6";"763.0";"-2.5";"61";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";
"28.06.2019 12:00";"17.3";"757.1";"764.5";"-1.4";"55";"Wind blowing from the north";"7";"";"";"100%.";" ";"";"";"12.8";"";"";"";"2000-2500";"";"";"";"8.2";"";"";"";"";"";"";
"28.06.2019 11:00";"16.8";"758.1";"765.5";"-0.3";"56";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"28.06.2019 09:00";"14.9";"758.5";"766.0";"0.2";"58";"Wind blowing from the north";"8";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"6.7";"No precipitation";"24";"";"";"";"";
"28.06.2019 08:00";"14.6";"758.4";"765.8";"-0.1";"60";"Wind blowing from the north";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"28.06.2019 06:00";"14.4";"758.3";"765.7";"-0.5";"60";"Wind blowing from the north";"8";"";"";"100%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"6.7";"";"";"";"";"";"";
"28.06.2019 05:00";"14.6";"758.5";"765.9";"-0.4";"59";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"28.06.2019 03:00";"13.6";"758.8";"766.2";"-0.5";"61";"Wind blowing from the north";"6";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"6.2";"No precipitation";"6";"";"";"";"";
"28.06.2019 02:00";"14.0";"758.9";"766.3";"-0.5";"59";"Wind blowing from the north";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"28.06.2019 00:00";"14.2";"759.3";"766.7";"-0.7";"59";"Wind blowing from the north";"6";"";"";"100%.";" ";"";"";"";"17.6";"";"";"2500 or more, or no clouds.";"";"";"";"6.3";"";"";"";"";"";"";
"27.06.2019 23:00";"14.4";"759.4";"766.9";"-0.8";"60";"Wind blowing from the north";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"27.06.2019 21:00";"13.9";"760.0";"767.5";"-0.3";"65";"Wind blowing from the north";"6";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"7.4";"No precipitation";"6";"";"";"";"";
"27.06.2019 20:00";"13.9";"760.2";"767.6";"0.1";"68";"Wind blowing from the north-northeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"27.06.2019 18:00";"13.7";"760.3";"767.7";"0.0";"69";"Wind blowing from the north-northeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"27.06.2019 17:00";"14.6";"760.1";"767.5";"-0.5";"65";"Wind blowing from the north-northeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"27.06.2019 15:00";"17.0";"760.3";"767.7";"-1.8";"55";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.9";"No precipitation";"6";"";"";"";"";
"27.06.2019 14:00";"17.3";"760.6";"768.1";"-2.4";"53";"Wind blowing from the north";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"27.06.2019 12:00";"16.1";"762.1";"769.6";"-1.7";"61";"Wind blowing from the north";"7";"";"";"";" ";"";"";"5.3";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"27.06.2019 11:00";"14.5";"763.0";"770.5";"-0.7";"65";"Wind blowing from the north";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"27.06.2019 09:00";"10.8";"763.8";"771.3";"0.2";"79";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"0.2";"24";"";"";"";"";
"27.06.2019 08:00";"9.4";"763.7";"771.2";"0.3";"80";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"27.06.2019 06:00";"9.4";"763.6";"771.1";"0.4";"79";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"27.06.2019 05:00";"9.6";"763.4";"770.9";"0.2";"79";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"27.06.2019 03:00";"10.6";"763.2";"770.7";"-0.8";"77";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"No precipitation";"6";"";"";"";"";
"27.06.2019 02:00";"10.7";"763.2";"770.7";"-1.5";"80";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.4";"";"";"";"";"";"";
"27.06.2019 00:00";"7.2";"764.0";"771.5";"-0.8";"88";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"";"16.1";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"26.06.2019 23:00";"6.5";"764.7";"772.2";"-0.3";"87";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";
"26.06.2019 21:00";"9.1";"764.8";"772.3";"-0.6";"83";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.4";"No precipitation";"6";"";"";"";"";
"26.06.2019 20:00";"9.3";"765.0";"772.5";"-0.1";"84";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"26.06.2019 18:00";"9.7";"765.4";"772.9";"0.1";"72";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"26.06.2019 17:00";"13.3";"765.1";"772.6";"-0.6";"68";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"";
"26.06.2019 15:00";"15.5";"765.3";"772.8";"-1.9";"61";"Wind blowing from the north";"4";"";"";"";" ";"Precipitation";"Precipitation";"";"";"";"";"";"";"";"";"8.0";"0.2";"6";"";"";"";"";
"26.06.2019 14:00";"15.8";"765.7";"773.2";"-2.0";"62";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"26.06.2019 12:00";"13.7";"767.2";"774.7";"-0.6";"68";"Wind blowing from the north";"5";"";"";"";" ";"";"";"2.1";"";"";"";"";"";"";"";"7.9";"";"";"";"";"";"";
"26.06.2019 11:00";"12.4";"767.7";"775.2";"0.1";"80";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"";"";"";"";"";"";
"26.06.2019 09:00";"7.3";"767.8";"775.3";"0.6";"91";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"No precipitation";"24";"";"";"";"";
"26.06.2019 08:00";"4.9";"767.6";"775.1";"0.6";"91";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"26.06.2019 06:00";"5.6";"767.2";"774.7";"0.1";"91";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"26.06.2019 05:00";"5.6";"767.0";"774.5";"-0.2";"91";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"26.06.2019 03:00";"5.3";"767.1";"774.6";"-0.1";"90";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.8";"No precipitation";"6";"";"";"";"";
"26.06.2019 02:00";"5.7";"767.2";"774.7";"-0.2";"89";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"26.06.2019 00:00";"4.9";"767.2";"774.7";"-0.2";"87";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"15.0";"";"";"";"";"";"";"2.9";"";"";"";"";"";"";
"25.06.2019 23:00";"4.6";"767.4";"774.9";"0.2";"87";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.6";"";"";"";"";"";"";
"25.06.2019 21:00";"3.1";"767.4";"774.9";"0.8";"85";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.8";"No precipitation";"6";"";"";"";"";
"25.06.2019 20:00";"3.4";"767.2";"774.7";"0.6";"82";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";
"25.06.2019 18:00";"6.2";"766.6";"774.1";"0.6";"72";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.5";"";"";"";"";"";"";
"25.06.2019 17:00";"11.3";"766.6";"774.1";"0.6";"64";"Wind blowing from the west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"25.06.2019 15:00";"14.4";"766.0";"773.5";"-0.8";"46";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.9";"No precipitation";"6";"";"";"";"";
"25.06.2019 14:00";"14.2";"766.0";"773.5";"-1.1";"54";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";
"25.06.2019 12:00";"12.1";"766.8";"774.3";"-0.1";"64";"Wind blowing from the north";"4";"";"";"";" ";"";"";"2.9";"";"";"";"";"";"";"";"5.5";"";"";"";"";"";"";
"25.06.2019 11:00";"10.4";"767.1";"774.6";"0.6";"70";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"25.06.2019 09:00";"5.7";"766.9";"774.4";"0.8";"85";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.4";"No precipitation";"24";"";"";"";"";
"25.06.2019 08:00";"3.9";"766.5";"774.0";"0.8";"85";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.6";"";"";"";"";"";"";
"25.06.2019 06:00";"4.6";"766.1";"773.6";"0.6";"82";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.8";"";"";"";"";"";"";
"25.06.2019 05:00";"5.0";"765.7";"773.2";"0.5";"80";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.8";"";"";"";"";"";"";
"25.06.2019 03:00";"5.6";"765.5";"773.0";"-0.3";"81";"Wind blowing from the north";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"2.6";"No precipitation";"6";"";"";"";"";
"25.06.2019 02:00";"6.0";"765.2";"772.7";"-0.6";"80";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.8";"";"";"";"";"";"";
"25.06.2019 00:00";"6.0";"765.8";"773.3";"-0.2";"80";"Wind blowing from the north-northeast";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"12.9";"";"";"2500 or more, or no clouds.";"";"";"";"2.8";"";"";"";"";"";"";
"24.06.2019 23:00";"5.9";"765.8";"773.3";"-0.1";"83";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"24.06.2019 21:00";"4.0";"766.0";"773.5";"0.8";"83";"Wind blowing from the north-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.4";"No precipitation";"6";"";"";"";"";
"24.06.2019 20:00";"3.0";"765.9";"773.4";"0.6";"78";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.5";"";"";"";"";"";"";
"24.06.2019 18:00";"8.0";"765.2";"772.7";"0.3";"70";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.9";"";"";"";"";"";"";
"24.06.2019 17:00";"9.2";"765.3";"772.8";"0.2";"65";"Wind blowing from the north-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.0";"";"";"";"";"";"";
"24.06.2019 15:00";"12.3";"764.9";"772.4";"-1.5";"54";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.3";"No precipitation";"6";"";"";"";"";
"24.06.2019 14:00";"12.5";"765.1";"772.6";"-1.8";"56";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"24.06.2019 12:00";"10.9";"766.4";"773.9";"-0.3";"68";"Wind blowing from the north";"5";"";"";"";" ";"";"";"-0.7";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"24.06.2019 11:00";"8.6";"766.9";"774.4";"0.5";"88";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"24.06.2019 09:00";"2.3";"766.7";"774.2";"0.4";"94";"Wind blowing from the north";"3";"";"";"";"Precipitation, slight or moderate. ";"Precipitation";"Precipitation";"";"";"";"";"";"";"";"";"1.4";"0.2";"24";"";"";"";"";
"24.06.2019 08:00";"-0.2";"766.4";"773.9";"-0.2";"93";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.2";"";"";"";"";"";"";
"24.06.2019 06:00";"0.8";"766.3";"773.8";"-0.5";"93";"Wind blowing from the north-northeast";"3";"";"";"50%.";" ";"";"";"";"";"";"";"Less than  50";"";"";"0.5";"-0.2";"";"";"";"";"";"";
"24.06.2019 05:00";"1.7";"766.6";"774.1";"0.0";"93";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";
"24.06.2019 03:00";"0.9";"766.8";"774.3";"-0.1";"92";"Wind blowing from the north-northeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"0.5";"-0.2";"No precipitation";"6";"";"";"";"";
"24.06.2019 02:00";"3.5";"766.6";"774.1";"0.0";"92";"Wind blowing from the east-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.3";"";"";"";"";"";"";
"24.06.2019 00:00";"2.5";"766.9";"774.4";"0.3";"91";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"13.1";"";"";"";"";"";"0.5";"1.2";"";"";"";"";"";"";
"23.06.2019 23:00";"3.6";"766.6";"774.1";"0.2";"90";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.1";"";"";"";"";"";"";
"23.06.2019 21:00";"2.2";"766.6";"774.1";"0.5";"86";"Wind blowing from the north-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"1.0";"0.1";"No precipitation";"6";"";"";"";"";
"23.06.2019 20:00";"3.9";"766.4";"773.9";"0.4";"85";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.6";"";"";"";"";"";"";
"23.06.2019 18:00";"5.2";"766.1";"773.6";"0.2";"75";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.1";"";"";"";"";"";"";
"23.06.2019 17:00";"10.1";"766.0";"773.5";"0.1";"70";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"23.06.2019 15:00";"12.1";"765.9";"773.4";"-0.7";"61";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"No precipitation";"6";"";"";"";"";
"23.06.2019 14:00";"12.8";"765.9";"773.4";"-1.3";"63";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"23.06.2019 12:00";"12.1";"766.6";"774.1";"-0.3";"75";"Wind blowing from the east";"2";"";"";"";" ";"";"";"3.1";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"23.06.2019 11:00";"11.6";"767.2";"774.7";"0.9";"88";"Wind blowing from the north-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.7";"";"";"";"";"";"";
"23.06.2019 09:00";"6.3";"766.9";"774.4";"1.1";"93";"Calm, no wind";"0";"";"";"";" ";"Precipitation";"Precipitation";"";"";"";"";"";"";"";"2.0";"5.3";"6.0";"24";"";"";"";"";
"23.06.2019 08:00";"4.3";"766.3";"773.8";"0.5";"93";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.3";"";"";"";"";"";"";
"23.06.2019 06:00";"5.9";"765.8";"773.3";"-0.1";"92";"Wind blowing from the west";"2";"";"";"100%.";"Precipitation, slight or moderate. ";"";"Precipitation";"";"";"";"";"600-1000";"";"";"";"4.7";"";"";"";"";"";"";
"23.06.2019 05:00";"6.3";"765.8";"773.3";"0.1";"92";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"23.06.2019 03:00";"5.7";"765.9";"773.4";"-0.2";"91";"Wind blowing from the north";"3";"";"";"100%.";" ";"Precipitation";"Precipitation";"";"";"";"";"600-1000";"";"";"";"4.3";"4.0";"6";"";"";"";"";
"23.06.2019 02:00";"5.8";"765.7";"773.2";"-0.4";"90";"Wind blowing from the west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"23.06.2019 00:00";"7.8";"766.1";"773.6";"-0.2";"89";"Wind blowing from the east";"2";"";"";"100%.";" ";"";"Precipitation";"";"12.6";"";"";"600-1000";"";"";"";"6.1";"";"";"";"";"";"";
"22.06.2019 23:00";"8.1";"766.1";"773.6";"-0.3";"88";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"22.06.2019 21:00";"7.6";"766.3";"773.8";"-0.2";"84";"Wind blowing from the south-east";"1";"";"";"100%.";"Precipitation, slight or moderate. ";"Precipitation";"Precipitation";"";"";"";"";"300-600";"";"";"5.0";"5.1";"0.6";"6";"";"";"";"";
"22.06.2019 20:00";"5.4";"766.4";"773.9";"0.0";"77";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.7";"";"";"";"";"";"";
"22.06.2019 18:00";"7.1";"766.5";"774.0";"0.3";"70";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"2.0";"";"";"";"";"";"";
