# Weather station Gladstone (airport), Australia, WMO_ID=94381,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=94381&lang=en
#
"Local time in Gladstone (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 21:00";"17.3";"763.9";"765.4";"1.3";"80";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.8";"No precipitation";"6";"";"";"";"";
"30.06.2019 18:00";"20.3";"762.6";"764.1";"0.4";"72";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.1";"";"";"";"";"";"";
"30.06.2019 15:00";"22.3";"762.2";"763.7";"-1.3";"63";"Wind blowing from the east-northeast";"6";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"14.9";"No precipitation";"6";"";"";"";"";
"30.06.2019 12:00";"22.9";"763.5";"765.0";"-1.2";"59";"Wind blowing from the east-southeast";"6";"";"";"100%.";" ";"";"";"14.0";"";"";"";"600-1000";"";"";"";"14.5";"";"";"";"";"";"";
"30.06.2019 09:00";"18.5";"764.7";"766.2";"0.8";"75";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"14.0";"No precipitation";"24";"";"";"";"";
"30.06.2019 06:00";"14.2";"763.9";"765.4";"0.3";"88";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.2";"";"";"";"";"";"";
"30.06.2019 03:00";"15.3";"763.6";"765.1";"-0.3";"83";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.4";"No precipitation";"6";"";"";"";"";
"30.06.2019 00:00";"17.2";"763.9";"765.4";"-0.6";"77";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"25.0";"";"";"";"";"";"";"13.1";"";"";"";"";"";"";
"29.06.2019 21:00";"19.2";"764.5";"766.0";"0.7";"69";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.4";"No precipitation";"6";"";"";"";"";
"29.06.2019 18:00";"21.1";"763.8";"765.3";"0.2";"64";"Wind blowing from the east-southeast";"4";"";"";"20–30%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"14.0";"";"";"";"";"";"";
"29.06.2019 15:00";"24.1";"763.6";"765.1";"-1.4";"50";"Wind blowing from the east";"6";"";"";"40%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"13.0";"No precipitation";"6";"";"";"";"";
"29.06.2019 12:00";"23.5";"765.0";"766.5";"-1.6";"53";"Wind blowing from the south-east";"5";"";"";"10%  or less, but not 0";" ";"";"";"13.5";"";"";"";"1500-2000";"";"";"";"13.4";"";"";"";"";"";"";
"29.06.2019 09:00";"18.6";"766.6";"768.1";"0.7";"66";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.1";"No precipitation";"24";"";"";"";"";
"29.06.2019 06:00";"14.3";"765.9";"767.4";"0.2";"79";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"10.7";"";"";"";"";"";"";
"29.06.2019 03:00";"15.2";"765.7";"767.2";"-1.3";"72";"Wind blowing from the south-southwest";"3";"";"";"60%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"10.2";"No precipitation";"6";"";"";"";"";
"29.06.2019 00:00";"16.1";"767.0";"768.5";"-0.6";"66";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"24.4";"";"";"";"";"";"";"9.8";"";"";"";"";"";"";
"28.06.2019 21:00";"17.6";"767.6";"769.1";"0.7";"59";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.5";"No precipitation";"6";"";"";"";"";
"28.06.2019 18:00";"20.0";"766.9";"768.4";"0.7";"46";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"28.06.2019 15:00";"23.0";"766.2";"767.7";"-1.3";"41";"Wind blowing from the east-southeast";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.0";"No precipitation";"6";"";"";"";"";
"28.06.2019 12:00";"23.2";"767.5";"769.0";"-0.8";"50";"Wind blowing from the east-southeast";"8";"";"";"40%.";" ";"";"";"17.3";"";"";"";"1000-1500";"";"";"";"12.2";"";"";"";"";"";"";
"28.06.2019 09:00";"20.9";"768.3";"769.8";"1.3";"61";"Wind blowing from the south-east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.1";"No precipitation";"24";"";"";"";"";
"28.06.2019 06:00";"17.5";"767.0";"768.5";"0.2";"73";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.6";"";"";"";"";"";"";
"28.06.2019 03:00";"18.1";"766.8";"768.3";"-0.7";"70";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.5";"No precipitation";"6";"";"";"";"";
"28.06.2019 00:00";"18.5";"767.5";"769.0";"-0.6";"67";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"24.5";"";"";"";"";"";"";"12.3";"";"";"";"";"";"";
"27.06.2019 21:00";"19.5";"768.1";"769.6";"0.9";"64";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.5";"No precipitation";"6";"";"";"";"";
"27.06.2019 18:00";"20.9";"767.2";"768.7";"1.6";"55";"Wind blowing from the south-east";"7";"";"";"50%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"11.5";"";"";"";"";"";"";
"27.06.2019 15:00";"23.2";"765.6";"767.1";"-0.7";"50";"Wind blowing from the east-southeast";"9";"";"";"60%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"12.2";"No precipitation";"6";"";"";"";"";
"27.06.2019 12:00";"23.1";"766.3";"767.8";"-0.7";"58";"Wind blowing from the south-east";"8";"";"";"70 – 80%.";" ";"";"";"16.6";"";"";"";"600-1000";"";"";"";"14.4";"";"";"";"";"";"";
"27.06.2019 09:00";"20.1";"767.0";"768.5";"1.0";"74";"Wind blowing from the south-east";"6";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"15.3";"8.0";"24";"";"";"";"";
"27.06.2019 06:00";"18.1";"766.0";"767.5";"0.4";"78";"Wind blowing from the south-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.2";"";"";"";"";"";"";
"27.06.2019 03:00";"17.9";"765.6";"767.1";"-0.5";"78";"Wind blowing from the south-southeast";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"14.0";"No precipitation";"6";"";"";"";"";
"27.06.2019 00:00";"17.5";"766.1";"767.6";"-0.2";"77";"Wind blowing from the south-southeast";"5";"";"";"100%.";" ";"";"";"";"20.0";"";"";"2500 or more, or no clouds.";"";"";"";"13.4";"";"";"";"";"";"";
"26.06.2019 21:00";"17.2";"766.3";"767.8";"0.4";"79";"Wind blowing from the south-southeast";"6";"";"";"100%.";" ";"Precipitation";"Precipitation";"";"";"";"";"2000-2500";"";"";"";"13.5";"6.0";"6";"";"";"";"";
"26.06.2019 18:00";"17.1";"765.9";"767.4";"1.1";"87";"Wind blowing from the south-southeast";"5";"";"";"100%.";"Precipitation, slight or moderate. ";"";"Precipitation";"";"";"";"";"600-1000";"";"";"6.0";"14.9";"";"";"";"";"";"";
"26.06.2019 15:00";"18.1";"764.8";"766.3";"-0.9";"85";"Wind blowing from the south-southeast";"5";"";"";"100%.";"Precipitation ";"Precipitation";"Precipitation";"";"";"";"";"300-600";"";"";"";"15.5";"2.0";"6";"";"";"";"";
"26.06.2019 12:00";"19.6";"765.7";"767.2";"-0.7";"75";"Wind blowing from the south-east";"5";"";"";"100%.";" ";"";"";"15.9";"";"";"";"300-600";"";"";"";"15.0";"";"";"";"";"";"";
"26.06.2019 09:00";"18.6";"766.4";"767.9";"1.0";"79";"Wind blowing from the south-southeast";"5";"";"";"70 – 80%.";" ";"Precipitation";"Precipitation";"";"";"";"";"300-600";"";"";"";"14.9";"0.4";"24";"";"";"";"";
"26.06.2019 06:00";"16.3";"765.4";"766.9";"0.2";"86";"Wind blowing from the south";"3";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"";"14.0";"";"";"";"";"";"";
"26.06.2019 03:00";"16.2";"765.2";"766.7";"-0.6";"85";"Wind blowing from the south-southwest";"2";"";"";"100%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"13.7";"No precipitation";"6";"";"";"";"";
"26.06.2019 00:00";"17.6";"765.8";"767.3";"-0.3";"71";"Wind blowing from the south-southeast";"3";"";"";"100%.";" ";"";"";"";"23.3";"";"";"600-1000";"";"";"";"12.3";"";"";"";"";"";"";
"25.06.2019 21:00";"17.5";"766.1";"767.6";"0.9";"65";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.9";"No precipitation";"6";"";"";"";"";
"25.06.2019 18:00";"19.6";"765.2";"766.7";"1.0";"60";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.6";"";"";"";"";"";"";
"25.06.2019 15:00";"22.4";"764.2";"765.7";"-1.2";"44";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.6";"No precipitation";"6";"";"";"";"";
"25.06.2019 12:00";"22.3";"765.4";"766.9";"-1.4";"36";"Wind blowing from the east";"6";"";"";"";" ";"";"";"9.2";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"25.06.2019 09:00";"14.2";"766.8";"768.3";"0.8";"57";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"No precipitation";"24";"";"";"";"";
"25.06.2019 06:00";"10.3";"766.0";"767.5";"0.4";"76";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"25.06.2019 03:00";"12.0";"765.6";"767.1";"-0.6";"74";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.5";"No precipitation";"6";"";"";"";"";
"25.06.2019 00:00";"14.5";"766.2";"767.7";"0.2";"71";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"22.0";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"24.06.2019 21:00";"15.9";"766.0";"767.5";"1.0";"64";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"No precipitation";"6";"";"";"";"";
"24.06.2019 18:00";"18.3";"765.0";"766.5";"1.4";"57";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.6";"";"";"";"";"";"";
"24.06.2019 15:00";"20.6";"763.6";"765.1";"-0.9";"52";"Wind blowing from the east";"7";"";"";"40%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"10.4";"No precipitation";"6";"";"";"";"";
"24.06.2019 12:00";"20.8";"764.5";"766.0";"-0.5";"48";"Wind blowing from the east-southeast";"6";"";"";"60%.";" ";"";"";"14.4";"";"";"";"1000-1500";"";"";"";"9.4";"";"";"";"";"";"";
"24.06.2019 09:00";"17.4";"765.0";"766.5";"1.7";"67";"Wind blowing from the south-southwest";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"11.2";"0.2";"24";"";"";"";"";
"24.06.2019 06:00";"15.4";"763.3";"764.8";"0.6";"75";"Wind blowing from the south-southwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"11.0";"";"";"";"";"";"";
"24.06.2019 03:00";"15.1";"762.7";"764.2";"-0.7";"76";"Wind blowing from the south-southwest";"3";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"10.9";"No precipitation";"6";"";"";"";"";
"24.06.2019 00:00";"16.4";"763.4";"764.9";"-0.2";"75";"Wind blowing from the south-southwest";"2";"";"";"60%.";" ";"";"";"";"22.7";"";"";"2500 or more, or no clouds.";"";"";"";"12.0";"";"";"";"";"";"";
"23.06.2019 21:00";"17.4";"763.6";"765.1";"1.1";"74";"Wind blowing from the south-east";"2";"";"";"100%.";"Precipitation ";"Precipitation";"Precipitation";"";"";"";"";"2000-2500";"";"";"";"12.7";"0.2";"6";"";"";"";"";
"23.06.2019 18:00";"19.6";"762.5";"764.0";"1.0";"61";"Wind blowing from the east-southeast";"5";"";"";"100%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"11.9";"";"";"";"";"";"";
"23.06.2019 15:00";"21.9";"761.5";"763.0";"-1.2";"44";"Wind blowing from the east-southeast";"5";"";"";"40%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"9.1";"No precipitation";"6";"";"";"";"";
"23.06.2019 12:00";"20.8";"762.7";"764.2";"-0.8";"47";"Wind blowing from the east-southeast";"4";"";"";"100%.";" ";"";"";"16.3";"";"";"";"1500-2000";"";"";"";"9.1";"";"";"";"";"";"";
"23.06.2019 09:00";"18.2";"763.5";"765.0";"0.9";"53";"Wind blowing from the south";"4";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"8.5";"No precipitation";"24";"";"";"";"";
"23.06.2019 06:00";"16.9";"762.6";"764.1";"-0.1";"55";"Wind blowing from the south";"4";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"7.8";"";"";"";"";"";"";
"23.06.2019 03:00";"17.0";"762.7";"764.2";"-0.5";"51";"Wind blowing from the south";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"6.8";"No precipitation";"6";"";"";"";"";
"23.06.2019 00:00";"17.2";"763.2";"764.7";"-0.4";"55";"Wind blowing from the south-southeast";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"22.3";"";"";"1500-2000";"";"";"";"8.1";"";"";"";"";"";"";
"22.06.2019 21:00";"17.4";"763.6";"765.1";"0.9";"64";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.5";"No precipitation";"6";"";"";"";"";
"22.06.2019 18:00";"19.1";"762.7";"764.2";"0.9";"63";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.9";"";"";"";"";"";"";
"22.06.2019 15:00";"22.0";"761.8";"763.3";"-0.9";"32";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"No precipitation";"6";"";"";"";"";
"22.06.2019 12:00";"20.7";"762.7";"764.2";"-1.5";"36";"Wind blowing from the north-northeast";"5";"";"";"";" ";"";"";"7.8";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"22.06.2019 09:00";"13.0";"764.2";"765.7";"0.9";"36";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.7";"No precipitation";"24";"";"";"";"";
"22.06.2019 06:00";"8.5";"763.3";"764.8";"0.3";"45";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.0";"";"";"";"";"";"";
"22.06.2019 03:00";"9.9";"763.0";"764.5";"-0.7";"37";"Wind blowing from the south-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.1";"No precipitation";"6";"";"";"";"";
"22.06.2019 00:00";"12.1";"763.7";"765.2";"0.1";"33";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"24.8";"";"";"";"";"";"";"-3.7";"";"";"";"";"";"";
"21.06.2019 21:00";"14.9";"763.6";"765.1";"1.6";"38";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.7";"No precipitation";"6";"";"";"";"";
"21.06.2019 18:00";"19.8";"762.0";"763.5";"0.8";"30";"Wind blowing from the west-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.7";"";"";"";"";"";"";
"21.06.2019 15:00";"24.4";"761.2";"762.7";"-1.5";"27";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"No precipitation";"6";"";"";"";"";
"21.06.2019 12:00";"22.1";"762.7";"764.2";"-1.0";"30";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"11.4";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"21.06.2019 09:00";"16.7";"763.7";"765.2";"1.0";"57";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"No precipitation";"24";"";"";"";"";
"21.06.2019 06:00";"11.4";"762.7";"764.2";"0.1";"89";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.7";"";"";"";"";"";"";
"21.06.2019 03:00";"14.0";"762.6";"764.1";"-0.6";"89";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.2";"No precipitation";"6";"";"";"";"";
"21.06.2019 00:00";"14.1";"763.2";"764.7";"-0.4";"83";"Calm, no wind";"0";"";"";"";" ";"";"";"";"24.7";"";"";"";"";"";"";"11.3";"";"";"";"";"";"";
"20.06.2019 21:00";"17.0";"763.6";"765.1";"1.1";"73";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.1";"No precipitation";"6";"";"";"";"";
"20.06.2019 18:00";"19.7";"762.5";"764.0";"0.9";"71";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.3";"";"";"";"";"";"";
"20.06.2019 15:00";"23.4";"761.6";"763.1";"-1.4";"45";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.8";"No precipitation";"6";"";"";"";"";
"20.06.2019 12:00";"22.9";"763.0";"764.5";"-1.0";"46";"Wind blowing from the north-northeast";"2";"";"";"";" ";"";"";"9.6";"";"";"";"";"";"";"";"10.7";"";"";"";"";"";"";
"20.06.2019 09:00";"14.8";"764.0";"765.5";"1.2";"50";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"No precipitation";"24";"";"";"";"";
"20.06.2019 06:00";"10.0";"762.8";"764.3";"0.5";"68";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"20.06.2019 03:00";"10.2";"762.3";"763.8";"-0.7";"75";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.0";"No precipitation";"6";"";"";"";"";
"20.06.2019 00:00";"12.0";"763.0";"764.5";"-0.3";"72";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"23.7";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"19.06.2019 21:00";"13.2";"763.3";"764.8";"1.2";"67";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"No precipitation";"6";"";"";"";"";
"19.06.2019 18:00";"18.6";"762.1";"763.6";"1.0";"48";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.4";"";"";"";"";"";"";
"19.06.2019 15:00";"23.3";"761.1";"762.6";"-1.4";"27";"Wind blowing from the east-southeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.3";"No precipitation";"6";"";"";"";"";
"19.06.2019 12:00";"21.5";"762.5";"764.0";"-1.1";"31";"Wind blowing from the south";"3";"";"";"";" ";"";"";"9.0";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"19.06.2019 09:00";"15.6";"763.6";"765.1";"1.3";"51";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.5";"No precipitation";"24";"";"";"";"";
"19.06.2019 06:00";"9.2";"762.3";"763.8";"0.3";"73";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"19.06.2019 03:00";"11.7";"762.0";"763.5";"-0.4";"65";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"No precipitation";"6";"";"";"";"";
"19.06.2019 00:00";"13.2";"762.4";"763.9";"0.0";"69";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"24.1";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"18.06.2019 21:00";"13.3";"762.4";"763.9";"1.3";"67";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"No precipitation";"6";"";"";"";"";
"18.06.2019 18:00";"18.3";"761.1";"762.6";"1.1";"51";"Wind blowing from the north-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"18.06.2019 15:00";"21.8";"760.0";"761.5";"-1.7";"38";"Wind blowing from the north-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"No precipitation";"6";"";"";"";"";
"18.06.2019 12:00";"21.8";"761.7";"763.2";"-1.3";"28";"Wind blowing from the west";"3";"";"";"";" ";"";"";"10.3";"";"";"";"";"";"";"";"2.5";"";"";"";"";"";"";
"18.06.2019 09:00";"16.6";"763.0";"764.5";"1.1";"44";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"No precipitation";"24";"";"";"";"";
"18.06.2019 06:00";"10.5";"761.9";"763.4";"0.2";"62";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"18.06.2019 03:00";"12.1";"761.7";"763.2";"-0.8";"58";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"No precipitation";"6";"";"";"";"";
"18.06.2019 00:00";"14.3";"762.5";"764.0";"0.1";"54";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"26.5";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"17.06.2019 21:00";"18.4";"762.4";"763.9";"1.5";"43";"Wind blowing from the south-west";"3";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"";"5.6";"No precipitation";"6";"";"";"";"";
"17.06.2019 18:00";"20.7";"760.9";"762.4";"1.1";"59";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.4";"";"";"";"";"";"";
"17.06.2019 15:00";"26.0";"759.8";"761.3";"-1.4";"32";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"No precipitation";"6";"";"";"";"";
"17.06.2019 12:00";"23.8";"761.2";"762.7";"-1.1";"42";"Wind blowing from the south";"4";"";"";"";" ";"";"";"16.0";"";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"17.06.2019 09:00";"20.2";"762.3";"763.8";"1.1";"71";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.8";"0.2";"24";"";"";"";"";
"17.06.2019 06:00";"16.5";"761.2";"762.7";"0.6";"93";"Wind blowing from the south-southwest";"2";"";"";"100%.";" ";"";"";"";"";"";"";"Less than  50";"";"";"1.5";"15.4";"";"";"";"";"";"";
"17.06.2019 03:00";"16.4";"760.6";"762.1";"-0.9";"89";"Wind blowing from the south-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.6";"No precipitation";"6";"";"";"";"";
"17.06.2019 00:00";"17.8";"761.5";"763.0";"-0.4";"89";"Wind blowing from the south-southwest";"1";"";"";"";" ";"";"";"";"26.5";"";"";"";"";"";"";"16.0";"";"";"";"";"";"";
"16.06.2019 21:00";"18.4";"761.9";"763.4";"0.7";"86";"Wind blowing from the south-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.0";"No precipitation";"6";"";"";"";"";
"16.06.2019 18:00";"21.1";"761.2";"762.7";"0.3";"79";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.3";"";"";"";"";"";"";
"16.06.2019 15:00";"23.8";"760.9";"762.4";"-1.5";"60";"Wind blowing from the north-east";"4";"";"";"90  or more, but not 100%";" ";"Precipitation";"Precipitation";"";"";"";"";"1000-1500";"";"";"";"15.6";"0.2";"6";"";"";"";"";
"16.06.2019 12:00";"25.0";"762.4";"763.9";"-1.1";"55";"Wind blowing from the north-east";"3";"";"";"";"Precipitation ";"";"Precipitation";"16.2";"";"";"";"";"";"";"";"15.3";"";"";"";"";"";"";
"16.06.2019 09:00";"20.8";"763.5";"765.0";"1.2";"79";"Wind blowing from the south-west";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"17.0";"No precipitation";"24";"";"";"";"";
"16.06.2019 06:00";"16.4";"762.3";"763.8";"0.6";"95";"Wind blowing from the south-west";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"Less than  50";"";"";"2.0";"15.6";"";"";"";"";"";"";
"16.06.2019 03:00";"16.5";"761.7";"763.2";"-1.0";"92";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"Less than  50";"";"";"1.5";"15.2";"No precipitation";"6";"";"";"";"";
"16.06.2019 00:00";"18.2";"762.7";"764.2";"0.0";"92";"Wind blowing from the south-southwest";"2";"";"";"40%.";" ";"";"";"";"26.3";"";"";"Less than  50";"";"";"8.0";"16.9";"";"";"";"";"";"";
"15.06.2019 21:00";"18.7";"762.7";"764.2";"1.0";"87";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.5";"No precipitation";"6";"";"";"";"";
"15.06.2019 18:00";"21.1";"761.7";"763.2";"0.9";"79";"Wind blowing from the east-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.3";"";"";"";"";"";"";
"15.06.2019 15:00";"24.4";"760.8";"762.3";"-1.1";"57";"Wind blowing from the east-northeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.3";"No precipitation";"6";"";"";"";"";
"15.06.2019 12:00";"25.4";"761.9";"763.4";"-1.4";"47";"Wind blowing from the north-northeast";"3";"";"";"10%  or less, but not 0";" ";"";"";"14.2";"";"";"";"600-1000";"";"";"";"13.3";"";"";"";"";"";"";
"15.06.2019 09:00";"19.7";"763.3";"764.8";"1.2";"73";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.7";"No precipitation";"24";"";"";"";"";
"15.06.2019 06:00";"14.6";"762.1";"763.6";"0.4";"89";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.8";"";"";"";"";"";"";
"15.06.2019 03:00";"15.3";"761.7";"763.2";"-1.0";"90";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.7";"No precipitation";"6";"";"";"";"";
