# Weather station Moree (airport), Australia, WMO_ID=95527,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=95527&lang=en
#
"Local time in Moree (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 23:00";"8.8";"747.8";"767.5";"0.2";"51";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.8";"";"";"";"";"";"";
"30.06.2019 22:00";"9.4";"747.7";"767.4";"0.3";"48";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.3";"";"";"";"";"";"";
"30.06.2019 21:00";"10.9";"747.7";"767.4";"0.9";"43";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.2";"No precipitation";"6";"";"";"";"";
"30.06.2019 20:00";"13.0";"747.6";"767.2";"1.4";"38";"Wind blowing from the south-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.0";"";"";"";"";"";"";
"30.06.2019 19:00";"15.0";"747.4";"767.1";"1.7";"39";"Wind blowing from the south-west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.2";"";"";"";"";"";"";
"30.06.2019 18:00";"17.0";"746.8";"766.4";"1.1";"40";"Wind blowing from the south-west";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.3";"";"";"";"";"";"";
"30.06.2019 17:00";"19.9";"746.2";"765.8";"0.5";"41";"Wind blowing from the south-west";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"30.06.2019 16:00";"22.2";"745.7";"765.3";"-0.2";"36";"Wind blowing from the west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.4";"";"";"";"";"";"";
"30.06.2019 15:00";"23.0";"745.7";"765.3";"-0.8";"35";"Wind blowing from the west";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"6.7";"No precipitation";"6";"";"";"";"";
"30.06.2019 14:00";"22.4";"745.7";"765.3";"-1.4";"36";"Wind blowing from the west-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.6";"";"";"";"";"";"";
"30.06.2019 13:00";"21.8";"745.9";"765.5";"-1.7";"38";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"30.06.2019 12:00";"20.3";"746.5";"766.2";"-1.2";"45";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"11.7";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"30.06.2019 11:00";"19.0";"747.1";"766.8";"-0.7";"54";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.5";"";"";"";"";"";"";
"30.06.2019 10:00";"17.6";"747.6";"767.2";"0.6";"63";"Wind blowing from the north-northeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.5";"";"";"";"";"";"";
"30.06.2019 09:00";"15.1";"747.7";"767.3";"1.2";"74";"Wind blowing from the north-northeast";"5";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"10.5";"No precipitation";"24";"";"";"";"";
"30.06.2019 08:00";"13.0";"747.8";"767.5";"1.8";"81";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.8";"";"";"";"";"";"";
"30.06.2019 07:00";"12.6";"747.0";"766.6";"0.8";"82";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.6";"";"";"";"";"";"";
"30.06.2019 06:00";"12.7";"746.5";"766.2";"0.0";"81";"Wind blowing from the north-northeast";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"9.5";"";"";"";"";"";"";
"30.06.2019 05:00";"12.3";"746.0";"765.6";"-0.6";"80";"Wind blowing from the north-northeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.0";"";"";"";"";"";"";
"30.06.2019 04:00";"11.8";"746.2";"765.8";"-0.5";"80";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"30.06.2019 03:00";"12.6";"746.5";"766.1";"-0.4";"75";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"No precipitation";"6";"";"";"";"";
"30.06.2019 02:00";"12.4";"746.6";"766.3";"-0.6";"75";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"30.06.2019 01:00";"12.1";"746.7";"766.3";"-0.4";"75";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"30.06.2019 00:00";"12.7";"746.9";"766.6";"-0.2";"76";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"23.2";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"29.06.2019 23:00";"12.9";"747.2";"766.9";"-0.2";"74";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
"29.06.2019 22:00";"13.7";"747.1";"766.7";"0.6";"71";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"29.06.2019 21:00";"14.5";"747.1";"766.8";"0.4";"67";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"No precipitation";"6";"";"";"";"";
"29.06.2019 20:00";"15.5";"747.4";"767.0";"0.6";"62";"Wind blowing from the north-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"29.06.2019 19:00";"17.9";"746.5";"766.2";"-0.6";"54";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"29.06.2019 18:00";"18.6";"746.7";"766.3";"-0.4";"49";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.7";"";"";"";"";"";"";
"29.06.2019 17:00";"20.1";"746.8";"766.5";"-0.9";"43";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"29.06.2019 16:00";"22.1";"747.1";"766.8";"-1.1";"37";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"29.06.2019 15:00";"22.8";"747.1";"766.8";"-2.1";"35";"Wind blowing from the north";"5";"";"";"60%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"6.6";"No precipitation";"6";"";"";"";"";
"29.06.2019 14:00";"22.4";"747.7";"767.3";"-2.4";"34";"Wind blowing from the north-northeast";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"29.06.2019 13:00";"21.2";"748.2";"767.8";"-2.7";"41";"Wind blowing from the north-northeast";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.4";"";"";"";"";"";"";
"29.06.2019 12:00";"21.0";"749.2";"768.9";"-1.7";"42";"Wind blowing from the north-northeast";"7";"";"";"";" ";"";"";"7.7";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"29.06.2019 11:00";"19.9";"750.1";"769.9";"-0.5";"46";"Wind blowing from the north-northeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.9";"";"";"";"";"";"";
"29.06.2019 10:00";"17.3";"750.9";"770.6";"0.5";"53";"Wind blowing from the north-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"29.06.2019 09:00";"15.1";"750.9";"770.6";"0.7";"60";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.4";"No precipitation";"24";"";"";"";"";
"29.06.2019 08:00";"11.3";"750.6";"770.3";"0.6";"73";"Wind blowing from the east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.6";"";"";"";"";"";"";
"29.06.2019 07:00";"7.9";"750.4";"770.2";"0.2";"82";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";
"29.06.2019 06:00";"8.3";"750.2";"769.9";"-0.3";"80";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"29.06.2019 05:00";"8.7";"750.0";"769.7";"-0.9";"79";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"29.06.2019 04:00";"9.1";"750.2";"769.9";"-1.0";"77";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"29.06.2019 03:00";"9.9";"750.5";"770.2";"-1.0";"75";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"No precipitation";"6";"";"";"";"";
"29.06.2019 02:00";"9.4";"750.9";"770.6";"-0.7";"69";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"29.06.2019 01:00";"10.1";"751.2";"770.9";"-0.4";"64";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"29.06.2019 00:00";"11.3";"751.5";"771.2";"0.2";"58";"Wind blowing from the east-northeast";"5";"";"";"";" ";"";"";"";"23.1";"";"";"";"";"";"";"3.3";"";"";"";"";"";"";
"28.06.2019 23:00";"13.1";"751.6";"771.4";"0.5";"50";"Wind blowing from the east-northeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.9";"";"";"";"";"";"";
"28.06.2019 22:00";"12.2";"751.6";"771.3";"0.9";"56";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"28.06.2019 21:00";"15.3";"751.3";"771.1";"1.0";"47";"Wind blowing from the east-northeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"No precipitation";"6";"";"";"";"";
"28.06.2019 20:00";"14.9";"751.1";"770.8";"1.0";"50";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"28.06.2019 19:00";"17.2";"750.7";"770.4";"0.5";"47";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"28.06.2019 18:00";"18.3";"750.3";"770.0";"0.0";"47";"Wind blowing from the north-northeast";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"6.8";"";"";"";"";"";"";
"28.06.2019 17:00";"20.4";"750.1";"769.9";"-0.6";"43";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.4";"";"";"";"";"";"";
"28.06.2019 16:00";"21.2";"750.2";"769.9";"-1.1";"41";"Wind blowing from the north-northeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.4";"";"";"";"";"";"";
"28.06.2019 15:00";"20.8";"750.3";"770.0";"-2.1";"43";"Wind blowing from the north-northeast";"6";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"7.8";"No precipitation";"6";"";"";"";"";
"28.06.2019 14:00";"22.5";"750.7";"770.5";"-2.6";"41";"Wind blowing from the east-northeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"28.06.2019 13:00";"21.6";"751.3";"771.1";"-2.4";"42";"Wind blowing from the east-northeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"28.06.2019 12:00";"20.5";"752.4";"772.2";"-1.4";"46";"Wind blowing from the east";"5";"";"";"";" ";"";"";"7.2";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"28.06.2019 11:00";"19.9";"753.3";"773.1";"-0.3";"49";"Wind blowing from the east-northeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.9";"";"";"";"";"";"";
"28.06.2019 10:00";"18.0";"753.7";"773.5";"0.5";"51";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.7";"";"";"";"";"";"";
"28.06.2019 09:00";"14.9";"753.8";"773.6";"1.0";"57";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"No precipitation";"24";"";"";"";"";
"28.06.2019 08:00";"10.3";"753.6";"773.4";"0.8";"66";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"28.06.2019 07:00";"7.5";"753.2";"773.0";"0.5";"74";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"28.06.2019 06:00";"7.5";"752.8";"772.6";"0.3";"74";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"28.06.2019 05:00";"8.2";"752.8";"772.6";"0.0";"72";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.3";"";"";"";"";"";"";
"28.06.2019 04:00";"8.6";"752.7";"772.5";"-0.3";"68";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.0";"";"";"";"";"";"";
"28.06.2019 03:00";"10.2";"752.5";"772.3";"-0.4";"64";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"No precipitation";"6";"";"";"";"";
"28.06.2019 02:00";"10.7";"752.8";"772.6";"-0.3";"64";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"28.06.2019 01:00";"12.8";"753.0";"772.8";"-0.1";"59";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";
"28.06.2019 00:00";"14.2";"752.9";"772.7";"-0.1";"57";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"23.6";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"27.06.2019 23:00";"14.3";"753.1";"772.9";"0.6";"57";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"27.06.2019 22:00";"15.9";"753.1";"772.9";"1.1";"49";"Wind blowing from the east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"27.06.2019 21:00";"15.9";"753.0";"772.8";"1.4";"51";"Wind blowing from the east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"No precipitation";"6";"";"";"";"";
"27.06.2019 20:00";"17.4";"752.5";"772.3";"1.4";"47";"Wind blowing from the east-northeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";
"27.06.2019 19:00";"17.8";"752.0";"771.8";"1.1";"47";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"27.06.2019 18:00";"18.2";"751.6";"771.3";"0.7";"43";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"27.06.2019 17:00";"21.0";"751.1";"770.8";"-0.3";"36";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"27.06.2019 16:00";"22.1";"750.9";"770.6";"-1.0";"35";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"27.06.2019 15:00";"22.7";"750.9";"770.6";"-1.9";"37";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"No precipitation";"6";"";"";"";"";
"27.06.2019 14:00";"22.3";"751.4";"771.1";"-2.1";"39";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.7";"";"";"";"";"";"";
"27.06.2019 13:00";"21.4";"751.9";"771.7";"-1.9";"42";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"27.06.2019 12:00";"20.2";"752.8";"772.6";"-1.0";"44";"Wind blowing from the east";"7";"";"";"";" ";"";"";"6.9";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"27.06.2019 11:00";"19.7";"753.5";"773.3";"-0.1";"47";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"27.06.2019 10:00";"17.8";"753.8";"773.6";"0.4";"53";"Wind blowing from the east-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"27.06.2019 09:00";"14.7";"753.8";"773.6";"1.0";"61";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"No precipitation";"24";"";"";"";"";
"27.06.2019 08:00";"10.2";"753.6";"773.4";"0.9";"73";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"27.06.2019 07:00";"8.0";"753.4";"773.2";"0.9";"81";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"27.06.2019 06:00";"8.6";"752.8";"772.6";"0.3";"79";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"27.06.2019 05:00";"8.8";"752.7";"772.5";"0.2";"80";"Wind blowing from the east-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.5";"";"";"";"";"";"";
"27.06.2019 04:00";"8.6";"752.5";"772.3";"-0.2";"78";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";
"27.06.2019 03:00";"10.0";"752.5";"772.3";"-0.3";"77";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"No precipitation";"6";"";"";"";"";
"27.06.2019 02:00";"9.6";"752.5";"772.3";"-0.1";"71";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"27.06.2019 01:00";"11.1";"752.7";"772.5";"-0.2";"69";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"27.06.2019 00:00";"11.9";"752.8";"772.6";"0.2";"67";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"22.8";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"26.06.2019 23:00";"13.4";"752.6";"772.4";"0.4";"63";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"26.06.2019 22:00";"13.5";"752.9";"772.7";"1.2";"61";"Wind blowing from the east-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"26.06.2019 21:00";"14.8";"752.6";"772.4";"1.5";"56";"Wind blowing from the east-southeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"No precipitation";"6";"";"";"";"";
"26.06.2019 20:00";"15.6";"752.2";"772.0";"1.5";"51";"Wind blowing from the east-southeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.5";"";"";"";"";"";"";
"26.06.2019 19:00";"16.5";"751.7";"771.4";"1.1";"44";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"26.06.2019 18:00";"19.0";"751.1";"770.8";"0.4";"40";"Wind blowing from the south-southeast";"5";"";"";"20–30%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"5.1";"";"";"";"";"";"";
"26.06.2019 17:00";"21.5";"750.7";"770.5";"-0.3";"33";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"26.06.2019 16:00";"22.3";"750.6";"770.3";"-1.0";"30";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"26.06.2019 15:00";"22.6";"750.7";"770.5";"-1.6";"31";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"No precipitation";"6";"";"";"";"";
"26.06.2019 14:00";"22.4";"751.0";"770.8";"-2.0";"32";"Wind blowing from the east-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"26.06.2019 13:00";"21.0";"751.6";"771.3";"-2.1";"35";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";
"26.06.2019 12:00";"19.9";"752.3";"772.1";"-1.5";"39";"Wind blowing from the east";"8";"";"";"";" ";"";"";"6.6";"";"";"";"";"";"";"";"5.5";"";"";"";"";"";"";
"26.06.2019 11:00";"19.3";"753.0";"772.8";"-0.4";"42";"Wind blowing from the east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"26.06.2019 10:00";"17.6";"753.7";"773.5";"0.7";"48";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"26.06.2019 09:00";"13.7";"753.8";"773.6";"1.2";"62";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.6";"No precipitation";"24";"";"";"";"";
"26.06.2019 08:00";"9.8";"753.4";"773.2";"1.1";"76";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"26.06.2019 07:00";"8.1";"753.0";"772.8";"0.8";"79";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"26.06.2019 06:00";"9.6";"752.6";"772.4";"0.4";"78";"Wind blowing from the east-southeast";"3";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"6.0";"";"";"";"";"";"";
"26.06.2019 05:00";"7.0";"752.3";"772.1";"0.1";"81";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"26.06.2019 04:00";"7.6";"752.2";"772.0";"0.2";"79";"Wind blowing from the east-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"26.06.2019 03:00";"9.2";"752.2";"772.0";"0.1";"73";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"No precipitation";"6";"";"";"";"";
"26.06.2019 02:00";"10.1";"752.2";"772.0";"-0.2";"71";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"26.06.2019 01:00";"11.1";"752.0";"771.8";"-0.3";"68";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"26.06.2019 00:00";"12.0";"752.1";"771.9";"0.1";"64";"Wind blowing from the east";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"21.7";"";"";"2500 or more, or no clouds.";"";"";"";"5.4";"";"";"";"";"";"";
"25.06.2019 23:00";"12.8";"752.4";"772.2";"0.5";"60";"Wind blowing from the east-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"25.06.2019 22:00";"14.3";"752.3";"772.1";"0.9";"57";"Wind blowing from the east-southeast";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"25.06.2019 21:00";"13.3";"752.0";"771.8";"1.1";"55";"Wind blowing from the east-southeast";"5";"";"";"60%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"4.5";"No precipitation";"6";"";"";"";"";
"25.06.2019 20:00";"14.7";"751.9";"771.7";"1.4";"50";"Wind blowing from the south-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"25.06.2019 19:00";"16.2";"751.4";"771.1";"1.1";"43";"Wind blowing from the east-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"25.06.2019 18:00";"16.5";"750.9";"770.6";"0.9";"39";"Wind blowing from the south-east";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"2.5";"";"";"";"";"";"";
"25.06.2019 17:00";"19.1";"750.5";"770.2";"0.4";"32";"Wind blowing from the east-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.0";"";"";"";"";"";"";
"25.06.2019 16:00";"20.5";"750.3";"770.0";"-0.3";"30";"Wind blowing from the east";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.3";"";"";"";"";"";"";
"25.06.2019 15:00";"20.7";"750.0";"769.7";"-1.0";"35";"Wind blowing from the south-east";"5";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"4.7";"No precipitation";"6";"";"";"";"";
"25.06.2019 14:00";"19.8";"750.1";"769.9";"-1.7";"38";"Wind blowing from the east-southeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"25.06.2019 13:00";"19.8";"750.6";"770.3";"-1.6";"38";"Wind blowing from the east-southeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"25.06.2019 12:00";"18.1";"751.0";"770.8";"-1.2";"42";"Wind blowing from the east-southeast";"7";"";"";"10%  or less, but not 0";" ";"";"";"5.6";"";"";"";"2500 or more, or no clouds.";"";"";"";"5.0";"";"";"";"";"";"";
"25.06.2019 11:00";"17.7";"751.8";"771.6";"-0.4";"45";"Wind blowing from the east-southeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"25.06.2019 10:00";"16.9";"752.2";"772.0";"0.3";"51";"Wind blowing from the south-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"25.06.2019 09:00";"14.7";"752.2";"772.0";"0.5";"58";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"No precipitation";"24";"";"";"";"";
