# Weather station Canberra (airport), Australia, WMO_ID=94926,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=94926&lang=en
#
"Local time in Canberra (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 23:00";"2.6";"718.2";"770.1";"0.9";"86";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"30.06.2019 22:00";"1.8";"718.0";"769.9";"1.2";"84";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.6";"";"";"";"";"";"";
"30.06.2019 21:00";"3.8";"717.8";"769.7";"1.9";"80";"Wind blowing from the north";"4";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"0.7";"No precipitation";"6";"";"";"";"";
"30.06.2019 20:00";"4.7";"717.3";"769.1";"2.3";"74";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"30.06.2019 19:00";"5.1";"716.8";"768.7";"1.9";"70";"Wind blowing from the north-west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.1";"";"";"";"";"";"";
"30.06.2019 18:00";"6.0";"715.9";"767.7";"1.5";"67";"Wind blowing from the north-west";"7";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"0.3";"";"";"";"";"";"";
"30.06.2019 17:00";"7.0";"715.0";"766.7";"1.1";"62";"Wind blowing from the north-west";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.2";"";"";"";"";"";"";
"30.06.2019 16:00";"9.2";"714.9";"766.6";"1.4";"51";"Wind blowing from the north-west";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.4";"";"";"";"";"";"";
"30.06.2019 15:00";"10.2";"714.4";"766.0";"0.7";"49";"Wind blowing from the north-northwest";"7";"";"";"";"No significant weather observed. ";"Precipitation";"Precipitation";"";"";"";"";"";"";"";"";"0.0";"0.2";"6";"";"";"";"";
"30.06.2019 14:00";"10.1";"713.9";"765.5";"-0.2";"54";"Wind blowing from the north-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.0";"";"";"";"";"";"";
"30.06.2019 13:00";"10.0";"713.5";"765.0";"-1.1";"60";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.4";"";"";"";"";"";"";
"30.06.2019 12:00";"9.8";"713.7";"765.3";"-0.7";"61";"Wind blowing from the north-west";"8";"";"";"";"Precipitation ";"";"Precipitation";"5.0";"";"";"";"";"";"";"";"2.6";"";"";"";"";"";"";
"30.06.2019 11:00";"9.8";"714.1";"765.7";"0.2";"62";"Wind blowing from the west-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.9";"";"";"";"";"";"";
"30.06.2019 10:00";"8.5";"714.6";"766.3";"1.2";"73";"Wind blowing from the north-west";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"30.06.2019 09:00";"6.9";"714.4";"766.0";"1.5";"82";"Wind blowing from the north";"5";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"600-1000";"";"";"";"4.0";"7.0";"24";"";"";"";"";
"30.06.2019 08:00";"5.9";"713.9";"765.5";"1.2";"90";"Wind blowing from the north-west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"30.06.2019 07:00";"6.0";"713.4";"764.9";"1.1";"92";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"30.06.2019 06:00";"5.9";"712.9";"764.5";"0.6";"95";"Wind blowing from the north-northwest";"7";"";"";"100%.";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"600-1000";"";"";"";"5.2";"";"";"";"";"";"";
"30.06.2019 05:00";"6.0";"712.7";"764.2";"0.9";"93";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";
"30.06.2019 04:00";"5.7";"712.3";"763.7";"0.3";"93";"Wind blowing from the north-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"30.06.2019 03:00";"5.3";"712.3";"763.7";"0.3";"95";"Wind blowing from the north-northwest";"8";"";"";"100%.";"Rain (not freezing). ";"Precipitation";"Precipitation";"";"";"";"";"300-600";"";"";"";"4.6";"7.0";"6";"";"";"";"";
"30.06.2019 02:00";"5.4";"711.8";"763.3";"0.5";"91";"Wind blowing from the north";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
"30.06.2019 01:00";"6.0";"712.0";"763.5";"1.6";"89";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"30.06.2019 00:00";"6.5";"712.0";"763.5";"2.2";"86";"Wind blowing from the north-west";"5";"";"";"100%.";"Rain, not freezing, slight. ";"";"Precipitation";"";"16.6";"";"";"600-1000";"";"";"";"4.3";"";"";"";"";"";"";
"29.06.2019 23:00";"8.3";"711.3";"762.7";"0.5";"84";"Wind blowing from the west-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"29.06.2019 22:00";"10.9";"710.4";"761.8";"-1.3";"90";"Wind blowing from the north";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"29.06.2019 21:00";"12.6";"709.8";"761.1";"-2.1";"69";"Wind blowing from the north";"10";"";"";"90  or more, but not 100%";"Rain, not freezing, slight. ";"";"";"";"";"";"";"1000-1500";"";"";"";"7.1";"No precipitation";"6";"";"";"";"";
"29.06.2019 20:00";"13.1";"710.8";"762.1";"-1.2";"65";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"29.06.2019 19:00";"12.3";"711.7";"763.1";"-0.7";"70";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"29.06.2019 18:00";"14.8";"711.9";"763.3";"-1.3";"48";"Wind blowing from the north";"8";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"1500-2000";"";"";"";"3.9";"";"";"";"";"";"";
"29.06.2019 17:00";"14.5";"712.0";"763.4";"-1.9";"52";"Wind blowing from the north";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"29.06.2019 16:00";"14.9";"712.4";"763.9";"-2.3";"53";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"29.06.2019 15:00";"15.1";"713.2";"764.7";"-3.0";"56";"Wind blowing from the north-northwest";"7";"";"";"20–30%.";"No significant weather observed. ";"";"";"";"";"";"";"1000-1500";"";"";"";"6.4";"No precipitation";"6";"";"";"";"";
"29.06.2019 14:00";"15.2";"713.9";"765.5";"-3.7";"58";"Wind blowing from the north-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"29.06.2019 13:00";"14.9";"714.7";"766.4";"-3.9";"58";"Wind blowing from the west-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"29.06.2019 12:00";"14.7";"716.2";"767.9";"-2.7";"58";"Wind blowing from the north-northwest";"4";"";"";"";"No significant weather observed. ";"";"";"-1.7";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"29.06.2019 11:00";"11.3";"717.6";"769.4";"-1.3";"73";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.6";"";"";"";"";"";"";
"29.06.2019 10:00";"8.6";"718.6";"770.5";"-0.1";"88";"Wind blowing from the south";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"29.06.2019 09:00";"4.4";"718.9";"770.9";"0.3";"99";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"4.3";"No precipitation";"24";"";"";"";"";
"29.06.2019 08:00";"0.3";"718.9";"770.8";"0.3";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.2";"";"";"";"";"";"";
"29.06.2019 07:00";"0.5";"718.7";"770.7";"-0.4";"99";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";
"29.06.2019 06:00";"-0.9";"718.6";"770.5";"-0.8";"99";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"Less than  50";"";"";"";"-1.0";"";"";"";"";"";"";
"29.06.2019 05:00";"-0.6";"718.6";"770.5";"-0.9";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.7";"";"";"";"";"";"";
"29.06.2019 04:00";"-0.3";"719.1";"771.1";"-0.9";"99";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.4";"";"";"";"";"";"";
"29.06.2019 03:00";"-0.3";"719.4";"771.4";"-1.0";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"0.4";"-0.4";"No precipitation";"6";"";"";"";"";
"29.06.2019 02:00";"0.3";"719.5";"771.5";"-1.2";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.2";"";"";"";"";"";"";
"29.06.2019 01:00";"1.1";"720.0";"772.0";"-0.8";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.0";"";"";"";"";"";"";
"29.06.2019 00:00";"1.9";"720.4";"772.5";"-0.3";"99";"Calm, no wind";"0";"";"";"";"No significant weather observed. ";"";"";"";"16.7";"";"";"";"";"";"";"1.8";"";"";"";"";"";"";
"28.06.2019 23:00";"2.3";"720.7";"772.7";"0.0";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.2";"";"";"";"";"";"";
"28.06.2019 22:00";"2.9";"720.8";"772.9";"0.4";"93";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.9";"";"";"";"";"";"";
"28.06.2019 21:00";"4.1";"720.7";"772.8";"0.8";"92";"Calm, no wind";"0";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"2.9";"No precipitation";"6";"";"";"";"";
"28.06.2019 20:00";"6.0";"720.7";"772.7";"0.9";"91";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"28.06.2019 19:00";"7.0";"720.4";"772.4";"0.6";"83";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"28.06.2019 18:00";"8.2";"719.9";"772.0";"-0.1";"76";"Wind blowing from the north";"2";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"28.06.2019 17:00";"11.5";"719.8";"771.9";"-0.6";"62";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";
"28.06.2019 16:00";"15.1";"719.8";"771.9";"-1.3";"52";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"28.06.2019 15:00";"15.8";"720.0";"772.0";"-2.0";"49";"Wind blowing from the north-northwest";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"5.1";"No precipitation";"6";"";"";"";"";
"28.06.2019 14:00";"16.4";"720.4";"772.5";"-2.4";"47";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"28.06.2019 13:00";"14.8";"721.1";"773.2";"-2.0";"55";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"28.06.2019 12:00";"12.7";"722.0";"774.2";"-1.4";"66";"Wind blowing from the north-northwest";"2";"";"";"";"No significant weather observed. ";"";"";"-1.1";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"28.06.2019 11:00";"8.5";"722.8";"775.1";"-0.6";"87";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"28.06.2019 10:00";"5.7";"723.1";"775.4";"0.0";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"28.06.2019 09:00";"1.9";"723.4";"775.7";"0.3";"99";"Calm, no wind";"0";"";"";"70 – 80%.";"Precipitation ";"Precipitation";"Precipitation";"";"";"";"";"Less than  50";"";"";"1.5";"1.8";"0.4";"24";"";"";"";"";
"28.06.2019 08:00";"-0.1";"723.4";"775.7";"0.3";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.2";"";"";"";"";"";"";
"28.06.2019 07:00";"-1.1";"723.1";"775.4";"-0.1";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.2";"";"";"";"";"";"";
"28.06.2019 06:00";"-0.7";"723.1";"775.3";"-0.3";"99";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"Less than  50";"";"";"0.2";"-0.8";"";"";"";"";"";"";
"28.06.2019 05:00";"-0.2";"723.1";"775.4";"-0.6";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.3";"";"";"";"";"";"";
"28.06.2019 04:00";"0.6";"723.2";"775.5";"-0.6";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"28.06.2019 03:00";"0.9";"723.4";"775.7";"-0.6";"99";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"";"";"";"Less than  50";"";"";"0.1";"0.8";"No precipitation";"6";"";"";"";"";
"28.06.2019 02:00";"1.8";"723.7";"776.0";"-0.5";"99";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.7";"";"";"";"";"";"";
"28.06.2019 01:00";"1.2";"723.8";"776.1";"-0.4";"99";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.1";"";"";"";"";"";"";
"28.06.2019 00:00";"2.5";"724.0";"776.3";"0.0";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"15.9";"";"";"";"";"";"";"2.4";"";"";"";"";"";"";
"27.06.2019 23:00";"2.9";"724.2";"776.5";"0.4";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.8";"";"";"";"";"";"";
"27.06.2019 22:00";"3.6";"724.2";"776.5";"0.5";"99";"Wind blowing from the east-northeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"27.06.2019 21:00";"4.7";"724.0";"776.4";"0.9";"99";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"No significant weather observed. ";"";"";"";"";"";"";"1000-1500";"";"";"";"4.6";"No precipitation";"6";"";"";"";"";
"27.06.2019 20:00";"5.2";"723.8";"776.1";"1.0";"95";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";
"27.06.2019 19:00";"6.2";"723.7";"776.0";"0.9";"86";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"27.06.2019 18:00";"8.3";"723.1";"775.4";"0.1";"81";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";"No significant weather observed. ";"";"";"";"";"";"";"1000-1500";"";"";"";"5.2";"";"";"";"";"";"";
"27.06.2019 17:00";"11.1";"722.8";"775.0";"-0.3";"69";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"27.06.2019 16:00";"13.7";"722.8";"775.1";"-0.9";"57";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"27.06.2019 15:00";"15.2";"723.0";"775.3";"-1.6";"55";"Wind blowing from the north-east";"2";"";"";"10%  or less, but not 0";"No significant weather observed. ";"Precipitation";"Precipitation";"";"";"";"";"1000-1500";"";"";"";"6.2";"0.2";"6";"";"";"";"";
"27.06.2019 14:00";"14.7";"723.1";"775.4";"-2.4";"59";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"27.06.2019 13:00";"13.8";"723.7";"776.0";"-2.1";"63";"Wind blowing from the west-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"27.06.2019 12:00";"12.7";"724.6";"776.9";"-1.3";"70";"Wind blowing from the south-southwest";"3";"";"";"100%.";"No significant weather observed. ";"";"Precipitation";"0.4";"";"";"";"600-1000";"";"";"";"7.4";"";"";"";"";"";"";
"27.06.2019 11:00";"10.3";"725.5";"778.0";"-0.3";"81";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"";"";"";"";"";"";
"27.06.2019 10:00";"8.6";"725.8";"778.3";"0.3";"93";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"";
"27.06.2019 09:00";"6.4";"725.9";"778.3";"0.8";"99";"Wind blowing from the south";"2";"";"";"100%.";"Precipitation ";"";"";"";"";"";"";"100-200";"";"";"";"6.3";"No precipitation";"24";"";"";"";"";
"27.06.2019 08:00";"4.4";"725.8";"778.2";"0.6";"99";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"27.06.2019 07:00";"4.0";"725.5";"777.9";"0.3";"98";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"27.06.2019 06:00";"3.4";"725.1";"777.5";"-0.2";"95";"Wind blowing from the north";"1";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"300-600";"";"";"";"2.7";"";"";"";"";"";"";
"27.06.2019 05:00";"3.3";"725.2";"777.6";"-0.3";"91";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.0";"";"";"";"";"";"";
"27.06.2019 04:00";"2.3";"725.2";"777.7";"-0.3";"98";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.0";"";"";"";"";"";"";
"27.06.2019 03:00";"2.4";"725.3";"777.7";"-0.2";"94";"Wind blowing from the north";"2";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"300-600";"";"";"";"1.5";"No precipitation";"6";"";"";"";"";
"27.06.2019 02:00";"0.8";"725.5";"778.0";"0.0";"99";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";
"27.06.2019 01:00";"0.9";"725.5";"778.0";"0.0";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";
"27.06.2019 00:00";"1.7";"725.5";"777.9";"0.1";"94";"Wind blowing from the west-southwest";"2";"";"";"";"No significant weather observed. ";"";"";"";"15.0";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";
"26.06.2019 23:00";"3.1";"725.5";"778.0";"0.2";"91";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.8";"";"";"";"";"";"";
"26.06.2019 22:00";"4.1";"725.5";"777.9";"0.5";"90";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.6";"";"";"";"";"";"";
"26.06.2019 21:00";"3.7";"725.4";"777.8";"0.5";"90";"Wind blowing from the south";"2";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"2.2";"No precipitation";"6";"";"";"";"";
"26.06.2019 20:00";"5.8";"725.3";"777.7";"0.8";"83";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.1";"";"";"";"";"";"";
"26.06.2019 19:00";"6.2";"725.0";"777.4";"0.7";"77";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.5";"";"";"";"";"";"";
"26.06.2019 18:00";"7.7";"724.9";"777.2";"0.5";"73";"Wind blowing from the east";"3";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"26.06.2019 17:00";"10.7";"724.5";"776.8";"-0.1";"61";"Wind blowing from the east-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"26.06.2019 16:00";"13.7";"724.3";"776.7";"-0.7";"51";"Wind blowing from the east-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"26.06.2019 15:00";"14.4";"724.4";"776.8";"-1.2";"46";"Wind blowing from the east";"3";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"2.9";"No precipitation";"6";"";"";"";"";
"26.06.2019 14:00";"14.2";"724.6";"777.0";"-1.5";"49";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"26.06.2019 13:00";"13.9";"725.0";"777.4";"-1.6";"49";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.4";"";"";"";"";"";"";
"26.06.2019 12:00";"13.4";"725.6";"778.0";"-1.0";"53";"Wind blowing from the north-east";"3";"";"";"";"No significant weather observed. ";"";"";"0.4";"";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"26.06.2019 11:00";"12.3";"726.1";"778.6";"-0.1";"58";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"26.06.2019 10:00";"10.5";"726.6";"779.1";"0.8";"69";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"26.06.2019 09:00";"7.3";"726.6";"779.1";"1.1";"80";"Wind blowing from the south-west";"2";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"4.1";"No precipitation";"24";"";"";"";"";
"26.06.2019 08:00";"5.3";"726.2";"778.7";"1.0";"94";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"26.06.2019 07:00";"2.5";"725.8";"778.3";"0.6";"99";"Wind blowing from the north-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.4";"";"";"";"";"";"";
"26.06.2019 06:00";"2.1";"725.5";"778.0";"0.3";"98";"Wind blowing from the west-southwest";"3";"";"";"90  or more, but not 100%";"No significant weather observed. ";"";"";"";"";"";"";"600-1000";"";"";"";"1.8";"";"";"";"";"";"";
"26.06.2019 05:00";"3.1";"725.2";"777.6";"0.0";"99";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.0";"";"";"";"";"";"";
"26.06.2019 04:00";"3.4";"725.2";"777.7";"0.0";"98";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.1";"";"";"";"";"";"";
"26.06.2019 03:00";"3.0";"725.2";"777.7";"0.0";"99";"Calm, no wind";"0";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"600-1000";"";"";"";"2.9";"No precipitation";"6";"";"";"";"";
"26.06.2019 02:00";"1.9";"725.2";"777.6";"0.1";"97";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.5";"";"";"";"";"";"";
"26.06.2019 01:00";"2.0";"725.2";"777.6";"0.3";"99";"Wind blowing from the east-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.9";"";"";"";"";"";"";
"26.06.2019 00:00";"4.0";"725.2";"777.7";"0.4";"99";"Wind blowing from the east-southeast";"2";"";"";"";"No significant weather observed. ";"";"";"";"15.9";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"25.06.2019 23:00";"1.9";"725.1";"777.5";"0.5";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.8";"";"";"";"";"";"";
"25.06.2019 22:00";"3.3";"724.9";"777.4";"0.3";"95";"Wind blowing from the south";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.6";"";"";"";"";"";"";
"25.06.2019 21:00";"4.1";"724.8";"777.1";"0.8";"89";"Calm, no wind";"0";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"2.5";"No precipitation";"6";"";"";"";"";
"25.06.2019 20:00";"4.6";"724.6";"777.0";"1.0";"88";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.8";"";"";"";"";"";"";
"25.06.2019 19:00";"5.5";"724.6";"776.9";"1.3";"83";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.8";"";"";"";"";"";"";
"25.06.2019 18:00";"6.0";"724.0";"776.4";"0.9";"74";"Wind blowing from the south-east";"3";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"1.7";"";"";"";"";"";"";
"25.06.2019 17:00";"11.4";"723.6";"775.9";"0.6";"57";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"25.06.2019 16:00";"14.4";"723.3";"775.6";"-0.1";"49";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"25.06.2019 15:00";"14.8";"723.1";"775.3";"-0.8";"49";"Wind blowing from the east-southeast";"1";"";"";"60%.";"No significant weather observed. ";"";"";"";"";"";"";"1000-1500";"";"";"";"4.2";"No precipitation";"6";"";"";"";"";
"25.06.2019 14:00";"14.3";"723.0";"775.3";"-1.7";"51";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"25.06.2019 13:00";"14.5";"723.4";"775.7";"-1.7";"52";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"25.06.2019 12:00";"13.9";"723.9";"776.2";"-1.2";"57";"Wind blowing from the east";"2";"";"";"";"No significant weather observed. ";"";"";"-2.2";"";"";"";"";"";"";"";"5.5";"";"";"";"";"";"";
