# Weather station Morwell (airport), Australia, WMO_ID=94891,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=94891&lang=en
#
"Local time in Morwell (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 23:00";"9.9";"760.6";"765.7";"0.6";"63";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"30.06.2019 21:00";"9.3";"760.3";"765.5";"1.2";"70";"Wind blowing from the west-southwest";"3";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"4.1";"No precipitation";"6";"";"";"";"";
"30.06.2019 20:00";"9.6";"760.0";"765.2";"1.2";"66";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.4";"";"";"";"";"";"";
"30.06.2019 18:00";"11.1";"759.1";"764.2";"1.3";"59";"Wind blowing from the north-west";"6";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"3.2";"";"";"";"";"";"";
"30.06.2019 17:00";"11.4";"758.8";"764.0";"1.3";"57";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"30.06.2019 15:00";"12.8";"757.8";"763.0";"0.2";"52";"Wind blowing from the west-northwest";"10";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"3.2";"No precipitation";"6";"";"";"";"";
"30.06.2019 14:00";"12.8";"757.5";"762.7";"-0.4";"52";"Wind blowing from the west-northwest";"12";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"30.06.2019 12:00";"12.2";"757.6";"762.7";"0.6";"52";"Wind blowing from the west-northwest";"11";"";"";"60%.";" ";"";"";"6.6";"";"";"";"1000-1500";"";"";"";"2.6";"";"";"";"";"";"";
"30.06.2019 11:00";"12.0";"757.9";"763.1";"1.4";"58";"Wind blowing from the west";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"30.06.2019 09:00";"10.0";"757.0";"762.2";"1.8";"64";"Wind blowing from the west-northwest";"9";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"3.5";"6.0";"24";"";"";"";"";
"30.06.2019 08:00";"8.9";"756.5";"761.7";"1.9";"69";"Wind blowing from the west-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"30.06.2019 06:00";"9.0";"755.2";"760.3";"2.2";"74";"Wind blowing from the west";"7";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"600-1000";"";"";"";"4.6";"";"";"";"";"";"";
"30.06.2019 05:00";"9.1";"754.6";"759.7";"1.9";"75";"Wind blowing from the west";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"30.06.2019 03:00";"10.4";"753.0";"758.1";"0.2";"66";"Wind blowing from the west";"8";"";"";"40%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"4.3";"No precipitation";"6";"";"";"";"";
"30.06.2019 02:00";"10.3";"752.7";"757.8";"0.6";"66";"Wind blowing from the west";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"30.06.2019 00:00";"9.8";"752.8";"757.9";"1.5";"73";"Wind blowing from the south-west";"5";"";"";"100%.";" ";"";"";"";"20.5";"";"";"1000-1500";"";"";"";"5.2";"";"";"";"";"";"";
"29.06.2019 23:00";"9.9";"752.1";"757.2";"0.7";"70";"Wind blowing from the south-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"29.06.2019 21:00";"7.9";"751.3";"756.4";"2.2";"87";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";" ";"Precipitation";"Precipitation";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"5.9";"6.0";"6";"";"";"";"";
"29.06.2019 20:00";"9.3";"751.4";"756.5";"1.8";"89";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"29.06.2019 18:00";"15.2";"749.1";"754.2";"-1.9";"62";"Wind blowing from the north";"5";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"8.0";"";"";"";"";"";"";
"29.06.2019 17:00";"17.2";"749.6";"754.7";"-2.0";"51";"Wind blowing from the north-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"29.06.2019 15:00";"18.6";"751.0";"756.1";"-3.2";"49";"Wind blowing from the north";"11";"";"";"100%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"7.7";"No precipitation";"6";"";"";"";"";
"29.06.2019 14:00";"19.9";"751.6";"756.7";"-4.4";"47";"Wind blowing from the north";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"29.06.2019 12:00";"17.0";"754.2";"759.3";"-3.2";"58";"Wind blowing from the east-northeast";"4";"";"";"100%.";" ";"";"";"6.6";"";"";"";"2000-2500";"";"";"";"8.7";"";"";"";"";"";"";
"29.06.2019 11:00";"14.3";"756.0";"761.2";"-1.9";"69";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.7";"";"";"";"";"";"";
"29.06.2019 09:00";"13.8";"757.4";"762.6";"-0.8";"70";"Wind blowing from the east";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"8.4";"No precipitation";"24";"";"";"";"";
"29.06.2019 08:00";"10.8";"757.9";"763.1";"-0.6";"73";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"29.06.2019 06:00";"15.0";"758.2";"763.4";"-1.5";"61";"Wind blowing from the north";"6";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"7.5";"";"";"";"";"";"";
"29.06.2019 05:00";"7.6";"758.5";"763.7";"-1.5";"88";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"29.06.2019 03:00";"7.6";"759.7";"764.9";"-1.2";"85";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"5.2";"No precipitation";"6";"";"";"";"";
"29.06.2019 02:00";"9.5";"760.0";"765.1";"-1.3";"80";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"29.06.2019 00:00";"10.1";"760.9";"766.1";"-1.1";"75";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"19.2";"";"";"2500 or more, or no clouds.";"";"";"";"5.9";"";"";"";"";"";"";
"28.06.2019 23:00";"12.8";"761.3";"766.5";"-0.8";"67";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"28.06.2019 21:00";"8.8";"762.0";"767.2";"-0.3";"84";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"6.3";"No precipitation";"6";"";"";"";"";
"28.06.2019 20:00";"8.9";"762.1";"767.2";"0.0";"77";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"28.06.2019 18:00";"11.3";"762.3";"767.5";"-0.1";"74";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"28.06.2019 17:00";"14.9";"762.1";"767.3";"-0.6";"64";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.2";"";"";"";"";"";"";
"28.06.2019 15:00";"19.1";"762.4";"767.5";"-1.9";"50";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"No precipitation";"6";"";"";"";"";
"28.06.2019 14:00";"18.5";"762.7";"767.8";"-2.7";"52";"Wind blowing from the north-northeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"28.06.2019 12:00";"14.3";"764.3";"769.5";"-1.8";"58";"Wind blowing from the east-northeast";"3";"";"";"";" ";"";"";"-1.9";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"28.06.2019 11:00";"11.6";"765.4";"770.5";"-0.6";"71";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"28.06.2019 09:00";"3.0";"766.1";"771.3";"0.5";"94";"Wind blowing from the west-southwest";"1";"";"";"";"Precipitation ";"Precipitation";"Precipitation";"";"";"";"";"";"";"";"";"2.1";"0.2";"24";"";"";"";"";
"28.06.2019 08:00";"-0.2";"766.0";"771.1";"0.4";"94";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.0";"";"";"";"";"";"";
"28.06.2019 06:00";"0.2";"765.6";"770.8";"0.0";"94";"Wind blowing from the south-southwest";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"-0.6";"";"";"";"";"";"";
"28.06.2019 05:00";"0.0";"765.6";"770.8";"-0.2";"93";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.0";"";"";"";"";"";"";
"28.06.2019 03:00";"0.4";"765.6";"770.8";"-0.6";"92";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"9.0";"-0.7";"No precipitation";"6";"";"";"";"";
"28.06.2019 02:00";"0.4";"765.8";"771.0";"-0.7";"92";"Wind blowing from the south-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.7";"";"";"";"";"";"";
"28.06.2019 00:00";"2.1";"766.2";"771.4";"-0.8";"90";"Wind blowing from the east-southeast";"2";"";"";"";" ";"";"";"";"15.5";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";
"27.06.2019 23:00";"2.2";"766.5";"771.7";"-0.7";"89";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";
"27.06.2019 21:00";"5.0";"767.0";"772.3";"0.0";"86";"Wind blowing from the north-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.9";"No precipitation";"6";"";"";"";"";
"27.06.2019 20:00";"5.6";"767.2";"772.5";"0.5";"81";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.6";"";"";"";"";"";"";
"27.06.2019 18:00";"9.3";"767.0";"772.3";"0.0";"70";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
"27.06.2019 17:00";"12.2";"766.7";"771.9";"-0.6";"63";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"27.06.2019 15:00";"14.8";"767.0";"772.3";"-1.9";"59";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"No precipitation";"6";"";"";"";"";
"27.06.2019 14:00";"14.6";"767.3";"772.6";"-2.3";"52";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"27.06.2019 12:00";"11.9";"768.9";"774.1";"-1.1";"63";"Wind blowing from the north-northeast";"2";"";"";"";" ";"";"";"-2.4";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"27.06.2019 11:00";"10.1";"769.6";"774.9";"-0.6";"71";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"27.06.2019 09:00";"0.6";"770.0";"775.3";"0.4";"93";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.4";"0.2";"24";"";"";"";"";
"27.06.2019 08:00";"-1.1";"770.2";"775.4";"1.0";"93";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.1";"";"";"";"";"";"";
"27.06.2019 06:00";"-1.8";"769.6";"774.8";"0.0";"93";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.8";"";"";"";"";"";"";
"27.06.2019 05:00";"-1.6";"769.2";"774.4";"-0.8";"92";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.7";"";"";"";"";"";"";
"27.06.2019 03:00";"-0.4";"769.6";"774.9";"-0.5";"92";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.5";"No precipitation";"6";"";"";"";"";
"27.06.2019 02:00";"-0.8";"770.0";"775.3";"-0.3";"91";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.1";"";"";"";"";"";"";
"27.06.2019 00:00";"1.0";"770.1";"775.3";"-0.3";"90";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"17.3";"";"";"";"";"";"";"-0.5";"";"";"";"";"";"";
"26.06.2019 23:00";"2.0";"770.3";"775.6";"-0.1";"88";"Wind blowing from the south-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.2";"";"";"";"";"";"";
"26.06.2019 21:00";"6.2";"770.4";"775.6";"0.4";"74";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.9";"No precipitation";"6";"";"";"";"";
"26.06.2019 20:00";"6.9";"770.4";"775.6";"0.5";"75";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.8";"";"";"";"";"";"";
"26.06.2019 18:00";"9.3";"770.0";"775.3";"-0.1";"69";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"26.06.2019 17:00";"12.3";"769.9";"775.1";"-0.3";"60";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"26.06.2019 15:00";"16.4";"770.1";"775.3";"-1.4";"36";"Wind blowing from the north";"1";"";"";"";" ";"Precipitation";"Precipitation";"";"";"";"";"";"";"";"";"1.3";"0.2";"6";"";"";"";"";
"26.06.2019 14:00";"16.2";"770.2";"775.5";"-1.9";"35";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";
"26.06.2019 12:00";"11.2";"771.5";"776.8";"-0.9";"63";"Calm, no wind";"0";"";"";"";" ";"";"";"-2.3";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"26.06.2019 11:00";"7.8";"772.1";"777.4";"-0.1";"81";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"26.06.2019 09:00";"0.8";"772.4";"777.7";"0.8";"94";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.1";"No precipitation";"24";"";"";"";"";
"26.06.2019 08:00";"-0.8";"772.2";"777.4";"0.8";"94";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.6";"";"";"";"";"";"";
"26.06.2019 06:00";"-2.2";"771.6";"776.8";"0.4";"93";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.2";"";"";"";"";"";"";
"26.06.2019 05:00";"-1.2";"771.4";"776.6";"0.2";"93";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.2";"";"";"";"";"";"";
"26.06.2019 03:00";"-1.5";"771.2";"776.5";"0.0";"93";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.5";"No precipitation";"6";"";"";"";"";
"26.06.2019 02:00";"-0.2";"771.2";"776.5";"-0.2";"93";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.2";"";"";"";"";"";"";
"26.06.2019 00:00";"0.4";"771.2";"776.5";"-0.2";"92";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"15.8";"";"";"2500 or more, or no clouds.";"";"";"";"-0.7";"";"";"";"";"";"";
"25.06.2019 23:00";"2.0";"771.4";"776.7";"0.0";"91";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";
"25.06.2019 21:00";"3.6";"771.4";"776.6";"0.6";"89";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.0";"No precipitation";"6";"";"";"";"";
"25.06.2019 20:00";"3.9";"771.4";"776.6";"0.9";"85";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.6";"";"";"";"";"";"";
"25.06.2019 18:00";"8.2";"770.8";"776.0";"0.9";"73";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"25.06.2019 17:00";"11.9";"770.5";"775.7";"0.4";"56";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.4";"";"";"";"";"";"";
"25.06.2019 15:00";"15.2";"769.9";"775.2";"-1.1";"49";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"No precipitation";"6";"";"";"";"";
"25.06.2019 14:00";"14.3";"770.1";"775.3";"-1.3";"45";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.5";"";"";"";"";"";"";
"25.06.2019 12:00";"9.9";"771.0";"776.2";"-0.1";"84";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"-1.0";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"25.06.2019 11:00";"6.3";"771.4";"776.7";"0.6";"96";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"25.06.2019 09:00";"1.5";"771.1";"776.4";"0.9";"96";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"Precipitation";"Precipitation";"";"";"";"";"Less than  50";"";"";"0.1";"0.9";"0.4";"24";"";"";"";"";
"25.06.2019 08:00";"0.9";"770.8";"776.1";"0.8";"95";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.2";"";"";"";"";"";"";
"25.06.2019 06:00";"0.8";"770.2";"775.5";"0.1";"95";"Wind blowing from the south";"2";"";"";"100%.";" ";"";"Precipitation";"";"";"";"";"Less than  50";"";"";"0.2";"0.1";"";"";"";"";"";"";
"25.06.2019 05:00";"1.2";"770.0";"775.3";"0.0";"95";"Wind blowing from the south-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"25.06.2019 03:00";"0.5";"770.1";"775.3";"-0.6";"94";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"";"";"";"";"Less than  50";"";"";"0.1";"-0.4";"No precipitation";"6";"";"";"";"";
"25.06.2019 02:00";"-0.1";"770.0";"775.3";"-0.8";"93";"Wind blowing from the south-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.1";"";"";"";"";"";"";
"25.06.2019 00:00";"0.0";"770.7";"775.9";"0.0";"92";"Wind blowing from the south-west";"2";"";"";"20–30%.";" ";"";"";"";"13.1";"";"";"200-300";"";"";"";"-1.1";"";"";"";"";"";"";
"24.06.2019 23:00";"1.8";"770.8";"776.1";"0.0";"92";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";
"24.06.2019 21:00";"2.1";"770.7";"775.9";"0.8";"90";"Calm, no wind";"0";"";"";"";" ";"Precipitation";"Precipitation";"";"";"";"";"";"";"";"";"0.6";"0.2";"6";"";"";"";"";
"24.06.2019 20:00";"3.4";"770.8";"776.0";"1.3";"88";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.6";"";"";"";"";"";"";
"24.06.2019 18:00";"6.8";"769.9";"775.1";"0.9";"80";"Calm, no wind";"0";"";"";"";" ";"";"Precipitation";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"24.06.2019 17:00";"10.1";"769.5";"774.7";"0.4";"69";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"24.06.2019 15:00";"12.7";"769.0";"774.3";"-1.0";"62";"Wind blowing from the east-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"No precipitation";"6";"";"";"";"";
"24.06.2019 14:00";"12.4";"769.1";"774.4";"-1.7";"61";"Wind blowing from the east-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"24.06.2019 12:00";"10.3";"770.0";"775.3";"-1.1";"65";"Wind blowing from the east";"3";"";"";"";" ";"";"";"-2.5";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"24.06.2019 11:00";"8.7";"770.8";"776.0";"-0.3";"86";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"24.06.2019 09:00";"0.7";"771.1";"776.3";"0.9";"95";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"Less than  50";"";"";"5.0";"0.0";"No precipitation";"24";"";"";"";"";
"24.06.2019 08:00";"-2.1";"771.1";"776.3";"1.0";"94";"Wind blowing from the south-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.9";"";"";"";"";"";"";
"24.06.2019 06:00";"-0.2";"770.2";"775.4";"0.3";"94";"Wind blowing from the north-east";"2";"";"";"100%.";" ";"";"";"";"";"";"";"Less than  50";"";"";"0.3";"-1.0";"";"";"";"";"";"";
"24.06.2019 05:00";"-1.3";"770.1";"775.3";"0.2";"93";"Wind blowing from the north-northwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.3";"";"";"";"";"";"";
"24.06.2019 03:00";"-1.1";"769.9";"775.2";"0.0";"92";"Wind blowing from the south";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.2";"No precipitation";"6";"";"";"";"";
"24.06.2019 02:00";"-0.8";"769.9";"775.1";"0.0";"92";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.9";"";"";"";"";"";"";
"24.06.2019 00:00";"0.6";"769.9";"775.1";"0.3";"91";"Calm, no wind";"0";"";"";"";" ";"";"";"";"13.0";"";"";"";"";"";"";"-0.7";"";"";"";"";"";"";
"23.06.2019 23:00";"2.3";"769.9";"775.2";"0.6";"91";"Wind blowing from the south-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.0";"";"";"";"";"";"";
"23.06.2019 21:00";"2.6";"769.6";"774.9";"1.1";"89";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.0";"No precipitation";"6";"";"";"";"";
"23.06.2019 20:00";"5.3";"769.3";"774.6";"1.0";"87";"Wind blowing from the east-northeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.3";"";"";"";"";"";"";
"23.06.2019 18:00";"8.6";"768.5";"773.8";"0.4";"72";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"3.8";"";"";"";"";"";"";
"23.06.2019 17:00";"10.4";"768.3";"773.5";"0.4";"65";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
"23.06.2019 15:00";"12.6";"768.1";"773.3";"-0.6";"61";"Wind blowing from the north-east";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"5.3";"No precipitation";"6";"";"";"";"";
"23.06.2019 14:00";"12.6";"767.9";"773.2";"-1.2";"61";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"23.06.2019 12:00";"10.6";"768.7";"773.9";"-0.4";"80";"Calm, no wind";"0";"";"";"";" ";"";"";"-1.4";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"23.06.2019 11:00";"6.9";"769.1";"774.4";"0.3";"93";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"23.06.2019 09:00";"0.6";"769.1";"774.4";"1.0";"95";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.1";"0.2";"24";"";"";"";"";
"23.06.2019 08:00";"-0.9";"768.8";"774.1";"0.9";"95";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.6";"";"";"";"";"";"";
"23.06.2019 06:00";"-0.1";"768.1";"773.3";"0.3";"94";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"Less than  50";"";"";"0.5";"-0.9";"";"";"";"";"";"";
"23.06.2019 05:00";"0.0";"767.9";"773.2";"0.2";"94";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.8";"";"";"";"";"";"";
"23.06.2019 03:00";"1.6";"767.8";"773.0";"0.3";"94";"Calm, no wind";"0";"";"";"100%.";"Precipitation, slight or moderate. ";"Precipitation";"Precipitation";"";"";"";"";"Less than  50";"";"";"0.1";"0.7";"0.2";"6";"";"";"";"";
"23.06.2019 02:00";"1.4";"767.7";"772.9";"0.1";"94";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"23.06.2019 00:00";"1.0";"767.5";"772.8";"-0.2";"92";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"12.9";"";"";"";"";"";"";"-0.1";"";"";"";"";"";"";
"22.06.2019 23:00";"1.5";"767.6";"772.9";"-0.1";"92";"Wind blowing from the south-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.3";"";"";"";"";"";"";
"22.06.2019 21:00";"2.3";"767.7";"772.9";"0.3";"89";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.7";"No precipitation";"6";"";"";"";"";
"22.06.2019 20:00";"4.2";"767.7";"772.9";"0.7";"87";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.2";"";"";"";"";"";"";
"22.06.2019 18:00";"7.5";"767.4";"772.6";"0.7";"80";"Wind blowing from the south-west";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"4.3";"";"";"";"";"";"";
