# Weather station Dubbo (airport), Australia, WMO_ID=95719,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=95719&lang=en
#
"Local time in Dubbo (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 23:00";"6.5";"744.3";"770.1";"1.0";"81";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"30.06.2019 22:00";"7.2";"744.1";"769.9";"1.0";"78";"Wind blowing from the south-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"30.06.2019 21:00";"7.6";"743.9";"769.7";"1.3";"76";"Wind blowing from the south-southeast";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"3.6";"No precipitation";"6";"";"";"";"";
"30.06.2019 20:00";"8.0";"743.3";"769.0";"1.0";"75";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"30.06.2019 19:00";"8.1";"743.1";"768.8";"1.0";"73";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.4";"";"";"";"";"";"";
"30.06.2019 18:00";"9.8";"742.6";"768.4";"0.8";"63";"Wind blowing from the south-southwest";"4";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"3.1";"";"";"";"";"";"";
"30.06.2019 17:00";"12.1";"742.3";"768.1";"0.5";"53";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.6";"";"";"";"";"";"";
"30.06.2019 16:00";"14.0";"742.1";"767.8";"0.1";"47";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.9";"";"";"";"";"";"";
"30.06.2019 15:00";"14.7";"741.8";"767.5";"-0.4";"48";"Wind blowing from the south-west";"4";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"3.8";"No precipitation";"6";"";"";"";"";
"30.06.2019 14:00";"14.3";"741.8";"767.5";"-0.8";"49";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"30.06.2019 13:00";"14.6";"742.0";"767.7";"-0.9";"53";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"30.06.2019 12:00";"13.2";"742.2";"767.9";"-0.4";"58";"Wind blowing from the west-southwest";"5";"";"";"10%  or less, but not 0";"No significant weather observed. ";"";"";"5.4";"";"";"";"600-1000";"";"";"";"5.1";"";"";"";"";"";"";
"30.06.2019 11:00";"12.8";"742.6";"768.3";"0.3";"64";"Wind blowing from the west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"30.06.2019 10:00";"11.4";"742.9";"768.6";"0.9";"73";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"30.06.2019 09:00";"9.7";"742.6";"768.3";"1.1";"83";"Wind blowing from the west";"2";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"7.0";"3.0";"24";"";"";"";"";
"30.06.2019 08:00";"7.4";"742.3";"768.1";"1.2";"98";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"30.06.2019 07:00";"6.6";"742.0";"767.7";"1.4";"97";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"30.06.2019 06:00";"7.4";"741.5";"767.2";"1.0";"96";"Wind blowing from the south-southeast";"2";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"30.06.2019 05:00";"8.0";"741.1";"766.7";"0.4";"93";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"30.06.2019 04:00";"8.6";"740.6";"766.3";"0.5";"93";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"";
"30.06.2019 03:00";"8.5";"740.5";"766.2";"2.4";"95";"Wind blowing from the east-southeast";"4";"";"";"60%.";"Drizzle (not freezing) or snow grains. ";"Precipitation";"Precipitation";"";"";"";"";"1000-1500";"";"";"";"7.7";"3.0";"6";"";"";"";"";
"30.06.2019 02:00";"8.9";"740.7";"766.3";"2.3";"95";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"30.06.2019 01:00";"10.2";"740.1";"765.7";"1.7";"90";"Wind blowing from the south-southwest";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"30.06.2019 00:00";"14.5";"738.1";"763.6";"-0.5";"71";"Wind blowing from the north";"8";"";"";"70 – 80%.";"Rain shower(s) or intermittent rain, moderate. ";"";"Precipitation";"";"21.1";"";"";"200-300";"";"";"";"9.3";"";"";"";"";"";"";
"29.06.2019 23:00";"16.4";"738.4";"764.0";"-1.1";"52";"Wind blowing from the north";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"29.06.2019 22:00";"16.6";"738.4";"764.0";"-0.7";"49";"Wind blowing from the north";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"29.06.2019 21:00";"16.6";"738.6";"764.2";"-0.7";"49";"Wind blowing from the north";"7";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"";"";"";"";"5.9";"No precipitation";"6";"";"";"";"";
"29.06.2019 20:00";"17.3";"739.5";"765.1";"0.2";"46";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"29.06.2019 19:00";"17.9";"739.1";"764.7";"-0.7";"43";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"29.06.2019 18:00";"18.3";"739.3";"764.9";"-0.3";"41";"Wind blowing from the north";"7";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"29.06.2019 17:00";"18.6";"739.3";"765.0";"-1.3";"39";"Wind blowing from the north";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"29.06.2019 16:00";"19.3";"739.8";"765.4";"-1.7";"36";"Wind blowing from the north";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"29.06.2019 15:00";"20.1";"739.6";"765.3";"-3.1";"37";"Wind blowing from the north";"10";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"5.0";"No precipitation";"6";"";"";"";"";
"29.06.2019 14:00";"20.2";"740.6";"766.3";"-3.2";"36";"Wind blowing from the north";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"29.06.2019 13:00";"20.3";"741.5";"767.2";"-2.8";"37";"Wind blowing from the north-northwest";"11";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"29.06.2019 12:00";"20.1";"742.7";"768.4";"-1.8";"39";"Wind blowing from the north";"10";"";"";"";"No significant weather observed. ";"";"";"8.3";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"29.06.2019 11:00";"18.6";"743.8";"769.6";"-0.6";"41";"Wind blowing from the north";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"29.06.2019 10:00";"17.3";"744.3";"770.1";"0.2";"46";"Wind blowing from the north-northeast";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"29.06.2019 09:00";"14.2";"744.5";"770.3";"0.6";"59";"Wind blowing from the east-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"3.0";"6.3";"No precipitation";"24";"";"";"";"";
"29.06.2019 08:00";"11.1";"744.4";"770.2";"0.5";"73";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"29.06.2019 07:00";"8.4";"744.1";"769.9";"0.1";"82";"Wind blowing from the east-northeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.5";"";"";"";"";"";"";
"29.06.2019 06:00";"8.8";"743.9";"769.7";"-0.3";"82";"Wind blowing from the east";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"29.06.2019 05:00";"9.2";"743.9";"769.7";"-0.5";"82";"Wind blowing from the east-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"29.06.2019 04:00";"9.8";"744.0";"769.8";"-0.6";"85";"Wind blowing from the east-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.4";"";"";"";"";"";"";
"29.06.2019 03:00";"11.1";"744.2";"770.0";"-0.8";"82";"Wind blowing from the east-northeast";"6";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"8.1";"No precipitation";"6";"";"";"";"";
"29.06.2019 02:00";"11.1";"744.4";"770.2";"-0.9";"82";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"29.06.2019 01:00";"12.2";"744.6";"770.4";"-0.8";"76";"Wind blowing from the east-northeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"29.06.2019 00:00";"12.3";"745.0";"770.8";"-0.4";"76";"Wind blowing from the east";"6";"";"";"10%  or less, but not 0";"No significant weather observed. ";"";"";"";"21.9";"";"";"1500-2000";"";"";"";"8.2";"";"";"";"";"";"";
"28.06.2019 23:00";"12.0";"745.3";"771.1";"0.0";"77";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"28.06.2019 22:00";"11.6";"745.4";"771.2";"0.4";"76";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"";
"28.06.2019 21:00";"12.1";"745.4";"771.2";"0.7";"74";"Wind blowing from the east";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"7.6";"No precipitation";"6";"";"";"";"";
"28.06.2019 20:00";"11.5";"745.3";"771.1";"0.8";"68";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"28.06.2019 19:00";"12.8";"745.0";"770.8";"0.5";"63";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"28.06.2019 18:00";"14.1";"744.7";"770.5";"0.0";"55";"Wind blowing from the east";"3";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"28.06.2019 17:00";"17.7";"744.5";"770.3";"-0.8";"36";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.5";"";"";"";"";"";"";
"28.06.2019 16:00";"21.0";"744.5";"770.3";"-1.5";"32";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"28.06.2019 15:00";"20.9";"744.7";"770.5";"-2.4";"32";"Wind blowing from the north";"3";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"3.6";"No precipitation";"6";"";"";"";"";
"28.06.2019 14:00";"21.2";"745.3";"771.1";"-2.8";"34";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"28.06.2019 13:00";"21.3";"746.0";"771.9";"-2.6";"35";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"28.06.2019 12:00";"18.9";"747.1";"772.9";"-1.5";"48";"Wind blowing from the east-northeast";"4";"";"";"";"No significant weather observed. ";"";"";"8.0";"";"";"";"";"";"";"";"7.7";"";"";"";"";"";"";
"28.06.2019 11:00";"16.9";"748.1";"774.1";"-0.5";"57";"Wind blowing from the east-northeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"28.06.2019 10:00";"14.5";"748.6";"774.6";"0.6";"68";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.7";"";"";"";"";"";"";
"28.06.2019 09:00";"12.3";"748.6";"774.5";"0.8";"82";"Wind blowing from the east";"6";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"9.3";"No precipitation";"24";"";"";"";"";
"28.06.2019 08:00";"9.4";"748.6";"774.5";"1.0";"92";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.2";"";"";"";"";"";"";
"28.06.2019 07:00";"8.2";"748.0";"774.0";"0.3";"94";"Wind blowing from the east-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"28.06.2019 06:00";"8.3";"747.8";"773.7";"0.0";"94";"Wind blowing from the east-southeast";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"7.4";"";"";"";"";"";"";
"28.06.2019 05:00";"9.4";"747.6";"773.5";"-0.2";"92";"Wind blowing from the east-southeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.2";"";"";"";"";"";"";
"28.06.2019 04:00";"10.0";"747.7";"773.5";"-0.2";"89";"Wind blowing from the east-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"28.06.2019 03:00";"10.9";"747.8";"773.7";"-0.1";"87";"Wind blowing from the east";"6";"";"";"10%  or less, but not 0";"No significant weather observed. ";"";"";"";"";"";"";"2000-2500";"";"";"";"8.8";"No precipitation";"6";"";"";"";"";
"28.06.2019 02:00";"11.2";"747.8";"773.7";"-0.5";"84";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"28.06.2019 01:00";"11.5";"747.9";"773.8";"-0.4";"82";"Wind blowing from the east-southeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"28.06.2019 00:00";"11.7";"747.9";"773.8";"-0.2";"79";"Wind blowing from the east";"6";"";"";"";"No significant weather observed. ";"";"";"";"20.5";"";"";"";"";"";"";"8.2";"";"";"";"";"";"";
"27.06.2019 23:00";"12.1";"748.3";"774.2";"0.5";"74";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"27.06.2019 22:00";"12.3";"748.3";"774.2";"0.7";"73";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"27.06.2019 21:00";"12.7";"748.1";"774.1";"0.8";"67";"Wind blowing from the east";"6";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"6.7";"No precipitation";"6";"";"";"";"";
"27.06.2019 20:00";"13.7";"747.8";"773.7";"0.7";"61";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"27.06.2019 19:00";"14.5";"747.6";"773.5";"0.8";"58";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"27.06.2019 18:00";"14.4";"747.3";"773.2";"0.5";"56";"Wind blowing from the east";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"27.06.2019 17:00";"17.0";"747.1";"772.9";"0.0";"46";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"27.06.2019 16:00";"19.1";"746.8";"772.6";"-0.9";"42";"Wind blowing from the east-northeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"27.06.2019 15:00";"19.9";"746.8";"772.6";"-1.7";"39";"Wind blowing from the east";"7";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"5.5";"No precipitation";"6";"";"";"";"";
"27.06.2019 14:00";"19.9";"747.1";"772.9";"-2.2";"42";"Wind blowing from the east-northeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.6";"";"";"";"";"";"";
"27.06.2019 13:00";"18.9";"747.7";"773.6";"-1.7";"46";"Wind blowing from the east-northeast";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"27.06.2019 12:00";"18.3";"748.5";"774.4";"-1.0";"50";"Wind blowing from the east";"7";"";"";"";"No significant weather observed. ";"";"";"6.9";"";"";"";"";"";"";"";"7.7";"";"";"";"";"";"";
"27.06.2019 11:00";"17.0";"749.3";"775.3";"0.0";"56";"Wind blowing from the east-northeast";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.2";"";"";"";"";"";"";
"27.06.2019 10:00";"15.5";"749.4";"775.3";"0.3";"64";"Wind blowing from the east";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.7";"";"";"";"";"";"";
"27.06.2019 09:00";"14.0";"749.5";"775.4";"0.6";"70";"Wind blowing from the east";"8";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"8.6";"No precipitation";"24";"";"";"";"";
"27.06.2019 08:00";"9.8";"749.3";"775.3";"0.6";"84";"Wind blowing from the east-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"";"";"";"";"";"";
"27.06.2019 07:00";"7.6";"749.1";"775.0";"0.4";"90";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"27.06.2019 06:00";"7.5";"748.9";"774.9";"0.4";"88";"Wind blowing from the south-east";"6";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"27.06.2019 05:00";"7.8";"748.7";"774.7";"0.2";"88";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"27.06.2019 04:00";"8.4";"748.7";"774.7";"0.2";"88";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"27.06.2019 03:00";"7.9";"748.5";"774.4";"-0.1";"86";"Wind blowing from the east-southeast";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"5.7";"No precipitation";"6";"";"";"";"";
"27.06.2019 02:00";"8.1";"748.5";"774.4";"-0.2";"84";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"27.06.2019 01:00";"8.8";"748.5";"774.4";"-0.2";"80";"Wind blowing from the south-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.5";"";"";"";"";"";"";
"27.06.2019 00:00";"7.9";"748.6";"774.5";"0.0";"77";"Wind blowing from the south-east";"5";"";"";"";"No significant weather observed. ";"";"";"";"20.3";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
"26.06.2019 23:00";"9.4";"748.7";"774.7";"0.0";"70";"Wind blowing from the south-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"26.06.2019 22:00";"9.0";"748.7";"774.7";"0.1";"68";"Wind blowing from the south-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.4";"";"";"";"";"";"";
"26.06.2019 21:00";"10.5";"748.6";"774.6";"0.5";"64";"Wind blowing from the south-southeast";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"3.8";"No precipitation";"6";"";"";"";"";
"26.06.2019 20:00";"11.1";"748.7";"774.7";"1.0";"62";"Wind blowing from the east-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
"26.06.2019 19:00";"12.4";"748.6";"774.5";"1.0";"55";"Wind blowing from the east-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"26.06.2019 18:00";"14.5";"748.1";"774.1";"0.4";"49";"Wind blowing from the east";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"26.06.2019 17:00";"16.2";"747.7";"773.6";"-0.2";"45";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"26.06.2019 16:00";"18.5";"747.6";"773.5";"-0.8";"38";"Wind blowing from the east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"26.06.2019 15:00";"19.4";"747.7";"773.5";"-1.2";"37";"Wind blowing from the east";"7";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"4.4";"No precipitation";"6";"";"";"";"";
"26.06.2019 14:00";"19.5";"747.9";"773.8";"-1.6";"42";"Wind blowing from the east-northeast";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"26.06.2019 13:00";"18.7";"748.4";"774.4";"-1.6";"47";"Wind blowing from the east";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"";"";"";"";"";"";
"26.06.2019 12:00";"19.5";"748.9";"774.8";"-1.1";"48";"Wind blowing from the east";"8";"";"";"10%  or less, but not 0";"No significant weather observed. ";"";"";"4.6";"";"";"";"600-1000";"";"";"";"8.2";"";"";"";"";"";"";
"26.06.2019 11:00";"17.2";"749.5";"775.5";"0.0";"55";"Wind blowing from the east";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"26.06.2019 10:00";"14.9";"750.0";"775.9";"1.3";"65";"Wind blowing from the east-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
"26.06.2019 09:00";"10.4";"750.0";"775.9";"1.2";"79";"Wind blowing from the south-east";"6";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"6.9";"No precipitation";"24";"";"";"";"";
"26.06.2019 08:00";"7.8";"749.5";"775.4";"0.7";"88";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"26.06.2019 07:00";"5.8";"748.7";"774.7";"0.1";"96";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"26.06.2019 06:00";"5.1";"748.8";"774.7";"0.2";"95";"Wind blowing from the east-southeast";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"26.06.2019 05:00";"5.8";"748.8";"774.7";"0.3";"90";"Wind blowing from the south-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"26.06.2019 04:00";"6.6";"748.6";"774.5";"0.1";"88";"Wind blowing from the south-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"26.06.2019 03:00";"7.0";"748.6";"774.5";"0.1";"86";"Wind blowing from the south-east";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"4.8";"No precipitation";"6";"";"";"";"";
"26.06.2019 02:00";"7.6";"748.5";"774.4";"-0.1";"82";"Wind blowing from the south-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"26.06.2019 01:00";"8.0";"748.5";"774.4";"-0.1";"83";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"26.06.2019 00:00";"8.6";"748.5";"774.4";"0.3";"76";"Wind blowing from the south-east";"4";"";"";"";"No significant weather observed. ";"";"";"";"19.6";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"25.06.2019 23:00";"10.8";"748.6";"774.6";"0.4";"69";"Wind blowing from the south-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"25.06.2019 22:00";"10.0";"748.6";"774.5";"0.6";"71";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";
"25.06.2019 21:00";"11.0";"748.2";"774.1";"0.5";"68";"Wind blowing from the south-southeast";"4";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"5.3";"No precipitation";"6";"";"";"";"";
"25.06.2019 20:00";"9.8";"748.2";"774.1";"0.8";"70";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"25.06.2019 19:00";"11.7";"748.0";"773.9";"0.9";"66";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"25.06.2019 18:00";"12.7";"747.7";"773.5";"0.8";"60";"Wind blowing from the east-southeast";"4";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"25.06.2019 17:00";"15.8";"747.4";"773.2";"0.6";"52";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";
"25.06.2019 16:00";"17.0";"747.1";"772.9";"-0.1";"50";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"25.06.2019 15:00";"19.0";"746.9";"772.8";"-0.9";"45";"Wind blowing from the east";"7";"";"";"10%  or less, but not 0";"No significant weather observed. ";"";"";"";"";"";"";"1000-1500";"";"";"";"6.8";"No precipitation";"6";"";"";"";"";
"25.06.2019 14:00";"17.6";"746.8";"772.7";"-1.5";"47";"Wind blowing from the east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"25.06.2019 13:00";"18.0";"747.2";"773.1";"-1.4";"48";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"25.06.2019 12:00";"16.2";"747.8";"773.7";"-1.1";"57";"Wind blowing from the east-northeast";"6";"";"";"";"No significant weather observed. ";"";"";"3.0";"";"";"";"";"";"";"";"7.7";"";"";"";"";"";"";
"25.06.2019 11:00";"14.0";"748.3";"774.2";"-0.2";"61";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.6";"";"";"";"";"";"";
