time,latitude,longitude,tasmin_son
UTC,degrees_north,degrees_east,K
2050-01-01T12:00:00Z,-43.25419717,177.1875,1.3211365
2050-01-01T12:00:00Z,-43.25419717,180.0,1.3542786
2050-01-01T12:00:00Z,-40.46365068,90.0,0.6984863
2050-01-01T12:00:00Z,-40.46365068,92.8125,0.65426636
2050-01-01T12:00:00Z,-40.46365068,95.625,0.63446045
2050-01-01T12:00:00Z,-40.46365068,98.4375,0.6260071
2050-01-01T12:00:00Z,-40.46365068,101.25,0.60632324
2050-01-01T12:00:00Z,-40.46365068,104.0625,0.6161804
2050-01-01T12:00:00Z,-40.46365068,106.875,0.67666626
2050-01-01T12:00:00Z,-40.46365068,109.6875,0.74765015
2050-01-01T12:00:00Z,-40.46365068,112.5,0.7766113
2050-01-01T12:00:00Z,-40.46365068,115.3125,0.7802124
2050-01-01T12:00:00Z,-40.46365068,118.125,0.77059937
2050-01-01T12:00:00Z,-40.46365068,120.9375,0.7774048
2050-01-01T12:00:00Z,-40.46365068,123.75,0.7927551
2050-01-01T12:00:00Z,-40.46365068,126.5625,0.83483887
2050-01-01T12:00:00Z,-40.46365068,129.375,0.8682251
2050-01-01T12:00:00Z,-40.46365068,132.1875,0.8607788
2050-01-01T12:00:00Z,-40.46365068,135.0,0.83187866
2050-01-01T12:00:00Z,-40.46365068,137.8125,0.8198242
2050-01-01T12:00:00Z,-40.46365068,140.625,0.7636719
2050-01-01T12:00:00Z,-40.46365068,143.4375,0.77264404
2050-01-01T12:00:00Z,-40.46365068,146.25,0.9629822
2050-01-01T12:00:00Z,-40.46365068,149.0625,1.273468
2050-01-01T12:00:00Z,-40.46365068,151.875,1.6576538
2050-01-01T12:00:00Z,-40.46365068,154.6875,1.6898804
2050-01-01T12:00:00Z,-40.46365068,157.5,1.4710999
2050-01-01T12:00:00Z,-40.46365068,160.3125,1.4638977
2050-01-01T12:00:00Z,-40.46365068,163.125,1.4709473
2050-01-01T12:00:00Z,-40.46365068,165.9375,1.4332275
2050-01-01T12:00:00Z,-40.46365068,168.75,1.4361877
2050-01-01T12:00:00Z,-40.46365068,171.5625,1.471283
2050-01-01T12:00:00Z,-40.46365068,174.375,1.5835876
2050-01-01T12:00:00Z,-40.46365068,177.1875,1.4205017
2050-01-01T12:00:00Z,-40.46365068,180.0,1.3495483
2050-01-01T12:00:00Z,-37.67309213,90.0,0.5854492
2050-01-01T12:00:00Z,-37.67309213,92.8125,0.6180115
2050-01-01T12:00:00Z,-37.67309213,95.625,0.6784973
2050-01-01T12:00:00Z,-37.67309213,98.4375,0.7444153
2050-01-01T12:00:00Z,-37.67309213,101.25,0.8010559
2050-01-01T12:00:00Z,-37.67309213,104.0625,0.8512573
2050-01-01T12:00:00Z,-37.67309213,106.875,0.9607849
2050-01-01T12:00:00Z,-37.67309213,109.6875,1.0283203
2050-01-01T12:00:00Z,-37.67309213,112.5,0.9440918
2050-01-01T12:00:00Z,-37.67309213,115.3125,0.8262329
2050-01-01T12:00:00Z,-37.67309213,118.125,0.8051758
2050-01-01T12:00:00Z,-37.67309213,120.9375,0.93530273
2050-01-01T12:00:00Z,-37.67309213,123.75,0.9326782
2050-01-01T12:00:00Z,-37.67309213,126.5625,0.9862976
2050-01-01T12:00:00Z,-37.67309213,129.375,0.9466553
2050-01-01T12:00:00Z,-37.67309213,132.1875,0.8520813
2050-01-01T12:00:00Z,-37.67309213,135.0,0.8284607
2050-01-01T12:00:00Z,-37.67309213,137.8125,0.79797363
2050-01-01T12:00:00Z,-37.67309213,140.625,0.38986206
2050-01-01T12:00:00Z,-37.67309213,143.4375,0.69055176
2050-01-01T12:00:00Z,-37.67309213,146.25,0.8875122
2050-01-01T12:00:00Z,-37.67309213,149.0625,1.3572998
2050-01-01T12:00:00Z,-37.67309213,151.875,1.845398
2050-01-01T12:00:00Z,-37.67309213,154.6875,1.9707947
2050-01-01T12:00:00Z,-37.67309213,157.5,1.7184448
2050-01-01T12:00:00Z,-37.67309213,160.3125,1.5927429
2050-01-01T12:00:00Z,-37.67309213,163.125,1.5769958
2050-01-01T12:00:00Z,-37.67309213,165.9375,1.5472717
2050-01-01T12:00:00Z,-37.67309213,168.75,1.5314636
2050-01-01T12:00:00Z,-37.67309213,171.5625,1.5097961
2050-01-01T12:00:00Z,-37.67309213,174.375,1.4317322
2050-01-01T12:00:00Z,-37.67309213,177.1875,1.6412659
2050-01-01T12:00:00Z,-37.67309213,180.0,1.2089844
2050-01-01T12:00:00Z,-34.8825235,90.0,0.83709717
2050-01-01T12:00:00Z,-34.8825235,92.8125,0.9284363
2050-01-01T12:00:00Z,-34.8825235,95.625,1.0116577
2050-01-01T12:00:00Z,-34.8825235,98.4375,1.0687256
2050-01-01T12:00:00Z,-34.8825235,101.25,1.0758972
2050-01-01T12:00:00Z,-34.8825235,104.0625,1.1133423
2050-01-01T12:00:00Z,-34.8825235,106.875,1.1390381
2050-01-01T12:00:00Z,-34.8825235,109.6875,1.0741882
2050-01-01T12:00:00Z,-34.8825235,112.5,0.96762085
2050-01-01T12:00:00Z,-34.8825235,115.3125,0.9965515
2050-01-01T12:00:00Z,-34.8825235,118.125,1.1058044
2050-01-01T12:00:00Z,-34.8825235,120.9375,1.0368347
2050-01-01T12:00:00Z,-34.8825235,123.75,1.054596
2050-01-01T12:00:00Z,-34.8825235,126.5625,1.0646057
2050-01-01T12:00:00Z,-34.8825235,129.375,0.99401855
2050-01-01T12:00:00Z,-34.8825235,132.1875,0.92025757
2050-01-01T12:00:00Z,-34.8825235,135.0,0.9137268
2050-01-01T12:00:00Z,-34.8825235,137.8125,0.7765808
2050-01-01T12:00:00Z,-34.8825235,140.625,0.6807556
2050-01-01T12:00:00Z,-34.8825235,143.4375,0.8152466
2050-01-01T12:00:00Z,-34.8825235,146.25,0.87753296
2050-01-01T12:00:00Z,-34.8825235,149.0625,1.2904053
2050-01-01T12:00:00Z,-34.8825235,151.875,1.7460938
2050-01-01T12:00:00Z,-34.8825235,154.6875,1.6748047
