time,latitude,longitude,tasmax_jja
UTC,degrees_north,degrees_east,K
2050-01-01T12:00:00Z,-43.25419717,177.1875,1.2451172
2050-01-01T12:00:00Z,-43.25419717,180.0,1.273407
2050-01-01T12:00:00Z,-40.46365068,90.0,0.75964355
2050-01-01T12:00:00Z,-40.46365068,92.8125,0.7518616
2050-01-01T12:00:00Z,-40.46365068,95.625,0.7334595
2050-01-01T12:00:00Z,-40.46365068,98.4375,0.76119995
2050-01-01T12:00:00Z,-40.46365068,101.25,0.7996521
2050-01-01T12:00:00Z,-40.46365068,104.0625,0.867218
2050-01-01T12:00:00Z,-40.46365068,106.875,0.9205322
2050-01-01T12:00:00Z,-40.46365068,109.6875,0.9716797
2050-01-01T12:00:00Z,-40.46365068,112.5,0.99102783
2050-01-01T12:00:00Z,-40.46365068,115.3125,0.9597473
2050-01-01T12:00:00Z,-40.46365068,118.125,0.9312134
2050-01-01T12:00:00Z,-40.46365068,120.9375,0.90582275
2050-01-01T12:00:00Z,-40.46365068,123.75,0.87594604
2050-01-01T12:00:00Z,-40.46365068,126.5625,0.90893555
2050-01-01T12:00:00Z,-40.46365068,129.375,0.95080566
2050-01-01T12:00:00Z,-40.46365068,132.1875,0.9878845
2050-01-01T12:00:00Z,-40.46365068,135.0,0.9975891
2050-01-01T12:00:00Z,-40.46365068,137.8125,0.97805786
2050-01-01T12:00:00Z,-40.46365068,140.625,0.945282
2050-01-01T12:00:00Z,-40.46365068,143.4375,0.91903687
2050-01-01T12:00:00Z,-40.46365068,146.25,0.99935913
2050-01-01T12:00:00Z,-40.46365068,149.0625,1.3874512
2050-01-01T12:00:00Z,-40.46365068,151.875,1.8113403
2050-01-01T12:00:00Z,-40.46365068,154.6875,1.8647461
2050-01-01T12:00:00Z,-40.46365068,157.5,1.602417
2050-01-01T12:00:00Z,-40.46365068,160.3125,1.6054993
2050-01-01T12:00:00Z,-40.46365068,163.125,1.5794983
2050-01-01T12:00:00Z,-40.46365068,165.9375,1.5119629
2050-01-01T12:00:00Z,-40.46365068,168.75,1.4998779
2050-01-01T12:00:00Z,-40.46365068,171.5625,1.5035706
2050-01-01T12:00:00Z,-40.46365068,174.375,1.3257751
2050-01-01T12:00:00Z,-40.46365068,177.1875,1.2760315
2050-01-01T12:00:00Z,-40.46365068,180.0,1.2019653
2050-01-01T12:00:00Z,-37.67309213,90.0,0.772583
2050-01-01T12:00:00Z,-37.67309213,92.8125,0.8155823
2050-01-01T12:00:00Z,-37.67309213,95.625,0.88412476
2050-01-01T12:00:00Z,-37.67309213,98.4375,0.94729614
2050-01-01T12:00:00Z,-37.67309213,101.25,1.0097046
2050-01-01T12:00:00Z,-37.67309213,104.0625,1.0711365
2050-01-01T12:00:00Z,-37.67309213,106.875,1.1379089
2050-01-01T12:00:00Z,-37.67309213,109.6875,1.1617737
2050-01-01T12:00:00Z,-37.67309213,112.5,1.0697632
2050-01-01T12:00:00Z,-37.67309213,115.3125,0.9258728
2050-01-01T12:00:00Z,-37.67309213,118.125,0.8736572
2050-01-01T12:00:00Z,-37.67309213,120.9375,0.9815979
2050-01-01T12:00:00Z,-37.67309213,123.75,1.0301514
2050-01-01T12:00:00Z,-37.67309213,126.5625,1.0464172
2050-01-01T12:00:00Z,-37.67309213,129.375,1.0646057
2050-01-01T12:00:00Z,-37.67309213,132.1875,1.0609436
2050-01-01T12:00:00Z,-37.67309213,135.0,1.027771
2050-01-01T12:00:00Z,-37.67309213,137.8125,1.0112305
2050-01-01T12:00:00Z,-37.67309213,140.625,1.100708
2050-01-01T12:00:00Z,-37.67309213,143.4375,1.0306091
2050-01-01T12:00:00Z,-37.67309213,146.25,1.0316467
2050-01-01T12:00:00Z,-37.67309213,149.0625,1.1654663
2050-01-01T12:00:00Z,-37.67309213,151.875,1.8061218
2050-01-01T12:00:00Z,-37.67309213,154.6875,1.9751282
2050-01-01T12:00:00Z,-37.67309213,157.5,1.8092957
2050-01-01T12:00:00Z,-37.67309213,160.3125,1.6967163
2050-01-01T12:00:00Z,-37.67309213,163.125,1.6417847
2050-01-01T12:00:00Z,-37.67309213,165.9375,1.5735168
2050-01-01T12:00:00Z,-37.67309213,168.75,1.5491943
2050-01-01T12:00:00Z,-37.67309213,171.5625,1.5424805
2050-01-01T12:00:00Z,-37.67309213,174.375,1.4599304
2050-01-01T12:00:00Z,-37.67309213,177.1875,1.2456055
2050-01-01T12:00:00Z,-37.67309213,180.0,1.0903015
2050-01-01T12:00:00Z,-34.8825235,90.0,1.0098267
2050-01-01T12:00:00Z,-34.8825235,92.8125,1.075531
2050-01-01T12:00:00Z,-34.8825235,95.625,1.1424255
2050-01-01T12:00:00Z,-34.8825235,98.4375,1.1835938
2050-01-01T12:00:00Z,-34.8825235,101.25,1.1756592
2050-01-01T12:00:00Z,-34.8825235,104.0625,1.1708374
2050-01-01T12:00:00Z,-34.8825235,106.875,1.1745911
2050-01-01T12:00:00Z,-34.8825235,109.6875,1.142273
2050-01-01T12:00:00Z,-34.8825235,112.5,1.0796509
2050-01-01T12:00:00Z,-34.8825235,115.3125,1.0684204
2050-01-01T12:00:00Z,-34.8825235,118.125,1.2377319
2050-01-01T12:00:00Z,-34.8825235,120.9375,1.0900269
2050-01-01T12:00:00Z,-34.8825235,123.75,1.1243591
2050-01-01T12:00:00Z,-34.8825235,126.5625,1.148468
2050-01-01T12:00:00Z,-34.8825235,129.375,1.163269
2050-01-01T12:00:00Z,-34.8825235,132.1875,1.1256409
2050-01-01T12:00:00Z,-34.8825235,135.0,1.1431274
2050-01-01T12:00:00Z,-34.8825235,137.8125,1.158844
2050-01-01T12:00:00Z,-34.8825235,140.625,1.2896729
2050-01-01T12:00:00Z,-34.8825235,143.4375,1.1533813
2050-01-01T12:00:00Z,-34.8825235,146.25,1.04245
2050-01-01T12:00:00Z,-34.8825235,149.0625,1.2980957
2050-01-01T12:00:00Z,-34.8825235,151.875,1.7914429
2050-01-01T12:00:00Z,-34.8825235,154.6875,1.7736511
2050-01-01T12:00:00Z,-34.8825235,157.5,1.660675
2050-01-01T12:00:00Z,-34.8825235,160.3125,1.6529541
2050-01-01T12:00:00Z,-34.8825235,163.125,1.6720886
2050-01-01T12:00:00Z,-34.8825235,165.9375,1.6153259
2050-01-01T12:00:00Z,-34.8825235,168.75,1.5777893
2050-01-01T12:00:00Z,-34.8825235,171.5625,1.5559082
2050-01-01T12:00:00Z,-34.8825235,174.375,1.3541565
2050-01-01T12:00:00Z,-34.8825235,177.1875,1.1278992
2050-01-01T12:00:00Z,-34.8825235,180.0,0.99716187
2050-01-01T12:00:00Z,-32.09194639,90.0,1.1879272
2050-01-01T12:00:00Z,-32.09194639,92.8125,1.1794434
2050-01-01T12:00:00Z,-32.09194639,95.625,1.163208
2050-01-01T12:00:00Z,-32.09194639,98.4375,1.148407
2050-01-01T12:00:00Z,-32.09194639,101.25,1.1171265
2050-01-01T12:00:00Z,-32.09194639,104.0625,1.1065063
2050-01-01T12:00:00Z,-32.09194639,106.875,1.1639099
2050-01-01T12:00:00Z,-32.09194639,109.6875,1.1490173
2050-01-01T12:00:00Z,-32.09194639,112.5,1.1237488
2050-01-01T12:00:00Z,-32.09194639,115.3125,1.1629944
2050-01-01T12:00:00Z,-32.09194639,118.125,1.5235901
2050-01-01T12:00:00Z,-32.09194639,120.9375,1.2689209
2050-01-01T12:00:00Z,-32.09194639,123.75,1.17099
2050-01-01T12:00:00Z,-32.09194639,126.5625,1.2431335
2050-01-01T12:00:00Z,-32.09194639,129.375,1.204071
2050-01-01T12:00:00Z,-32.09194639,132.1875,1.2278137
2050-01-01T12:00:00Z,-32.09194639,135.0,1.3720703
2050-01-01T12:00:00Z,-32.09194639,137.8125,1.2776794
2050-01-01T12:00:00Z,-32.09194639,140.625,1.3735046
2050-01-01T12:00:00Z,-32.09194639,143.4375,1.5773621
2050-01-01T12:00:00Z,-32.09194639,146.25,1.3494873
2050-01-01T12:00:00Z,-32.09194639,149.0625,1.5777588
2050-01-01T12:00:00Z,-32.09194639,151.875,1.7469177
2050-01-01T12:00:00Z,-32.09194639,154.6875,1.4656677
2050-01-01T12:00:00Z,-32.09194639,157.5,1.3695984
2050-01-01T12:00:00Z,-32.09194639,160.3125,1.4206848
2050-01-01T12:00:00Z,-32.09194639,163.125,1.4150085
2050-01-01T12:00:00Z,-32.09194639,165.9375,1.3604736
2050-01-01T12:00:00Z,-32.09194639,168.75,1.2910767
2050-01-01T12:00:00Z,-32.09194639,171.5625,1.2151794
2050-01-01T12:00:00Z,-32.09194639,174.375,1.0935059
2050-01-01T12:00:00Z,-32.09194639,177.1875,1.0186157
2050-01-01T12:00:00Z,-32.09194639,180.0,0.95214844
2050-01-01T12:00:00Z,-29.30136213,90.0,1.0437927
2050-01-01T12:00:00Z,-29.30136213,92.8125,1.0351562
2050-01-01T12:00:00Z,-29.30136213,95.625,1.0066833
2050-01-01T12:00:00Z,-29.30136213,98.4375,1.0396423
2050-01-01T12:00:00Z,-29.30136213,101.25,1.105896
2050-01-01T12:00:00Z,-29.30136213,104.0625,1.1762085
2050-01-01T12:00:00Z,-29.30136213,106.875,1.1864624
2050-01-01T12:00:00Z,-29.30136213,109.6875,1.1297302
2050-01-01T12:00:00Z,-29.30136213,112.5,1.1507263
2050-01-01T12:00:00Z,-29.30136213,115.3125,1.8719788
2050-01-01T12:00:00Z,-29.30136213,118.125,1.822876
2050-01-01T12:00:00Z,-29.30136213,120.9375,1.3822327
2050-01-01T12:00:00Z,-29.30136213,123.75,1.1989746
2050-01-01T12:00:00Z,-29.30136213,126.5625,1.2657776
2050-01-01T12:00:00Z,-29.30136213,129.375,1.2604675
2050-01-01T12:00:00Z,-29.30136213,132.1875,1.2151489
2050-01-01T12:00:00Z,-29.30136213,135.0,1.3435669
2050-01-01T12:00:00Z,-29.30136213,137.8125,1.390564
2050-01-01T12:00:00Z,-29.30136213,140.625,1.5187378
2050-01-01T12:00:00Z,-29.30136213,143.4375,1.7547607
2050-01-01T12:00:00Z,-29.30136213,146.25,2.006195
