time,latitude,longitude,tasmax_djf
UTC,degrees_north,degrees_east,K
2050-01-01T12:00:00Z,-43.25419717,177.1875,1.5261841
2050-01-01T12:00:00Z,-43.25419717,180.0,1.5140686
2050-01-01T12:00:00Z,-40.46365068,90.0,0.9798889
2050-01-01T12:00:00Z,-40.46365068,92.8125,0.98776245
2050-01-01T12:00:00Z,-40.46365068,95.625,0.9800415
2050-01-01T12:00:00Z,-40.46365068,98.4375,0.97106934
2050-01-01T12:00:00Z,-40.46365068,101.25,0.97369385
2050-01-01T12:00:00Z,-40.46365068,104.0625,0.9813843
2050-01-01T12:00:00Z,-40.46365068,106.875,1.0124207
2050-01-01T12:00:00Z,-40.46365068,109.6875,1.0604553
2050-01-01T12:00:00Z,-40.46365068,112.5,1.0600891
2050-01-01T12:00:00Z,-40.46365068,115.3125,1.0516357
2050-01-01T12:00:00Z,-40.46365068,118.125,1.0296631
2050-01-01T12:00:00Z,-40.46365068,120.9375,1.0629883
2050-01-01T12:00:00Z,-40.46365068,123.75,1.094574
2050-01-01T12:00:00Z,-40.46365068,126.5625,1.0877686
2050-01-01T12:00:00Z,-40.46365068,129.375,1.0453796
2050-01-01T12:00:00Z,-40.46365068,132.1875,0.9966736
2050-01-01T12:00:00Z,-40.46365068,135.0,0.9437866
2050-01-01T12:00:00Z,-40.46365068,137.8125,0.92807007
2050-01-01T12:00:00Z,-40.46365068,140.625,0.96710205
2050-01-01T12:00:00Z,-40.46365068,143.4375,1.0385742
2050-01-01T12:00:00Z,-40.46365068,146.25,1.120575
2050-01-01T12:00:00Z,-40.46365068,149.0625,1.4120789
2050-01-01T12:00:00Z,-40.46365068,151.875,1.7887573
2050-01-01T12:00:00Z,-40.46365068,154.6875,1.809906
2050-01-01T12:00:00Z,-40.46365068,157.5,1.6043091
2050-01-01T12:00:00Z,-40.46365068,160.3125,1.534668
2050-01-01T12:00:00Z,-40.46365068,163.125,1.5749817
2050-01-01T12:00:00Z,-40.46365068,165.9375,1.6278992
2050-01-01T12:00:00Z,-40.46365068,168.75,1.6132812
2050-01-01T12:00:00Z,-40.46365068,171.5625,1.6463013
