time,latitude,longitude,tasmax_mam
UTC,degrees_north,degrees_east,K
2030-01-01T12:00:00Z,-43.25419717,177.1875,1.2603455
2030-01-01T12:00:00Z,-43.25419717,180.0,1.3604431
2030-01-01T12:00:00Z,-40.46365068,90.0,0.8769226
2030-01-01T12:00:00Z,-40.46365068,92.8125,0.8518677
2030-01-01T12:00:00Z,-40.46365068,95.625,0.8461914
2030-01-01T12:00:00Z,-40.46365068,98.4375,0.87039185
2030-01-01T12:00:00Z,-40.46365068,101.25,0.899353
2030-01-01T12:00:00Z,-40.46365068,104.0625,0.8824158
2030-01-01T12:00:00Z,-40.46365068,106.875,0.86676025
2030-01-01T12:00:00Z,-40.46365068,109.6875,0.8480835
2030-01-01T12:00:00Z,-40.46365068,112.5,0.85614014
2030-01-01T12:00:00Z,-40.46365068,115.3125,0.8808899
2030-01-01T12:00:00Z,-40.46365068,118.125,0.8692627
2030-01-01T12:00:00Z,-40.46365068,120.9375,0.8312073
2030-01-01T12:00:00Z,-40.46365068,123.75,0.8039856
2030-01-01T12:00:00Z,-40.46365068,126.5625,0.782074
2030-01-01T12:00:00Z,-40.46365068,129.375,0.7602234
2030-01-01T12:00:00Z,-40.46365068,132.1875,0.70928955
2030-01-01T12:00:00Z,-40.46365068,135.0,0.671875
2030-01-01T12:00:00Z,-40.46365068,137.8125,0.6320801
2030-01-01T12:00:00Z,-40.46365068,140.625,0.5862427
2030-01-01T12:00:00Z,-40.46365068,143.4375,0.6079712
2030-01-01T12:00:00Z,-40.46365068,146.25,0.5644531
2030-01-01T12:00:00Z,-40.46365068,149.0625,0.89105225
2030-01-01T12:00:00Z,-40.46365068,151.875,1.1464844
2030-01-01T12:00:00Z,-40.46365068,154.6875,1.1748657
2030-01-01T12:00:00Z,-40.46365068,157.5,1.100708
2030-01-01T12:00:00Z,-40.46365068,160.3125,1.15625
2030-01-01T12:00:00Z,-40.46365068,163.125,1.2257996
2030-01-01T12:00:00Z,-40.46365068,165.9375,1.2789307
2030-01-01T12:00:00Z,-40.46365068,168.75,1.3171387
2030-01-01T12:00:00Z,-40.46365068,171.5625,1.3429871
2030-01-01T12:00:00Z,-40.46365068,174.375,1.4405518
2030-01-01T12:00:00Z,-40.46365068,177.1875,1.3285217
2030-01-01T12:00:00Z,-40.46365068,180.0,1.1850281
2030-01-01T12:00:00Z,-37.67309213,90.0,0.8314514
2030-01-01T12:00:00Z,-37.67309213,92.8125,0.83825684
2030-01-01T12:00:00Z,-37.67309213,95.625,0.873291
2030-01-01T12:00:00Z,-37.67309213,98.4375,0.87734985
2030-01-01T12:00:00Z,-37.67309213,101.25,0.87438965
2030-01-01T12:00:00Z,-37.67309213,104.0625,0.87683105
2030-01-01T12:00:00Z,-37.67309213,106.875,0.8907776
2030-01-01T12:00:00Z,-37.67309213,109.6875,0.8887024
2030-01-01T12:00:00Z,-37.67309213,112.5,0.88461304
2030-01-01T12:00:00Z,-37.67309213,115.3125,0.78564453
2030-01-01T12:00:00Z,-37.67309213,118.125,0.7321167
2030-01-01T12:00:00Z,-37.67309213,120.9375,0.76553345
2030-01-01T12:00:00Z,-37.67309213,123.75,0.7429199
2030-01-01T12:00:00Z,-37.67309213,126.5625,0.741272
2030-01-01T12:00:00Z,-37.67309213,129.375,0.68148804
2030-01-01T12:00:00Z,-37.67309213,132.1875,0.56433105
2030-01-01T12:00:00Z,-37.67309213,135.0,0.53045654
2030-01-01T12:00:00Z,-37.67309213,137.8125,0.49142456
2030-01-01T12:00:00Z,-37.67309213,140.625,0.6451111
2030-01-01T12:00:00Z,-37.67309213,143.4375,0.71069336
2030-01-01T12:00:00Z,-37.67309213,146.25,0.5541992
