time,latitude,longitude,tasmin_djf
UTC,degrees_north,degrees_east,K
2050-01-01T12:00:00Z,-43.25419717,177.1875,1.9390259
2050-01-01T12:00:00Z,-43.25419717,180.0,1.9229126
2050-01-01T12:00:00Z,-40.46365068,90.0,1.4710999
2050-01-01T12:00:00Z,-40.46365068,92.8125,1.4352112
2050-01-01T12:00:00Z,-40.46365068,95.625,1.3894043
2050-01-01T12:00:00Z,-40.46365068,98.4375,1.392334
2050-01-01T12:00:00Z,-40.46365068,101.25,1.385437
2050-01-01T12:00:00Z,-40.46365068,104.0625,1.3600464
2050-01-01T12:00:00Z,-40.46365068,106.875,1.3591309
2050-01-01T12:00:00Z,-40.46365068,109.6875,1.4143372
2050-01-01T12:00:00Z,-40.46365068,112.5,1.3794861
2050-01-01T12:00:00Z,-40.46365068,115.3125,1.3333435
2050-01-01T12:00:00Z,-40.46365068,118.125,1.3388367
2050-01-01T12:00:00Z,-40.46365068,120.9375,1.3867798
2050-01-01T12:00:00Z,-40.46365068,123.75,1.399231
2050-01-01T12:00:00Z,-40.46365068,126.5625,1.3694763
2050-01-01T12:00:00Z,-40.46365068,129.375,1.3996277
2050-01-01T12:00:00Z,-40.46365068,132.1875,1.3781433
2050-01-01T12:00:00Z,-40.46365068,135.0,1.299408
2050-01-01T12:00:00Z,-40.46365068,137.8125,1.3070679
2050-01-01T12:00:00Z,-40.46365068,140.625,1.3534241
2050-01-01T12:00:00Z,-40.46365068,143.4375,1.5499878
2050-01-01T12:00:00Z,-40.46365068,146.25,2.0247803
2050-01-01T12:00:00Z,-40.46365068,149.0625,2.035797
2050-01-01T12:00:00Z,-40.46365068,151.875,2.572815
2050-01-01T12:00:00Z,-40.46365068,154.6875,2.4927979
2050-01-01T12:00:00Z,-40.46365068,157.5,2.1150818
2050-01-01T12:00:00Z,-40.46365068,160.3125,2.0632935
2050-01-01T12:00:00Z,-40.46365068,163.125,2.1150208
2050-01-01T12:00:00Z,-40.46365068,165.9375,2.0887146
2050-01-01T12:00:00Z,-40.46365068,168.75,2.098755
2050-01-01T12:00:00Z,-40.46365068,171.5625,2.259674
2050-01-01T12:00:00Z,-40.46365068,174.375,2.349884
2050-01-01T12:00:00Z,-40.46365068,177.1875,2.3588562
2050-01-01T12:00:00Z,-40.46365068,180.0,2.1911316
2050-01-01T12:00:00Z,-37.67309213,90.0,1.4575195
2050-01-01T12:00:00Z,-37.67309213,92.8125,1.475647
2050-01-01T12:00:00Z,-37.67309213,95.625,1.4803162
2050-01-01T12:00:00Z,-37.67309213,98.4375,1.4806213
2050-01-01T12:00:00Z,-37.67309213,101.25,1.4634705
2050-01-01T12:00:00Z,-37.67309213,104.0625,1.4512634
2050-01-01T12:00:00Z,-37.67309213,106.875,1.4448242
2050-01-01T12:00:00Z,-37.67309213,109.6875,1.3961487
2050-01-01T12:00:00Z,-37.67309213,112.5,1.3215332
2050-01-01T12:00:00Z,-37.67309213,115.3125,1.3140869
2050-01-01T12:00:00Z,-37.67309213,118.125,1.373169
2050-01-01T12:00:00Z,-37.67309213,120.9375,1.372345
2050-01-01T12:00:00Z,-37.67309213,123.75,1.3027649
2050-01-01T12:00:00Z,-37.67309213,126.5625,1.396759
2050-01-01T12:00:00Z,-37.67309213,129.375,1.3814697
2050-01-01T12:00:00Z,-37.67309213,132.1875,1.2419739
2050-01-01T12:00:00Z,-37.67309213,135.0,1.1924438
2050-01-01T12:00:00Z,-37.67309213,137.8125,1.3155518
2050-01-01T12:00:00Z,-37.67309213,140.625,1.9156799
2050-01-01T12:00:00Z,-37.67309213,143.4375,2.424469
2050-01-01T12:00:00Z,-37.67309213,146.25,2.7341614
