time,latitude,longitude,tasmax_son
UTC,degrees_north,degrees_east,K
2030-01-01T12:00:00Z,-43.25419717,177.1875,1.1556396
2030-01-01T12:00:00Z,-43.25419717,180.0,1.175354
2030-01-01T12:00:00Z,-40.46365068,90.0,0.61431885
2030-01-01T12:00:00Z,-40.46365068,92.8125,0.5836487
2030-01-01T12:00:00Z,-40.46365068,95.625,0.5590515
2030-01-01T12:00:00Z,-40.46365068,98.4375,0.5648804
2030-01-01T12:00:00Z,-40.46365068,101.25,0.5685425
2030-01-01T12:00:00Z,-40.46365068,104.0625,0.55651855
2030-01-01T12:00:00Z,-40.46365068,106.875,0.5909729
2030-01-01T12:00:00Z,-40.46365068,109.6875,0.6545105
2030-01-01T12:00:00Z,-40.46365068,112.5,0.68536377
2030-01-01T12:00:00Z,-40.46365068,115.3125,0.6533203
2030-01-01T12:00:00Z,-40.46365068,118.125,0.6232605
2030-01-01T12:00:00Z,-40.46365068,120.9375,0.6137085
2030-01-01T12:00:00Z,-40.46365068,123.75,0.60821533
2030-01-01T12:00:00Z,-40.46365068,126.5625,0.6168823
2030-01-01T12:00:00Z,-40.46365068,129.375,0.6381836
2030-01-01T12:00:00Z,-40.46365068,132.1875,0.61990356
2030-01-01T12:00:00Z,-40.46365068,135.0,0.58081055
2030-01-01T12:00:00Z,-40.46365068,137.8125,0.5680542
2030-01-01T12:00:00Z,-40.46365068,140.625,0.5979309
2030-01-01T12:00:00Z,-40.46365068,143.4375,0.72351074
2030-01-01T12:00:00Z,-40.46365068,146.25,1.1247253
2030-01-01T12:00:00Z,-40.46365068,149.0625,1.1745605
2030-01-01T12:00:00Z,-40.46365068,151.875,1.4982605
2030-01-01T12:00:00Z,-40.46365068,154.6875,1.55719
2030-01-01T12:00:00Z,-40.46365068,157.5,1.3763428
2030-01-01T12:00:00Z,-40.46365068,160.3125,1.2598572
2030-01-01T12:00:00Z,-40.46365068,163.125,1.2657166
2030-01-01T12:00:00Z,-40.46365068,165.9375,1.2518616
2030-01-01T12:00:00Z,-40.46365068,168.75,1.2218323
2030-01-01T12:00:00Z,-40.46365068,171.5625,1.1882629
2030-01-01T12:00:00Z,-40.46365068,174.375,0.99490356
2030-01-01T12:00:00Z,-40.46365068,177.1875,1.1229858
2030-01-01T12:00:00Z,-40.46365068,180.0,1.0377197
2030-01-01T12:00:00Z,-37.67309213,90.0,0.5256653
2030-01-01T12:00:00Z,-37.67309213,92.8125,0.5577698
2030-01-01T12:00:00Z,-37.67309213,95.625,0.58480835
2030-01-01T12:00:00Z,-37.67309213,98.4375,0.61972046
2030-01-01T12:00:00Z,-37.67309213,101.25,0.66760254
2030-01-01T12:00:00Z,-37.67309213,104.0625,0.70703125
2030-01-01T12:00:00Z,-37.67309213,106.875,0.7871704
2030-01-01T12:00:00Z,-37.67309213,109.6875,0.8278198
2030-01-01T12:00:00Z,-37.67309213,112.5,0.7401123
2030-01-01T12:00:00Z,-37.67309213,115.3125,0.64779663
2030-01-01T12:00:00Z,-37.67309213,118.125,0.679657
2030-01-01T12:00:00Z,-37.67309213,120.9375,0.67300415
2030-01-01T12:00:00Z,-37.67309213,123.75,0.6512451
2030-01-01T12:00:00Z,-37.67309213,126.5625,0.7150879
2030-01-01T12:00:00Z,-37.67309213,129.375,0.7444458
