time,latitude,longitude,tasmin_mam
UTC,degrees_north,degrees_east,K
2050-01-01T12:00:00Z,-43.25419717,177.1875,1.9429932
2050-01-01T12:00:00Z,-43.25419717,180.0,2.1679382
2050-01-01T12:00:00Z,-40.46365068,90.0,1.7528687
2050-01-01T12:00:00Z,-40.46365068,92.8125,1.7218018
2050-01-01T12:00:00Z,-40.46365068,95.625,1.6930542
2050-01-01T12:00:00Z,-40.46365068,98.4375,1.7088318
2050-01-01T12:00:00Z,-40.46365068,101.25,1.6897888
2050-01-01T12:00:00Z,-40.46365068,104.0625,1.6417542
2050-01-01T12:00:00Z,-40.46365068,106.875,1.6195374
2050-01-01T12:00:00Z,-40.46365068,109.6875,1.5836487
2050-01-01T12:00:00Z,-40.46365068,112.5,1.5314026
2050-01-01T12:00:00Z,-40.46365068,115.3125,1.5062866
2050-01-01T12:00:00Z,-40.46365068,118.125,1.4623413
2050-01-01T12:00:00Z,-40.46365068,120.9375,1.3967285
2050-01-01T12:00:00Z,-40.46365068,123.75,1.3829651
2050-01-01T12:00:00Z,-40.46365068,126.5625,1.4046326
2050-01-01T12:00:00Z,-40.46365068,129.375,1.4106445
2050-01-01T12:00:00Z,-40.46365068,132.1875,1.3903809
2050-01-01T12:00:00Z,-40.46365068,135.0,1.3711548
2050-01-01T12:00:00Z,-40.46365068,137.8125,1.3160095
2050-01-01T12:00:00Z,-40.46365068,140.625,1.2812195
2050-01-01T12:00:00Z,-40.46365068,143.4375,1.3621521
2050-01-01T12:00:00Z,-40.46365068,146.25,1.5640564
2050-01-01T12:00:00Z,-40.46365068,149.0625,1.9877625
2050-01-01T12:00:00Z,-40.46365068,151.875,2.5603027
2050-01-01T12:00:00Z,-40.46365068,154.6875,2.5162659
2050-01-01T12:00:00Z,-40.46365068,157.5,2.0175781
2050-01-01T12:00:00Z,-40.46365068,160.3125,2.0127869
2050-01-01T12:00:00Z,-40.46365068,163.125,2.0334778
2050-01-01T12:00:00Z,-40.46365068,165.9375,2.0673218
2050-01-01T12:00:00Z,-40.46365068,168.75,2.1338806
2050-01-01T12:00:00Z,-40.46365068,171.5625,2.215149
2050-01-01T12:00:00Z,-40.46365068,174.375,2.1339111
2050-01-01T12:00:00Z,-40.46365068,177.1875,2.040039
2050-01-01T12:00:00Z,-40.46365068,180.0,2.0261536
2050-01-01T12:00:00Z,-37.67309213,90.0,1.7401123
2050-01-01T12:00:00Z,-37.67309213,92.8125,1.79245
2050-01-01T12:00:00Z,-37.67309213,95.625,1.8215332
2050-01-01T12:00:00Z,-37.67309213,98.4375,1.8249512
2050-01-01T12:00:00Z,-37.67309213,101.25,1.7687073
2050-01-01T12:00:00Z,-37.67309213,104.0625,1.7236938
2050-01-01T12:00:00Z,-37.67309213,106.875,1.6879883
2050-01-01T12:00:00Z,-37.67309213,109.6875,1.605835
2050-01-01T12:00:00Z,-37.67309213,112.5,1.5324707
2050-01-01T12:00:00Z,-37.67309213,115.3125,1.4136353
2050-01-01T12:00:00Z,-37.67309213,118.125,1.3707275
2050-01-01T12:00:00Z,-37.67309213,120.9375,1.4175415
2050-01-01T12:00:00Z,-37.67309213,123.75,1.4385071
2050-01-01T12:00:00Z,-37.67309213,126.5625,1.4365845
2050-01-01T12:00:00Z,-37.67309213,129.375,1.3944702
2050-01-01T12:00:00Z,-37.67309213,132.1875,1.307251
2050-01-01T12:00:00Z,-37.67309213,135.0,1.2919006
2050-01-01T12:00:00Z,-37.67309213,137.8125,1.2789917
2050-01-01T12:00:00Z,-37.67309213,140.625,1.6203003
2050-01-01T12:00:00Z,-37.67309213,143.4375,1.7524719
2050-01-01T12:00:00Z,-37.67309213,146.25,1.7193298
2050-01-01T12:00:00Z,-37.67309213,149.0625,2.0974731
2050-01-01T12:00:00Z,-37.67309213,151.875,2.3618774
2050-01-01T12:00:00Z,-37.67309213,154.6875,2.4874878
2050-01-01T12:00:00Z,-37.67309213,157.5,2.2563171
2050-01-01T12:00:00Z,-37.67309213,160.3125,2.0426025
2050-01-01T12:00:00Z,-37.67309213,163.125,2.1067505
2050-01-01T12:00:00Z,-37.67309213,165.9375,2.1558533
2050-01-01T12:00:00Z,-37.67309213,168.75,2.1853638
